Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,Kud,Imp,AllPrey,Post,Hnt,Htd,Riv
5,0,0,0,NA,0.54,-0.90,1.74,-0.49,1.00,1.25,-0.20,0.44,-1.28,0.21,0.21,1.13,1.71,1.12
6,0,0,0,0,0.68,-0.90,1.11,-0.49,1.00,0.87,0.03,0.44,-0.83,0.45,0.02,1.26,1.84,1.00
7,0,0,0,0,0.68,-0.90,-0.13,-0.49,1.00,0.40,0.40,0.44,-0.50,0.49,0.24,1.26,0.74,0.90
8,0,0,0,0,0.68,-0.74,-0.06,-0.49,1.00,0.12,0.64,0.44,-0.32,0.53,0.90,1.26,-0.47,0.67
9,0,0,0,0,0.68,-0.90,1.32,-0.49,1.00,-0.31,0.20,0.44,0.07,0.57,1.01,1.26,-0.67,0.22
10,0,0,0,NA,0.39,-0.90,-1.34,0.12,0.12,-0.03,-0.91,0.12,-0.05,0.37,-0.05,1.00,-0.67,-0.64
11,0,0,0,NA,-1.63,-0.90,-0.13,0.42,-0.41,0.35,-1.31,0.05,0.39,-1.14,-1.10,-0.79,-0.67,-0.75
21,0,0,0,0,-1.14,-0.32,0.13,0.38,1.00,1.15,-1.32,-0.15,-1.37,-1.06,-1.62,-0.35,0.11,1.50
22,0,0,0,0,0.29,0.69,1.97,-0.48,1.00,1.06,-0.90,0.36,-1.04,0.29,-0.80,0.91,1.44,1.39
23,0,1,NA,NA,0.68,-0.48,-1.22,-0.49,1.00,-0.26,0.03,0.44,0.31,0.74,0.27,1.26,1.84,1.29
25,0,0,0,0,0.68,0.49,1.57,-0.49,1.00,0.07,0.76,0.44,-0.32,0.62,0.86,1.26,1.84,0.94
26,0,0,0,0,0.68,1.31,-0.13,-0.49,1.00,-0.07,0.83,0.48,0.04,0.82,1.37,1.26,1.84,0.59
27,0,0,0,0,0.68,0.58,-0.34,-0.49,0.84,0.26,0.50,0.48,-0.05,0.74,1.12,1.26,1.01,0.02
28,0,0,0,0,0.68,-0.15,-1.15,-0.49,-1.09,0.35,-0.04,0.44,0.93,0.62,0.07,1.26,0.19,-1.66
29,0,0,0,0,-0.45,-0.90,2.95,-0.49,-0.12,0.82,-0.53,0.44,-0.71,-0.49,-0.87,0.26,-0.67,-0.71
39,1,0,0,0,0.66,1.29,-0.08,-0.48,1.00,1.62,-0.37,0.40,-1.13,0.57,-1.16,1.24,1.84,1.55
40,0,0,0,0,0.68,1.31,-0.17,-0.49,1.00,1.53,0.18,0.44,-0.95,0.66,-0.56,1.26,1.84,1.43
41,0,0,0,NA,0.68,1.27,1.32,-0.49,1.00,0.73,0.48,0.44,-0.50,0.74,0.03,1.26,1.84,1.30
42,0,1,0,NA,0.68,0.87,-0.57,-0.49,1.00,0.45,0.78,0.48,-0.02,0.86,-0.22,1.26,1.84,1.15
43,0,1,0,0,0.68,1.31,2.02,-0.49,1.00,0.16,1.03,0.44,-0.17,0.74,-0.02,1.26,1.84,0.96
44,0,0,0,NA,0.68,0.87,1.57,-0.49,1.00,0.16,1.02,0.48,-0.35,0.66,0.65,1.26,1.84,0.67
45,0,0,0,0,0.68,-0.04,0.43,-0.49,0.78,0.16,0.76,0.48,-0.53,0.45,1.25,1.26,1.21,0.23
46,0,0,0,0,0.68,-0.87,-0.45,-0.49,-0.48,0.73,0.36,0.44,-0.32,0.33,0.67,1.26,-0.59,-0.61
47,0,0,0,0,0.44,-0.90,-0.36,-0.49,-1.07,1.01,-0.51,0.44,0.51,0.29,0.03,1.04,-0.67,-1.72
48,0,0,NA,NA,-1.36,-0.90,-0.29,-0.34,-1.20,0.82,-1.43,0.36,0.93,-0.90,-0.15,-0.55,-0.67,-1.42
56,0,0,NA,NA,-1.02,-0.21,1.13,0.00,1.00,1.29,-0.75,0.28,-1.25,-0.82,-0.26,-0.24,0.11,1.58
57,0,0,0,0,0.68,1.31,0.83,-0.49,1.00,1.86,-0.26,0.40,-1.28,0.57,-0.12,1.26,1.84,1.48
58,0,0,0,0,0.68,1.31,1.74,-0.49,1.00,1.48,0.46,0.44,-1.04,0.62,0.10,1.26,1.84,1.33
59,0,0,0,1,0.68,1.31,1.16,-0.49,1.00,0.59,0.82,0.44,-0.44,0.74,-0.56,1.26,1.84,1.17
60,0,0,0,0,0.68,1.31,-0.82,-0.49,1.00,0.59,1.02,0.48,-0.08,0.86,-1.27,1.26,1.84,0.98
61,0,0,0,0,0.68,1.31,2.30,-0.49,1.00,0.07,1.19,0.48,-0.05,0.78,-0.89,1.26,1.84,0.79
62,0,0,0,0,0.68,-0.61,0.67,-0.49,1.00,-0.03,1.17,0.48,-0.05,0.62,0.07,1.26,1.84,0.54
63,0,0,0,0,0.68,-0.90,-0.92,-0.49,-0.63,0.30,0.91,0.48,0.34,0.45,0.61,1.26,1.84,0.05
64,0,0,0,NA,0.68,-0.90,2.09,-0.49,-0.04,0.59,0.59,0.48,-0.56,0.29,0.44,1.26,1.39,-0.30
66,0,0,0,NA,0.54,-0.90,0.50,-0.42,-1.20,0.40,-0.85,0.44,0.78,0.25,0.84,1.13,-0.67,-1.49
74,0,0,1,NA,0.02,0.71,-0.34,-0.48,1.00,1.11,-0.07,0.40,-0.83,0.29,-0.92,0.67,0.61,1.49
75,0,1,0,0,0.68,1.31,-0.03,-0.49,1.00,1.53,0.33,0.44,-1.01,0.62,0.07,1.26,1.16,1.37
76,0,0,0,0,0.68,1.31,0.01,-0.49,1.00,1.62,0.67,0.44,-1.04,0.66,0.35,1.26,1.76,1.24
77,0,0,0,0,0.68,1.31,-0.75,-0.49,1.00,0.30,0.97,0.48,0.10,0.90,-0.69,1.26,1.84,1.05
78,0,0,1,1,0.68,1.31,0.32,-0.49,1.00,0.78,1.20,0.48,-0.14,0.86,-1.53,1.26,1.84,0.80
79,0,0,0,0,0.68,1.31,0.34,-0.49,1.00,-0.07,1.35,0.48,0.51,0.98,-1.05,1.26,1.84,0.48
80,0,0,0,0,0.68,0.01,-0.29,-0.49,0.54,0.12,1.28,0.48,0.16,0.70,-0.09,1.26,1.84,0.15
83,0,0,0,0,0.68,-0.23,-0.66,-0.49,-1.20,-0.31,0.49,0.48,1.23,0.62,-0.23,1.17,1.64,-1.74
84,1,1,0,0,0.68,-0.87,0.04,-0.49,-1.20,-0.45,-0.14,0.44,1.26,0.62,0.61,1.26,-0.07,-1.42
85,0,0,NA,NA,-0.55,-0.90,0.57,0.12,-1.20,-0.40,-1.36,0.40,1.17,-0.33,1.59,0.17,-0.67,-1.73
91,0,0,0,NA,-1.09,-0.28,-0.94,-0.30,1.00,0.12,-0.96,0.12,-0.26,-0.78,-1.47,-0.31,-0.67,1.54
94,0,0,0,NA,0.68,1.31,-0.31,-0.49,1.00,0.40,0.91,0.48,0.22,0.98,0.66,1.26,0.21,1.08
96,1,0,NA,NA,0.68,1.31,-1.27,-0.49,1.00,0.45,1.31,0.48,0.48,1.02,-0.55,1.26,1.84,0.67
97,0,0,1,1,0.68,1.31,0.62,-0.49,0.78,-0.03,1.47,0.48,0.42,0.94,-0.32,1.26,1.84,0.19
98,0,0,0,0,0.68,1.31,-0.82,-0.49,-0.72,-1.30,1.40,0.48,1.26,0.86,-0.02,1.26,1.84,-0.90
99,0,0,0,0,0.68,1.31,-0.13,-0.49,-1.20,-0.92,1.22,0.48,1.26,0.66,-0.96,1.26,1.84,-1.50
100,0,0,0,0,0.68,1.31,0.20,-0.49,-1.20,-0.07,1.00,0.48,1.26,0.74,-1.61,0.65,0.99,-1.61
101,0,0,0,0,0.68,1.31,1.39,-0.49,-1.20,-0.59,0.67,0.48,1.23,0.62,-0.84,-0.70,-0.49,-1.15
102,0,0,0,0,0.68,0.27,-0.64,-0.49,-1.20,-0.40,0.16,0.48,0.90,0.41,0.23,0.15,0.56,-0.58
103,0,0,0,NA,0.17,-0.90,-0.85,-0.23,-1.20,-0.35,-0.68,0.44,1.26,0.37,1.28,0.80,1.14,-1.70
105,0,0,0,0,0.41,-0.90,-0.80,0.83,-1.20,-1.25,-0.42,0.44,1.14,0.21,1.93,1.02,0.01,-1.08
110,1,0,0,0,0.68,1.00,-1.59,-0.49,1.00,0.45,0.01,0.44,0.13,0.90,-0.20,1.26,-0.32,1.34
112,0,0,0,NA,0.68,1.31,-0.45,-0.49,1.00,-0.54,0.98,0.48,0.81,1.07,1.25,1.26,-0.57,0.92
114,0,1,0,0,0.68,1.31,-0.08,-0.49,1.00,-0.59,1.43,0.48,0.99,1.15,0.54,1.26,1.84,0.39
115,1,1,1,1,0.68,1.31,-0.87,-0.49,1.00,-0.68,1.57,0.48,0.96,1.11,0.67,1.26,1.84,0.13
116,1,0,0,0,0.68,1.31,0.67,-0.49,0.60,-0.78,1.49,0.48,0.96,1.02,0.21,1.26,1.84,-0.52
117,0,0,0,0,0.68,1.31,-0.43,-0.49,-0.90,-1.01,1.32,0.48,1.26,0.82,-0.76,0.76,1.06,-1.65
118,0,0,0,0,0.68,1.31,0.99,-0.49,-1.18,-0.35,1.10,0.48,1.08,0.53,-1.26,-0.89,-0.67,-0.72
121,0,0,0,0,0.68,0.45,0.29,-0.49,-1.20,-0.40,0.29,0.48,0.72,0.29,0.67,-0.11,0.09,-0.10
122,0,1,0,NA,0.68,-0.68,1.34,-0.39,-1.20,-0.35,0.34,0.48,0.63,0.17,0.59,1.00,-0.39,-0.12
123,0,0,0,0,0.68,-0.90,-0.38,-0.37,-1.20,-1.53,0.16,0.48,1.20,0.33,0.93,1.26,-0.67,-0.29
124,1,0,0,NA,0.63,-0.90,1.18,-0.49,-1.20,-0.78,-0.72,0.48,1.26,0.33,1.58,1.22,-0.67,-0.80
125,0,0,0,NA,-1.24,-0.90,-1.03,0.46,-1.20,-1.77,-1.36,-1.02,1.02,-1.02,2.41,-0.44,-0.67,-0.15
127,0,0,NA,NA,-0.20,-0.90,1.39,-0.49,1.00,1.76,-0.14,0.40,-1.43,-0.20,0.64,0.48,0.91,1.47
128,0,0,0,0,0.68,-0.52,-0.27,-0.49,1.00,1.34,0.30,0.44,-0.98,0.49,0.80,1.26,1.41,1.30
129,0,0,0,NA,0.68,0.69,0.71,-0.49,1.00,0.54,0.73,0.44,-0.53,0.66,1.33,1.26,0.04,1.09
130,1,0,NA,NA,0.68,1.24,0.27,-0.49,1.00,0.45,1.04,0.44,0.01,0.90,1.93,1.26,-0.59,0.82
131,0,1,0,0,0.68,1.31,2.46,-0.49,1.00,0.45,1.28,0.44,0.25,0.98,1.65,1.26,0.29,0.42
132,0,0,0,0,0.68,1.31,0.95,-0.49,1.00,-0.45,1.47,0.48,0.66,1.02,1.41,1.26,1.81,-0.24
134,0,0,NA,NA,0.68,1.31,-0.66,-0.49,0.95,-0.12,1.56,0.48,0.87,1.11,0.78,0.46,0.74,-1.77
135,0,0,0,NA,0.68,1.31,-0.13,-0.49,0.36,-0.26,1.41,0.48,0.63,0.90,0.07,-0.83,-0.62,-0.90
136,1,0,0,0,0.68,1.31,1.02,-0.49,-0.32,-0.35,1.23,0.48,0.48,0.62,-0.20,-0.92,-0.67,0.06
140,0,0,1,0,0.68,1.22,-0.24,-0.49,-1.20,-0.59,0.13,0.48,1.17,0.49,-0.50,-0.85,-0.67,-0.49
141,0,0,0,0,0.26,-0.08,-0.87,0.23,-1.20,-1.49,-0.61,0.36,1.29,0.41,0.02,0.02,-0.67,-2.05
142,0,0,0,NA,-1.07,-0.90,-2.08,0.85,-1.20,-1.58,-1.00,0.01,1.29,-0.53,0.88,-0.28,-0.67,-1.52
143,0,0,0,NA,-1.78,-0.90,-1.59,1.56,-1.20,-1.63,-1.34,0.32,1.17,-1.06,1.87,-0.92,-0.67,-0.21
147,0,0,0,0,0.68,-0.90,0.18,-0.49,1.00,1.91,0.81,0.40,-1.43,0.33,2.09,1.26,1.84,1.09
148,0,0,NA,NA,0.68,-0.76,0.15,-0.49,1.00,1.53,1.10,0.40,-1.10,0.49,1.61,1.26,1.69,0.81
149,0,0,0,NA,0.68,0.93,0.46,-0.49,1.00,0.92,1.33,0.40,-0.29,0.82,0.96,0.39,-0.19,0.42
150,0,0,0,1,0.68,1.31,0.27,-0.49,1.00,-0.07,1.51,0.44,0.51,1.02,0.62,-0.39,-0.12,-0.25
153,0,0,NA,NA,0.68,1.31,0.04,-0.49,1.00,-0.83,1.37,0.48,0.57,0.90,1.00,-0.92,-0.67,0.04
154,1,1,0,0,0.68,1.31,0.53,-0.49,-0.35,-0.54,1.19,0.48,0.96,0.78,0.55,-0.92,-0.67,-0.08
155,0,0,0,NA,0.68,1.31,-0.85,-0.49,-1.20,-1.20,1.00,0.48,1.20,0.45,0.27,-0.92,-0.67,0.01
156,0,1,0,0,0.68,1.31,2.39,-0.49,-1.20,-0.17,0.82,0.48,1.14,0.41,-0.15,-0.92,-0.67,-0.03
157,0,0,0,0,0.68,1.31,0.08,-0.49,-1.20,-0.45,0.57,0.48,1.23,0.45,-1.13,-0.92,-0.67,-0.52
158,0,0,0,0,0.66,0.69,-1.06,-0.49,-1.20,-0.07,0.00,0.48,1.32,0.70,-1.47,-0.92,-0.67,-1.73
159,0,0,0,0,-1.61,-0.83,-0.89,1.30,-1.20,-1.01,-1.54,-0.43,0.93,-1.14,-0.59,-0.92,-0.67,-0.91
160,0,0,0,NA,-1.78,-0.90,-0.52,0.19,-1.20,-1.16,-1.28,0.36,1.17,-1.02,0.48,-0.92,-0.67,-0.04
163,0,0,NA,NA,0.68,-0.90,-0.85,-0.23,1.00,1.95,-0.71,0.20,-1.55,0.29,2.86,1.26,-0.57,1.49
164,0,0,0,0,0.68,-0.90,0.13,-0.49,1.00,2.19,0.29,0.40,-1.46,0.33,2.72,1.26,0.61,1.34
165,0,0,0,0,0.68,-0.90,-0.22,-0.49,1.00,2.05,0.78,0.44,-1.46,0.33,1.90,1.26,1.09,1.15
166,0,1,0,0,0.68,-0.70,0.64,-0.49,1.00,1.11,1.08,0.44,-0.77,0.53,0.92,1.09,0.84,0.92
167,0,0,NA,NA,0.68,1.22,0.57,-0.49,1.00,0.73,1.31,0.44,-0.26,0.86,0.06,-0.81,-0.54,0.65
171,0,0,NA,NA,0.68,1.31,0.53,-0.49,0.98,0.30,1.27,0.48,-0.29,0.70,0.73,-0.92,-0.67,-0.14
173,0,0,1,0,0.68,1.31,-0.36,-0.49,-1.20,-1.11,0.77,0.48,1.32,0.74,-0.76,-0.92,-0.67,-1.61
174,0,0,0,0,0.68,1.31,-0.85,-0.49,-1.20,-1.11,0.45,0.48,1.32,0.74,-0.82,-0.92,-0.67,-1.70
175,0,0,0,0,0.68,-0.08,-0.52,-0.49,-1.20,-0.50,0.21,0.48,1.32,0.66,-1.24,-0.92,-0.67,-2.18
176,0,0,0,0,0.07,-0.90,-1.48,-0.49,-1.20,-0.31,-0.33,0.48,1.23,0.00,-1.30,-0.92,-0.67,-1.27
177,0,0,0,NA,-1.44,-0.90,-0.38,1.96,-1.20,-1.25,-1.63,-0.67,0.81,-1.14,-0.50,-0.92,-0.67,-0.04
178,0,0,0,0,-1.78,-0.90,-0.29,-0.17,-0.94,-0.21,-1.46,0.40,1.20,-0.98,0.54,-0.92,-0.67,0.48
184,0,0,NA,NA,0.68,0.47,0.39,-0.49,1.00,1.81,0.98,0.40,-1.34,0.49,0.52,-0.05,-0.67,1.08
185,0,0,0,NA,0.68,1.31,0.74,-0.49,1.00,1.39,1.21,0.44,-1.22,0.53,-0.55,-0.92,-0.67,0.87
186,0,0,0,0,0.68,1.31,-0.68,-0.49,1.00,0.63,1.40,0.44,-0.08,0.86,-1.44,-0.92,-0.67,0.62
189,0,0,0,0,0.68,1.31,0.43,-0.49,-0.01,0.07,1.12,0.48,0.87,1.02,-0.21,-0.92,-0.67,-1.25
190,0,0,0,0,0.68,1.31,-0.87,-0.49,-1.16,-1.34,0.91,0.48,1.29,0.70,-0.50,-0.92,-0.67,-1.65
191,0,0,0,0,0.68,1.31,-0.55,-0.49,-1.20,-1.25,0.55,0.48,1.32,0.74,-1.48,-0.92,-0.67,-2.17
192,0,0,0,0,0.68,0.82,0.11,-0.49,-1.20,-0.26,-0.02,0.48,1.29,0.62,-1.47,-0.92,-0.67,-1.47
193,0,0,0,0,-0.40,-0.72,-0.15,-0.38,-1.20,-0.59,-0.86,0.44,1.14,-0.24,-1.67,-0.92,-0.67,-1.59
194,0,0,NA,NA,-1.78,-0.90,-0.22,-0.06,-1.07,-0.45,-0.72,0.28,0.42,-1.18,-0.93,-0.92,-0.67,-0.19
195,0,0,0,NA,-1.78,-0.90,-0.87,0.57,-0.61,-0.92,-1.76,-0.55,0.10,-1.43,0.07,-0.92,-0.67,0.37
196,0,0,NA,NA,-1.78,-0.90,-1.01,2.89,0.73,-1.30,-2.02,-3.00,-1.49,-2.17,1.01,-0.92,-0.67,0.71
204,0,1,0,0,0.68,1.31,0.55,-0.49,1.00,1.76,1.31,0.40,-1.31,0.57,-1.30,-0.92,-0.67,0.46
205,0,0,0,0,0.68,1.31,-0.15,-0.49,0.89,0.92,1.20,0.44,-0.11,0.90,-1.03,-0.92,-0.67,-0.22
206,0,0,0,NA,0.68,1.31,-0.15,-0.49,-0.46,0.78,1.02,0.44,0.90,1.02,-0.83,-0.92,-0.67,-1.05
207,0,0,0,NA,0.68,1.31,-0.34,-0.49,-1.20,0.35,0.85,0.48,0.66,0.49,-1.27,-0.92,-0.67,-1.36
208,0,0,0,0,0.68,1.31,0.01,-0.49,-1.20,-0.78,0.71,0.48,1.29,0.74,-0.73,-0.92,-0.67,-1.66
209,0,0,0,0,0.68,0.56,0.48,-0.49,-1.05,-0.35,0.32,0.48,1.26,0.74,-0.91,-0.92,-0.67,-1.41
210,0,0,0,0,0.07,-0.90,0.27,-0.37,-1.14,-0.54,-0.58,0.44,1.11,0.04,-0.88,-0.92,-0.67,-0.17
211,0,0,0,0,-1.66,-0.90,-1.36,1.56,-1.03,-0.40,-1.73,-1.18,-0.62,-1.63,-0.85,-0.92,-0.67,-0.37
212,0,0,NA,NA,-1.78,-0.90,0.15,-0.31,0.65,0.54,-1.01,-0.03,-1.34,-1.55,-0.43,-0.92,-0.67,0.08
213,0,0,0,0,-1.78,-0.90,1.23,-0.26,1.00,0.02,-1.73,-2.72,-1.64,-2.08,0.45,-0.92,-0.67,0.58
224,0,0,0,0,0.68,1.31,-1.92,-0.49,-1.20,0.49,0.78,0.44,1.26,0.86,-0.96,-0.92,-0.67,-1.93
225,0,0,0,0,0.68,1.27,0.18,-0.49,-0.92,0.68,0.48,0.44,1.20,0.90,-1.56,-0.92,-0.67,-1.69
226,0,0,0,0,0.68,0.67,1.13,-0.49,-0.92,0.45,0.25,0.44,0.60,0.53,-0.79,-0.92,-0.67,-0.43
227,0,0,0,0,0.68,-0.83,0.81,-0.49,-0.81,0.68,0.11,0.44,0.28,0.41,-0.01,-0.92,-0.67,-0.01
228,0,0,0,NA,-0.35,-0.90,-0.66,0.13,-0.15,-0.31,-1.18,0.16,0.19,-0.20,0.15,-0.92,-0.67,0.35
229,0,0,0,0,-1.78,-0.90,-1.29,-0.20,0.58,0.30,-1.20,0.36,-0.20,-1.27,0.24,-0.92,-0.67,0.41
230,0,0,0,NA,-1.78,-0.90,0.92,-0.14,1.00,0.63,-1.47,-0.98,-1.55,-1.76,0.49,-0.92,-0.67,0.52
231,0,0,0,0,-1.78,-0.90,1.69,0.97,0.98,0.26,-1.55,-3.16,-1.67,-2.21,1.13,-0.92,-0.67,0.78
238,1,0,NA,NA,0.68,-0.79,-0.55,-0.13,1.00,1.91,0.67,0.24,-1.55,0.29,-0.17,-0.92,-0.67,1.01
239,0,0,NA,NA,0.68,-0.10,0.60,-0.49,1.00,2.05,0.81,0.40,-1.46,0.41,0.54,-0.92,-0.67,0.84
241,1,0,0,NA,0.68,1.31,0.57,-0.49,-0.26,1.29,0.96,0.44,-0.83,0.49,0.27,-0.92,-0.67,0.17
242,0,0,1,0,0.68,1.09,0.83,-0.49,-0.96,1.06,0.61,0.44,1.02,0.86,-0.27,-0.92,-0.67,-1.38
243,0,0,0,0,0.59,-0.83,0.97,-0.35,-0.52,0.49,0.04,0.44,0.25,0.37,-0.58,-0.92,-0.67,-0.75
244,0,0,0,NA,0.29,-0.90,1.32,-0.07,0.25,-0.26,-0.89,0.24,-0.02,0.21,-0.17,-0.92,-0.67,-0.61
245,0,0,0,NA,0.04,-0.90,-0.10,0.33,0.01,-0.03,-0.82,0.16,-0.02,0.08,0.64,-0.92,-0.67,-0.27
246,0,0,NA,NA,-0.67,-0.90,0.22,-0.24,0.91,1.01,-1.02,0.28,-0.74,-0.41,1.20,-0.92,-0.67,0.38
247,0,0,0,0,-1.78,-0.90,1.16,1.14,1.00,0.49,-1.56,-0.55,-1.52,-1.68,1.34,-0.92,-0.67,0.74
248,0,0,0,0,-1.78,-0.90,-0.29,2.10,0.60,0.12,-1.79,-2.05,-1.55,-1.96,1.52,-0.92,-0.67,0.86
255,0,0,0,NA,0.66,-0.90,0.71,-0.37,1.00,1.72,0.15,0.40,-1.28,0.41,-1.58,-0.92,-0.67,1.04
257,0,1,1,0,0.68,-0.90,-0.45,-0.49,0.05,0.78,0.38,0.48,-0.11,0.53,-0.04,-0.92,-0.67,0.54
258,0,0,NA,NA,0.68,-0.90,-0.78,-0.49,-1.20,-0.03,0.65,0.48,1.14,0.45,-0.51,-0.92,-0.67,0.33
259,0,0,0,0,0.68,0.41,0.57,-0.49,-1.20,-0.03,0.79,0.48,0.87,0.45,-0.48,-0.92,-0.67,0.00
261,0,0,0,0,0.41,-0.90,-1.10,0.00,-1.20,-1.11,-0.06,0.28,1.32,0.53,-0.56,-0.92,-0.67,-2.17
262,0,0,NA,NA,-1.68,-0.90,-1.22,4.00,-1.18,-1.53,-1.28,-3.20,-1.07,-2.13,-0.37,-0.92,-0.67,-1.49
263,0,0,0,NA,-1.78,-0.90,-0.66,1.00,0.27,0.30,-1.41,-1.18,-1.43,-1.84,0.37,-0.92,-0.67,-0.44
273,0,0,0,NA,-0.70,-0.90,-0.99,0.01,0.54,-0.07,-0.69,0.32,0.16,-0.33,-1.23,-0.92,-0.67,0.94
274,0,0,NA,NA,0.24,-0.90,-1.06,0.86,-0.92,-0.50,-0.83,0.09,0.31,-0.12,-0.59,-0.92,-0.67,0.62
275,0,0,0,0,0.68,-0.90,-1.29,0.36,-1.20,-1.01,-0.38,0.36,1.11,0.29,-0.41,-0.92,-0.67,0.13
276,0,0,0,0,0.68,-0.90,0.39,-0.49,-1.20,-1.11,0.29,0.48,1.20,0.33,-1.39,-0.92,-0.67,-0.58
279,0,0,0,NA,0.41,-0.90,-0.55,1.66,-1.20,-1.67,-0.40,0.44,1.29,0.49,-1.51,-0.92,-0.67,-1.57
280,0,0,0,0,-1.78,-0.90,0.06,1.03,0.10,0.78,-1.28,-0.15,-0.65,-1.51,-1.13,-0.92,-0.67,-0.04
281,0,0,0,0,-1.78,-0.90,0.25,0.98,1.00,0.02,-1.27,-1.10,-1.46,-1.80,-0.09,-0.92,-0.67,0.31
292,0,0,0,0,-1.78,-0.90,-1.64,0.41,-1.20,-1.91,-0.99,-1.50,0.28,-1.55,0.17,-0.92,-0.67,0.58
293,0,0,0,NA,-0.80,-0.90,-0.73,0.60,-1.20,-2.00,-0.58,-0.43,0.99,-0.65,-0.27,-0.92,-0.67,0.02
294,0,0,0,NA,-1.44,-0.90,-1.99,0.29,-1.20,-1.91,-0.29,-0.55,1.20,-0.98,-1.12,-0.92,-0.67,-1.06
296,0,0,0,NA,-1.51,-0.90,-1.08,0.02,-1.20,-1.25,-0.65,-1.18,0.84,-1.27,-1.56,-0.92,-0.67,-1.23
297,0,0,NA,NA,-1.66,-0.90,-0.78,0.15,-0.76,0.26,-1.23,0.05,0.31,-1.23,-1.33,-0.92,-0.67,-0.44
298,0,0,0,NA,-1.78,-0.90,1.48,0.73,1.00,-0.17,-1.42,-1.65,-1.37,-1.88,-0.93,-0.92,-0.67,0.29
309,0,0,0,NA,-1.78,-0.90,-1.85,1.82,-1.20,-2.05,-0.59,-2.92,-1.19,-2.17,0.93,-0.92,-0.67,1.00
310,0,0,0,0,-1.78,-0.90,-0.85,1.61,-1.20,-2.00,-1.18,-2.96,-1.31,-2.17,1.04,-0.92,-0.67,0.73
311,0,0,0,NA,-1.78,-0.90,-1.41,2.26,-1.20,-2.05,-1.14,-3.16,-1.22,-2.21,0.41,-0.92,-0.67,0.41
312,0,0,0,NA,-1.78,-0.90,-0.89,2.78,-1.20,-2.15,-1.12,-3.20,-1.28,-2.21,-0.14,-0.92,-0.67,0.21
313,0,0,NA,NA,-1.78,-0.90,-0.55,5.49,-1.20,-2.10,-1.39,-3.35,-1.61,-2.29,-0.73,-0.92,-0.67,0.28
316,0,0,0,NA,-1.78,-0.90,-0.68,3.29,1.00,-0.68,-1.83,-2.37,-1.46,-2.04,-0.06,-0.92,-0.67,0.60
327,0,0,NA,NA,-1.78,-0.90,-1.90,3.07,-0.48,-1.72,-1.58,-3.24,-1.52,-2.25,2.04,-0.92,-0.67,1.13
328,0,0,0,NA,-1.78,-0.90,-0.66,3.71,-0.85,-1.49,-1.42,-2.84,-1.37,-2.17,1.93,-0.92,-0.67,0.94
329,0,0,0,0,-1.78,-0.90,-0.94,2.67,-1.18,-1.67,-1.11,-2.64,-0.98,-2.04,1.32,-0.92,-0.67,0.78
330,0,0,0,NA,-1.78,-0.90,-1.71,3.59,-1.09,-1.67,-1.75,-3.12,-1.28,-2.21,0.78,-0.92,-0.67,0.70
355,0,0,NA,NA,-1.78,-0.90,2.23,0.08,1.00,0.54,-0.79,0.16,-1.43,-1.55,-1.49,-0.92,-0.67,-0.08
362,0,0,NA,NA,-1.66,-0.90,1.69,0.40,1.00,0.59,-1.47,-2.17,-1.61,-1.96,-0.83,-0.81,-0.67,0.17
363,0,0,0,0,0.22,-0.90,1.81,-0.48,1.00,0.78,-0.63,0.44,-0.95,0.12,-0.94,0.85,-0.67,-0.94
364,0,0,0,NA,-1.63,-0.90,-0.41,0.33,1.00,-0.03,-1.16,-0.15,-1.31,-1.51,-0.76,-0.79,-0.67,-0.36
370,0,0,0,0,-0.89,-0.90,0.48,0.26,1.00,0.96,-1.20,-2.72,-1.64,-1.39,-1.65,-0.13,-0.67,0.39
371,0,0,0,0,0.68,-0.90,-0.59,-0.49,1.00,0.59,-0.14,0.44,-0.98,0.29,-1.04,1.26,-0.67,0.02
372,0,0,0,0,0.24,-0.90,0.18,-0.46,1.00,-0.35,-0.62,0.36,-0.20,0.29,-0.04,0.87,-0.67,0.15
373,0,0,0,NA,-1.36,-0.90,2.09,-0.45,1.00,0.49,-1.12,0.01,-1.04,-1.23,0.74,-0.55,-0.67,0.55
378,0,0,0,0,0.24,-0.90,-0.78,-0.48,1.00,0.35,-0.94,0.28,-0.71,0.17,-1.05,0.87,0.26,0.72
380,0,0,0,0,0.68,-0.90,-0.57,-0.49,1.00,0.12,0.24,0.44,-0.59,0.41,0.25,1.26,-0.67,0.61
381,0,0,0,0,0.56,-0.90,0.22,-0.47,1.00,-0.64,-0.13,0.44,0.48,0.57,1.04,1.15,-0.67,0.54
