Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Bound,Imp,AllPrey,Hum,Post,Hnt,Htd,Riv
5,0,0,0,NA,-1.16,1.69,0.89,1.16,-0.98,-1.53,-0.45,1.22,0.28,0.88,1.44,1.08
6,0,0,0,0,-1.16,1.02,0.89,0.73,-0.57,-1.05,0.01,1.08,0.09,1.01,1.56,0.97
7,0,0,0,0,-1.16,-0.31,0.89,0.19,-0.15,-0.69,0.08,0.90,0.32,1.01,0.52,0.88
8,0,0,0,0,-1.00,-0.23,0.89,-0.13,0.01,-0.50,0.16,0.82,0.98,1.01,-0.62,0.66
9,0,0,0,0,-1.16,1.24,0.89,-0.61,-0.52,-0.08,0.24,1.08,1.09,1.01,-0.81,0.24
10,0,0,0,NA,-1.16,-1.61,0.00,-0.29,-1.02,-0.21,-0.15,1.14,0.01,0.75,-0.81,-0.55
11,0,0,NA,NA,-1.16,-0.31,-0.53,0.14,-0.96,0.27,-2.99,0.98,-1.05,-1.04,-0.81,-0.65
21,0,0,0,0,-0.58,-0.03,0.89,1.05,-1.09,-1.62,-2.84,0.90,-1.57,-0.61,-0.08,1.44
22,0,0,0,0,0.44,1.94,0.89,0.94,-1.05,-1.27,-0.30,0.66,-0.75,0.66,1.18,1.34
23,0,1,NA,NA,-0.73,-1.48,0.89,-0.56,-0.60,0.17,0.55,0.90,0.34,1.01,1.56,1.24
25,0,0,0,0,0.24,1.52,0.89,-0.18,0.38,-0.50,0.32,-0.28,0.94,1.01,1.56,0.91
26,0,0,0,0,1.06,-0.31,0.89,-0.35,0.47,-0.12,0.70,-0.76,1.46,1.01,1.56,0.59
27,0,0,0,0,0.33,-0.53,0.74,0.03,-0.04,-0.21,0.55,0.12,1.20,1.01,0.78,0.06
28,0,0,0,0,-0.40,-1.41,-1.22,0.14,-0.63,0.85,0.32,0.79,0.14,1.01,0.00,-1.50
29,0,0,0,NA,-1.16,2.99,-0.24,0.68,-1.12,-0.92,-1.76,1.16,-0.81,0.01,-0.81,-0.62
39,1,0,0,0,1.04,-0.26,0.89,1.59,-0.93,-1.37,0.24,0.20,-1.11,0.99,1.56,1.48
40,0,0,0,0,1.06,-0.36,0.89,1.48,-0.47,-1.17,0.39,-0.17,-0.50,1.01,1.56,1.37
41,0,0,0,NA,1.01,1.24,0.89,0.57,-0.10,-0.69,0.55,-0.49,0.10,1.01,1.56,1.25
42,0,1,0,NA,0.62,-0.78,0.89,0.25,0.39,-0.18,0.78,-0.81,-0.16,1.01,1.56,1.11
43,0,1,0,0,1.06,1.99,0.89,-0.08,0.94,-0.34,0.55,-1.18,0.04,1.01,1.56,0.93
44,0,0,0,NA,0.62,1.52,0.89,-0.08,0.94,-0.53,0.39,-0.97,0.73,1.01,1.56,0.66
45,0,0,0,0,-0.29,0.29,0.67,-0.08,0.31,-0.73,0.01,0.34,1.34,1.01,0.97,0.25
46,0,0,0,0,-1.13,-0.66,-0.60,0.57,-0.37,-0.50,-0.22,1.08,0.74,1.01,-0.74,-0.52
47,0,0,0,0,-1.16,-0.56,-1.20,0.89,-1.02,0.40,-0.30,1.16,0.10,0.79,-0.81,-1.56
48,0,0,NA,NA,-1.16,-0.48,-1.33,0.68,-1.06,0.85,-2.53,1.14,-0.08,-0.80,-0.81,-1.28
56,0,0,NA,NA,-0.47,1.04,0.89,1.21,-1.10,-1.50,-2.38,1.08,-0.20,-0.50,-0.08,1.51
57,0,0,0,0,1.06,0.72,0.89,1.86,-0.75,-1.53,0.24,0.39,-0.05,1.01,1.56,1.41
58,0,0,0,0,1.06,1.69,0.89,1.43,-0.07,-1.27,0.32,-0.36,0.16,1.01,1.56,1.28
59,0,0,0,1,1.06,1.07,0.89,0.41,0.48,-0.63,0.55,-1.02,-0.50,1.01,1.56,1.12
60,0,0,0,0,1.06,-1.06,0.89,0.41,0.89,-0.24,0.78,-1.24,-1.23,1.01,1.56,0.95
61,0,0,0,0,1.06,2.29,0.89,-0.18,1.37,-0.21,0.62,-1.29,-0.84,1.01,1.56,0.78
62,0,0,0,0,-0.87,0.54,0.89,-0.29,1.17,-0.21,0.32,-0.60,0.14,1.01,1.56,0.54
63,0,0,0,0,-1.16,-1.16,-0.75,0.08,0.50,0.20,0.01,0.50,0.68,1.01,1.56,0.09
64,0,0,0,NA,-1.16,2.07,-0.15,0.41,-0.13,-0.76,-0.30,0.98,0.52,1.01,1.13,-0.24
66,0,0,0,NA,-1.16,0.37,-1.33,0.19,-0.98,0.69,-0.38,1.19,0.92,0.88,-0.81,-1.34
74,0,0,1,NA,0.46,-0.53,0.89,1.00,-1.09,-1.05,-0.30,0.60,-0.87,0.42,0.40,1.43
75,0,1,0,0,1.06,-0.21,0.89,1.48,-0.53,-1.24,0.32,0.10,0.14,1.01,0.92,1.31
76,0,0,0,0,1.06,-0.16,0.89,1.59,0.13,-1.27,0.39,-0.46,0.42,1.01,1.49,1.19
77,0,0,0,0,1.06,-0.98,0.89,0.08,0.81,-0.05,0.85,-1.21,-0.63,1.01,1.56,1.02
78,0,0,1,1,1.06,0.17,0.89,0.62,1.42,-0.31,0.78,-1.32,-1.48,1.01,1.56,0.78
79,0,0,0,0,1.06,0.19,0.89,-0.35,1.83,0.40,1.01,-1.34,-1.00,1.01,1.56,0.49
80,0,0,0,0,-0.25,-0.48,0.43,-0.13,1.44,0.01,0.47,-1.05,-0.02,1.01,1.56,0.18
83,0,0,0,0,-0.49,-0.88,-1.33,-0.61,-0.04,1.17,0.32,0.02,-0.17,0.92,1.37,-1.58
84,1,1,0,0,-1.13,-0.13,-1.33,-0.78,-0.64,1.20,0.32,0.95,0.68,1.01,-0.24,-1.29
85,0,0,NA,NA,-1.16,0.44,-1.33,-0.72,-1.12,1.10,-1.45,1.19,1.68,-0.08,-0.81,-1.57
91,0,0,0,NA,-0.54,-1.18,0.89,-0.13,-1.10,-0.44,-2.30,0.74,-1.42,-0.56,-0.81,1.48
94,0,0,0,NA,1.06,-0.51,0.89,0.19,0.41,0.08,1.01,-0.89,0.74,1.01,0.02,1.05
96,1,0,NA,NA,1.06,-1.53,0.89,0.25,1.71,0.36,1.08,-1.32,-0.49,1.01,1.56,0.66
97,0,0,1,1,1.06,0.49,0.67,-0.29,2.24,0.30,0.93,-1.34,-0.26,1.01,1.56,0.21
98,0,0,0,0,1.06,-1.06,-0.84,-1.74,1.86,1.20,0.78,-1.34,0.04,1.01,1.56,-0.80
99,0,0,0,0,1.06,-0.31,-1.33,-1.31,1.36,1.20,0.39,-1.34,-0.91,1.01,1.56,-1.36
100,0,0,0,0,1.06,0.04,-1.33,-0.35,0.85,1.20,0.55,-1.29,-1.57,0.40,0.75,-1.46
101,0,0,0,0,1.06,1.32,-1.33,-0.94,0.19,1.17,0.32,-1.13,-0.78,-0.96,-0.64,-1.03
102,0,0,0,0,0.02,-0.86,-1.33,-0.72,-0.49,0.81,-0.07,0.47,0.30,-0.10,0.35,-0.50
103,0,0,0,NA,-1.16,-1.08,-1.33,-0.67,-1.08,1.20,-0.15,1.14,1.37,0.55,0.89,-1.54
105,0,0,0,0,-1.16,-1.03,-1.33,-1.69,-1.02,1.07,-0.45,1.16,2.03,0.77,-0.17,-0.96
110,1,0,0,0,0.75,-1.88,0.89,0.25,-0.91,-0.02,0.85,0.31,-0.14,1.01,-0.48,1.28
112,0,0,0,NA,1.06,-0.66,0.89,-0.88,0.48,0.72,1.16,-0.92,1.34,1.01,-0.71,0.90
114,0,1,0,0,1.06,-0.26,0.89,-0.94,1.88,0.91,1.32,-1.34,0.62,1.01,1.56,0.40
115,1,1,1,1,1.06,-1.11,0.89,-1.04,2.53,0.88,1.24,-1.37,0.74,1.01,1.56,0.17
116,1,0,0,0,1.06,0.54,0.49,-1.15,2.34,0.88,1.08,-1.34,0.29,1.01,1.56,-0.45
117,0,0,0,0,1.06,-0.63,-1.02,-1.42,1.75,1.20,0.70,-1.34,-0.71,0.51,0.82,-1.49
118,0,0,0,0,1.06,0.89,-1.31,-0.67,1.08,1.01,0.16,-1.29,-1.21,-1.15,-0.81,-0.63
121,0,0,0,0,0.20,0.14,-1.33,-0.72,-0.60,0.62,-0.30,0.60,0.75,-0.36,-0.10,-0.05
122,0,1,0,NA,-0.93,1.27,-1.33,-0.67,-0.60,0.53,-0.53,1.06,0.67,0.75,-0.55,-0.07
123,0,0,0,0,-1.16,-0.58,-1.33,-2.01,-0.61,1.13,-0.22,1.00,1.01,1.01,-0.81,-0.23
124,1,0,0,NA,-1.16,1.09,-1.33,-1.15,-0.97,1.20,-0.22,1.11,1.67,0.97,-0.81,-0.70
127,0,0,NA,NA,-1.16,1.32,0.89,1.75,-1.11,-1.69,-1.22,1.24,0.72,0.23,0.68,1.40
128,0,0,0,0,-0.78,-0.46,0.89,1.27,-0.62,-1.21,0.08,1.11,0.88,1.01,1.15,1.25
129,0,0,0,NA,0.44,0.59,0.89,0.35,-0.07,-0.73,0.39,0.26,1.41,1.01,-0.15,1.05
130,1,0,NA,NA,0.99,0.12,0.89,0.25,0.57,-0.15,0.85,-0.65,2.03,1.01,-0.74,0.80
131,0,1,0,0,1.06,2.47,0.89,0.25,1.25,0.11,1.01,-1.16,1.74,1.01,0.09,0.43
132,0,0,0,0,1.06,0.84,0.89,-0.78,1.95,0.56,1.08,-1.32,1.50,1.01,1.53,-0.18
134,0,0,NA,NA,1.06,-0.88,0.85,-0.40,2.64,0.78,1.24,-1.37,0.86,0.20,0.52,-1.60
135,0,0,0,NA,1.06,-0.31,0.25,-0.56,2.00,0.53,0.85,-1.34,0.14,-1.09,-0.76,-0.80
136,1,0,0,0,1.06,0.92,-0.44,-0.67,1.38,0.36,0.32,-1.29,-0.14,-1.17,-0.81,0.10
140,0,0,1,0,0.97,-0.43,-1.33,-0.94,-0.66,1.10,0.08,-0.38,-0.44,-1.11,-0.81,-0.41
141,0,0,0,0,-0.34,-1.11,-1.33,-1.96,-1.05,1.23,-0.07,0.63,0.09,-0.23,-0.81,-1.87
147,0,0,0,0,-1.16,0.02,0.89,1.91,0.33,-1.69,-0.22,1.06,2.19,1.01,1.56,1.05
148,0,0,NA,NA,-1.02,-0.01,0.89,1.48,0.85,-1.33,0.08,0.55,1.71,1.01,1.42,0.80
149,0,0,0,NA,0.68,0.32,0.89,0.78,1.37,-0.47,0.70,-1.13,1.04,0.14,-0.36,0.43
150,0,0,0,1,1.06,0.12,0.89,-0.35,1.92,0.40,1.08,-1.32,0.70,-0.65,-0.29,-0.19
153,0,0,NA,NA,1.06,-0.13,0.89,-1.21,1.82,0.46,0.85,-1.32,1.08,-1.17,-0.81,0.07
154,1,1,0,0,1.06,0.39,-0.46,-0.88,1.21,0.88,0.62,-1.24,0.62,-1.17,-0.81,-0.03
155,0,0,0,NA,1.06,-1.08,-1.33,-1.64,0.62,1.13,0.01,-1.13,0.34,-1.17,-0.81,0.05
156,0,1,0,0,1.06,2.39,-1.33,-0.45,0.15,1.07,-0.07,-0.94,-0.08,-1.17,-0.81,0.01
157,0,0,0,0,1.06,-0.08,-1.33,-0.78,-0.29,1.17,0.01,-0.94,-1.08,-1.17,-0.81,-0.44
158,0,0,0,0,0.44,-1.31,-1.33,-0.35,-0.94,1.26,0.47,-0.52,-1.42,-1.17,-0.81,-1.57
163,0,0,NA,NA,-1.16,-1.08,0.89,1.97,-0.80,-1.82,-0.30,1.27,2.97,1.01,-0.71,1.43
164,0,0,0,0,-1.16,-0.03,0.89,2.23,-0.14,-1.72,-0.22,1.22,2.83,1.01,0.40,1.28
165,0,0,0,0,-1.16,-0.41,0.89,2.07,0.21,-1.72,-0.22,1.08,2.00,1.01,0.85,1.11
166,0,1,0,0,-0.96,0.52,0.89,1.00,0.48,-0.98,0.16,0.58,1.00,0.84,0.61,0.90
167,0,0,NA,NA,0.97,0.44,0.89,0.57,0.94,-0.44,0.78,-1.13,0.13,-1.06,-0.69,0.64
171,0,0,NA,NA,1.06,0.39,0.87,0.08,1.40,-0.47,0.47,-1.24,0.80,-1.17,-0.81,-0.09
173,0,0,1,0,1.06,-0.56,-1.33,-1.53,0.25,1.26,0.55,-1.24,-0.71,-1.17,-0.81,-1.45
174,0,0,0,0,1.06,-1.08,-1.33,-1.53,-0.36,1.26,0.55,-1.10,-0.76,-1.17,-0.81,-1.54
175,0,0,0,0,-0.34,-0.73,-1.33,-0.83,-0.80,1.26,0.39,-0.12,-1.20,-1.17,-0.81,-1.99
176,0,0,0,0,-1.16,-1.76,-1.33,-0.61,-1.11,1.17,-0.84,0.92,-1.25,-1.17,-0.81,-1.14
184,0,0,NA,NA,0.22,0.24,0.89,1.80,-0.06,-1.59,0.08,0.47,0.59,-0.30,-0.81,1.04
185,0,0,0,NA,1.06,0.62,0.89,1.32,0.54,-1.46,0.16,-0.94,-0.49,-1.17,-0.81,0.85
186,0,0,0,0,1.06,-0.91,0.89,0.46,1.20,-0.24,0.78,-1.29,-1.39,-1.17,-0.81,0.62
189,0,0,0,0,1.06,0.29,-0.13,-0.18,0.93,0.78,1.08,-1.24,-0.15,-1.17,-0.81,-1.12
190,0,0,0,0,1.06,-1.11,-1.29,-1.80,0.40,1.23,0.47,-1.21,-0.44,-1.17,-0.81,-1.49
191,0,0,0,0,1.06,-0.76,-1.33,-1.69,-0.15,1.26,0.55,-1.18,-1.44,-1.17,-0.81,-1.98
192,0,0,0,0,0.57,-0.06,-1.33,-0.56,-0.69,1.23,0.32,-0.57,-1.42,-1.17,-0.81,-1.33
193,0,0,0,0,-0.98,-0.33,-1.33,-0.94,-1.13,1.07,-1.30,0.90,-1.63,-1.17,-0.81,-1.44
204,0,1,0,0,1.06,0.42,0.89,1.75,1.06,-1.56,0.24,-1.18,-1.25,-1.17,-0.81,0.47
205,0,0,0,0,1.06,-0.33,0.78,0.78,1.06,-0.28,0.85,-1.24,-0.98,-1.17,-0.81,-0.17
206,0,0,0,NA,1.06,-0.33,-0.57,0.62,0.60,0.81,1.08,-1.16,-0.78,-1.17,-0.81,-0.94
207,0,0,0,NA,1.06,-0.53,-1.33,0.14,0.33,0.56,0.08,-1.05,-1.23,-1.17,-0.81,-1.23
208,0,0,0,0,1.06,-0.16,-1.33,-1.15,0.03,1.23,0.55,-1.13,-0.67,-1.17,-0.81,-1.50
209,0,0,0,0,0.31,0.34,-1.18,-0.67,-0.59,1.20,0.55,-0.30,-0.86,-1.17,-0.81,-1.28
210,0,0,0,0,-1.16,0.12,-1.27,-0.88,-1.09,1.04,-0.76,1.03,-0.83,-1.17,-0.81,-0.11
224,0,0,0,0,1.06,-2.23,-1.33,0.30,0.05,1.20,0.78,-1.08,-0.91,-1.17,-0.81,-1.75
225,0,0,0,0,1.01,0.02,-1.04,0.51,-0.35,1.13,0.85,-0.89,-1.51,-1.17,-0.81,-1.53
226,0,0,0,0,0.42,1.04,-1.04,0.25,-0.44,0.49,0.16,-0.04,-0.74,-1.17,-0.81,-0.36
227,0,0,0,0,-1.09,0.69,-0.93,0.51,-0.78,0.14,-0.07,1.11,0.06,-1.17,-0.81,0.03
228,0,0,0,NA,-1.16,-0.88,-0.26,-0.61,-1.15,0.04,-1.22,1.16,0.22,-1.17,-0.81,0.36
238,1,0,NA,NA,-1.04,-0.76,0.89,1.91,0.04,-1.82,-0.30,0.87,-0.11,-1.17,-0.81,0.98
239,0,0,NA,NA,-0.36,0.47,0.89,2.07,0.46,-1.72,-0.07,0.42,0.62,-1.17,-0.81,0.83
241,1,0,0,NA,1.06,0.44,-0.37,1.21,0.28,-1.05,0.08,-0.57,0.35,-1.17,-0.81,0.20
242,0,0,1,0,0.84,0.72,-1.09,0.94,-0.31,0.94,0.78,-0.41,-0.21,-1.17,-0.81,-1.24
243,0,0,0,0,-1.09,0.87,-0.64,0.30,-0.91,0.11,-0.15,1.08,-0.52,-1.17,-0.81,-0.65
244,0,0,0,NA,-1.16,1.24,0.14,-0.56,-1.05,-0.18,-0.45,1.14,-0.11,-1.17,-0.81,-0.53
245,0,0,NA,NA,-1.16,-0.28,-0.11,-0.29,-1.15,-0.18,-0.68,1.19,0.71,-1.17,-0.81,-0.21
255,0,0,0,NA,-1.16,0.59,0.89,1.70,-0.89,-1.53,-0.07,1.06,-1.54,-1.17,-0.81,1.00
257,0,1,1,0,-1.16,-0.66,-0.06,0.62,-0.19,-0.28,0.16,0.90,0.02,-1.17,-0.81,0.54
258,0,0,NA,NA,-1.16,-1.01,-1.33,-0.29,-0.18,1.07,0.01,0.58,-0.45,-1.17,-0.81,0.35
259,0,0,0,0,0.15,0.44,-1.33,-0.29,-0.33,0.78,0.01,0.04,-0.42,-1.17,-0.81,0.04
261,0,0,0,NA,-1.16,-1.36,-1.33,-1.53,-1.04,1.26,0.16,0.74,-0.50,-1.17,-0.81,-1.98
273,0,0,0,NA,-1.16,-1.23,0.43,-0.35,-1.13,0.01,-1.45,1.03,-1.18,-1.17,-0.81,0.92
275,0,0,0,0,-1.16,-1.56,-1.33,-1.42,-0.81,1.04,-0.30,0.90,-0.35,-1.17,-0.81,0.16
276,0,0,0,0,-1.16,0.24,-1.33,-1.53,-0.87,1.13,-0.22,0.76,-1.34,-1.17,-0.81,-0.50
279,0,0,0,NA,-1.16,-0.76,-1.33,-2.17,-1.05,1.23,0.08,0.74,-1.47,-1.17,-0.81,-1.42
362,0,0,NA,NA,-1.16,1.64,0.89,0.41,-0.95,-1.88,-4.53,1.03,-0.78,-1.06,-0.81,0.20
363,0,0,0,0,-1.16,1.77,0.89,0.62,-1.14,-1.17,-0.61,1.16,-0.89,0.60,-0.81,-0.84
364,0,0,0,NA,-1.16,-0.61,0.89,-0.29,-1.01,-1.56,-3.68,1.08,-0.71,-1.04,-0.81,-0.29
370,0,0,0,0,-1.16,0.34,0.89,0.84,-1.10,-1.91,-3.45,1.03,-1.61,-0.39,-0.81,0.40
371,0,0,0,0,-1.16,-0.81,0.89,0.41,-0.83,-1.21,-0.30,1.08,-0.99,1.01,-0.81,0.06
372,0,0,0,0,-1.16,0.02,0.89,-0.67,-1.05,-0.37,-0.30,1.14,0.03,0.62,-0.81,0.18
373,0,0,0,NA,-1.16,2.07,0.89,0.30,-1.05,-1.27,-3.15,1.16,0.82,-0.80,-0.81,0.55
378,0,0,0,0,-1.16,-1.01,0.89,0.14,-1.06,-0.92,-0.53,1.08,-1.00,0.62,0.07,0.71
380,0,0,0,0,-1.16,-0.78,0.89,-0.13,-0.51,-0.79,-0.07,1.06,0.32,1.01,-0.81,0.61
381,0,0,0,0,-1.16,0.07,0.89,-0.99,-0.97,0.36,0.24,1.14,1.13,0.90,-0.81,0.55
