Detection Matrix,SO1,SO2,SO3,SO4,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,Detection Covariate (Substrate),SO1,SO2,SO3,SO4
5_01,0,0,0,0,,5_01,8.3,32.9,0.7,0,3.76,0.91,0.51,,5_01,1,1,1,1
5_02,0,0,0,0,,5_02,9.9,33.1,2.2,0,8.57,0.93,0.60,,5_02,2,1,2,1
5_03,0,0,0,0,,5_03,11.4,32.6,3.8,0,10.53,0.96,0.60,,5_03,1,1,1,1
5_04,0,0,0,0,,5_04,12.9,32.5,5.7,0,6.77,0.96,0.59,,5_04,1,2,1,2
5_05,0,0,0,0,,5_05,14.3,32.5,7.4,0,3.81,0.79,0.59,,5_05,1,1,1,2
5_06,0,0,0,0,,5_06,15.8,31.5,8.1,0,18.29,0.43,0.63,,5_06,1,2,1,2
5_07,0,0,.,.,,5_07,16.7,30.5,8.5,0,29.27,0.14,0.67,,5_07,2,2,.,.
5_08,0,0,0,0,,5_08,17.7,31.0,12.5,0,0.35,0.96,0.59,,5_08,3,3,3,3
6_01,0,0,0,0,,6_01,13.4,22.2,12.3,0,11.26,0.35,0.64,,6_01,2,2,2,2
6_02,0,0,0,0,,6_02,15.2,24.1,13.9,0,9.07,0.67,0.62,,6_02,2,2,3,2
6_03,0,0,0,0,,6_03,17.1,26.0,15.7,0,11.29,0.79,0.60,,6_03,2,1,2,2
6_04,0,0,0,0,,6_04,18.1,27.4,16.7,0,13.11,0.74,0.60,,6_04,1,2,2,1
6_05,1,0,.,.,,6_05,17.6,27.4,16.2,0,17.61,0.61,0.62,,6_05,2,2,.,.
6_06,0,0,0,0,,6_06,17.3,27.7,15.8,0,22.14,0.19,0.66,,6_06,4,4,2,4
6_07,0,0,0,0,,6_07,18.0,28.9,16.4,0,23.40,0.02,0.67,,6_07,2,4,4,4
6_08,0,0,0,1,,6_08,17.7,29.3,16.1,0,21.42,0.24,0.65,,6_08,4,2,4,4
6_09,0,0,0,0,,6_09,17.2,29.2,15.5,0,15.32,0.85,0.60,,6_09,4,2,2,2
6_10,0,0,0,0,,6_10,17.0,29.5,15.3,0,13.87,0.91,0.60,,6_10,2,2,2,2
6_11,0,0,0,0,,6_11,17.4,30.1,15.2,0,8.30,0.85,0.60,,6_11,2,2,3,3
7_01,0,0,0,0,,7_01,17.9,26.3,16.7,0,8.49,0.69,0.60,,7_01,4,3,3,4
7_02,1,0,0,0,,7_02,18.9,26.4,17.8,0,8.72,0.48,0.61,,7_02,3,3,3,3
7_03,0,0,0,0,,7_03,20.2,26.7,19.1,0,22.81,0.29,0.65,,7_03,3,3,3,3
7_04,0,0,.,.,,7_04,21.2,27.3,20.2,0,28.35,0.41,0.65,,7_04,3,4,.,.
7_05,0,0,0,0,,7_05,20.1,29.1,18.7,0,6.43,0.69,0.59,,7_05,3,3,3,4
7_06,0,0,0,0,,7_06,21.8,31.0,20.4,0,4.19,0.64,0.60,,7_06,4,3,3,3
7_07,0,0,0,0,,7_07,23.7,32.9,22.3,0,5.69,0.50,0.60,,7_07,4,3,4,4
7_08,0,0,0,0,,7_08,25.6,34.6,24.1,0,4.41,0.42,0.61,,7_08,3,3,3,3
7_09,0,0,0,.,,7_09,27.3,36.2,25.8,0,6.60,0.39,0.62,,7_09,4,3,3,.
8_01,0,0,0,0,,8_01,32.6,48.5,29.0,0.5,33.00,0.36,0.66,,8_01,3,2,3,2
8_02,0,0,0,0,,8_02,34.2,47.2,30.1,0.5,35.95,0.17,0.68,,8_02,2,2,2,3
8_03,0,0,0,0,,8_03,35.4,45.9,31.0,0.5,38.55,0.22,0.68,,8_03,2,2,3,2
8_04,0,0,0,0,,8_04,36.8,44.5,31.9,0.5,34.18,0.26,0.67,,8_04,2,2,2,3
8_05,0,1,1,0,,8_05,38.1,43.5,33.3,0.5,31.40,0.11,0.68,,8_05,3,2,3,2
8_06,0,0,0,1,,8_06,37.8,43.0,35.0,0.612013536,26.72,0.39,0.65,,8_06,2,2,3,3
8_07,0,0,1,1,,8_07,27.3,42.3,19.4,0,3.94,0.60,0.59,,8_07,2,2,2,3
8_08,0,0,0,0,,8_08,29.1,41.4,21.4,0,2.90,0.54,0.60,,8_08,3,2,2,3
8_09,0,0,0,0,,8_09,30.9,40.6,23.3,0,0.02,0.63,0.58,,8_09,3,2,2,2
8_10,0,0,0,0,,8_10,32.3,40.5,25.0,0,0.42,0.34,0.60,,8_10,2,2,2,2
8_11,1,0,1,1,,8_11,32.3,41.9,25.9,0,2.70,0.64,0.58,,8_11,2,2,2,2
8_12,0,0,0,0,,8_12,32.3,43.4,26.6,0,4.71,0.39,0.60,,8_12,2,2,2,2
9_01,0,0,0,0,,9_01,23.7,44.3,15.6,0,31.98,0.06,0.69,,9_01,3,3,2,2
9_02,0,1,0,0,,9_02,23.9,45.1,16.6,0,24.51,0.30,0.65,,9_02,3,3,2,3
9_03,0,0,1,0,,9_03,24.8,45.4,18.3,0,2.71,0.29,0.62,,9_03,2,3,3,3
9_04,0,1,0,0,,9_04,23.4,45.5,16.1,0,33.62,0.16,0.68,,9_04,2,3,2,2
9_05,0,1,1,1,,9_05,22.6,45.9,16.4,0,32.32,0.22,0.67,,9_05,2,3,2,3
9_06,0,0,0,0,,9_06,22.3,45.2,16.9,0,32.23,0.17,0.68,,9_06,2,2,3,3
9_07,0,0,.,.,,9_07,21.5,44.2,16.8,0,35.11,0.31,0.67,,9_07,2,3,.,.
9_08,0,0,0,0,,9_08,25.0,44.0,17.3,0,9.84,0.57,0.61,,9_08,2,2,3,3
10_01,0,0,0,0,,10_01,15.7,32.5,14.6,0,1.49,0.10,0.63,,10_01,1,1,2,1
10_02,0,1,.,.,,10_02,14.6,31.1,13.4,0,2.10,0.22,0.62,,10_02,1,2,.,.
10_03,1,1,1,0,,10_03,1.7,22.0,0.7,0,34.32,0.68,0.60,,10_03,2,2,2,2
10_04,1,0,0,0,,10_04,3.4,23.7,2.3,0,10.89,0.80,0.63,,10_04,3,2,3,3
10_05,0,0,0,0,,10_05,5.1,25.3,3.8,0,5.48,0.71,0.63,,10_05,3,2,3,3
10_06,0,0,0,0,,10_06,6.8,26.7,5.4,0,2.69,0.42,0.63,,10_06,3,3,3,3
10_07,0,0,1,0,,10_07,8.6,28.5,6.8,0,0.18,0.63,0.61,,10_07,2,3,3,3
10_08,1,1,0,0,,10_08,9.9,30.3,8.1,0,3.55,0.48,0.62,,10_08,2,3,2,2
11_04,1,1,1,1,,11_04,2.6,15.8,0.1,0,1.63,0.66,0.39,,11_04,2,3,2,2
11_05,1,1,0,1,,11_05,1.2,16.6,0.1,0,23.99,0.30,0.44,,11_05,2,3,3,2
11_06,1,0,0,1,,11_06,1.3,17.6,0.2,0,63.08,0.47,0.46,,11_06,3,3,3,3
21_01,0,0,0,0,,21_01,3.9,2.3,0.8,0.924664785,20.96,0.72,0.61,,21_01,2,1,1,1
21_02,0,0,0,0,,21_02,4.2,3.0,2.6,1,12.30,0.87,0.66,,21_02,1,1,1,1
21_03,0,0,.,.,,21_03,5.2,4.3,3.9,1,8.27,0.87,0.66,,21_03,1,2,.,.
21_04,0,0,0,0,,21_04,2.2,1.1,0.8,0.862020033,12.97,0.77,0.59,,21_04,2,3,3,2
21_05,0,0,0,1,,21_05,3.4,3.0,2.2,1,3.57,0.48,0.67,,21_05,3,3,3,3
21_06,0,0,0,0,,21_06,4.9,4.7,3.1,1,4.09,0.56,0.64,,21_06,3,3,3,2
21_07,0,0,0,0,,21_07,5.9,6.2,3.4,1,13.53,0.47,0.64,,21_07,3,3,2,2
21_08,0,0,0,0,,21_08,7.0,7.7,3.4,1,15.01,0.72,0.63,,21_08,2,3,2,3
22_01,0,0,0,1,,22_01,8.2,9.9,3.7,1,5.78,0.93,0.62,,22_01,4,4,4,4
22_02,0,0,0,0,,22_02,8.4,11.4,4.8,1,6.53,0.69,0.63,,22_02,3,3,4,4
22_03,0,0,1,0,,22_03,8.9,13.2,6.0,1,12.47,0.68,0.64,,22_03,3,3,4,4
22_04,1,0,0,0,,22_04,9.1,15.0,6.4,1,12.41,0.74,0.64,,22_04,4,3,4,3
22_05,0,0,0,0,,22_05,8.8,16.6,5.9,1,3.67,0.81,0.63,,22_05,4,3,3,3
22_06,0,0,0,0,,22_06,7.5,17.8,4.9,1,2.97,0.45,0.65,,22_06,4,3,4,4
22_07,0,0,1,0,,22_07,5.9,18.9,3.6,1,5.43,0.29,0.66,,22_07,3,4,4,3
22_08,0,1,.,.,,22_08,4.7,19.7,2.9,1,10.45,0.56,0.63,,22_08,4,4,.,.
22_09,0,0,0,0,,22_09,8.8,22.6,7.2,1,10.13,0.50,0.63,,22_09,3,3,3,3
22_10,0,0,.,.,,22_10,10.4,23.7,8.7,1,15.39,0.12,0.67,,22_10,3,3,.,.
23_01,0,0,0,0,,23_01,12.0,24.9,10.3,1,19.05,0.13,0.67,,23_01,3,3,3,3
23_02,0,0,0,0,,23_02,13.9,26.3,12.1,1,18.38,0.36,0.65,,23_02,3,3,3,3
23_03,0,0,0,0,,23_03,15.7,27.8,13.9,1,16.40,0.30,0.65,,23_03,3,3,4,3
23_04,0,0,0,1,,23_04,17.0,28.0,15.3,1,7.47,0.09,0.67,,23_04,3,2,2,3
23_05,0,1,.,.,,23_05,17.5,27.4,15.7,1,8.91,0.22,0.65,,23_05,3,3,.,.
25_01,0,0,0,0,,25_01,36.6,43.4,35.3,1,9.42,0.23,0.63,,25_01,3,2,2,2
25_02,0,0,0,0,,25_02,36.3,43.7,35.0,1,11.49,0.09,0.66,,25_02,2,2,2,2
25_03,0,0,0,0,,25_03,37.0,44.5,35.6,1,10.95,0.18,0.65,,25_03,2,2,2,2
25_04,0,0,0,0,,25_04,37.6,43.5,36.2,1,11.83,0.31,0.63,,25_04,2,2,2,2
25_05,0,0,0,0,,25_05,38.3,41.6,36.8,1,12.16,0.44,0.62,,25_05,3,2,2,2
25_06,0,0,0,0,,25_06,39.2,39.9,37.7,1,11.10,0.62,0.61,,25_06,2,2,3,3
25_07,0,0,0,0,,25_07,39.8,38.7,38.3,1,6.34,0.24,0.65,,25_07,3,3,3,2
25_08,0,0,0,0,,25_08,38.9,38.4,37.4,1,7.49,0.56,0.59,,25_08,2,2,3,3
26_01,0,0,0,0,,26_01,47.5,39.4,45.7,1,21.35,0.10,0.68,,26_01,1,1,2,2
26_02,0,0,0,0,,26_02,46.9,40.8,44.4,1,31.27,0.25,0.66,,26_02,1,1,1,1
26_03,0,0,0,0,,26_03,45.6,41.7,43.2,1,28.64,0.31,0.66,,26_03,1,1,2,1
26_04,1,0,0,0,,26_04,44.2,42.8,42.0,1,26.79,0.16,0.67,,26_04,1,1,1,2
26_05,0,0,0,0,,26_05,43.0,44.0,40.8,1,38.85,0.07,0.70,,26_05,2,2,3,2
26_06,0,0,0,0,,26_06,41.3,45.7,39.1,1,37.91,0.11,0.69,,26_06,2,2,2,2
26_07,0,0,0,0,,26_07,39.5,47.6,37.2,1,14.76,0.34,0.63,,26_07,3,3,3,2
26_08,0,0,0,0,,26_08,37.7,49.3,35.5,1,10.63,0.26,0.63,,26_08,3,2,3,2
26_09,0,0,0,0,,26_09,36.0,50.9,33.7,1,2.13,0.36,0.62,,26_09,2,2,3,3
26_10,0,0,.,.,,26_10,34.7,51.1,32.4,1,0.70,0.48,0.59,,26_10,2,3,.,.
27_01,0,0,0,0,,27_01,26.7,44.7,24.3,0.5,28.96,0.33,0.67,,27_01,3,3,2,2
27_02,0,0,0,0,,27_02,27.9,46.3,25.2,0.5,29.61,0.41,0.65,,27_02,3,2,3,2
27_03,0,0,0,0,,27_03,29.2,48.0,26.5,0.5,32.55,0.22,0.68,,27_03,2,2,2,2
27_04,0,0,0,0,,27_04,26.4,43.4,24.4,0.5,31.96,0.50,0.65,,27_04,2,2,2,2
27_05,0,0,0,0,,27_05,27.0,43.3,25.4,0.5,38.95,0.40,0.66,,27_05,3,2,2,2
27_06,0,0,0,0,,27_06,27.0,42.7,25.8,0.5,51.30,0.38,0.67,,27_06,2,1,2,2
27_07,0,1,0,1,,27_07,26.7,41.9,25.5,0.5,46.34,0.54,0.64,,27_07,1,2,2,2
27_08,0,0,0,0,,27_08,25.9,40.8,24.8,0.5,44.28,0.48,0.65,,27_08,3,2,2,2
27_09,0,1,0,0,,27_09,24.7,39.4,23.7,0.5,38.80,0.50,0.65,,27_09,2,3,2,3
27_10,0,0,0,0,,27_10,23.2,37.9,22.3,0.5,36.80,0.44,0.66,,27_10,2,2,2,2
27_11,0,0,.,.,,27_11,22.4,37.0,21.4,0.5,33.19,0.59,0.62,,27_11,2,2,.,.
27_12,0,0,0,0,,27_12,21.9,39.1,20.2,0,1.61,0.45,0.60,,27_12,1,2,1,1
27_13,0,0,0,0,,27_13,20.2,37.2,18.8,0,0.33,0.25,0.62,,27_13,2,1,2,1
27_14,0,0,.,.,,27_14,18.8,35.8,17.6,0,0.00,0.23,0.63,,27_14,2,2,.,.
28_01,1,0,0,0,,28_01,13.4,29.4,12.0,0,0.64,0.42,0.60,,28_01,1,3,2,2
28_02,0,0,0,0,,28_02,12.0,27.8,10.8,0,2.74,0.92,0.57,,28_02,2,2,1,1
28_03,0,0,0,0,,28_03,10.7,26.2,9.6,0,30.54,0.34,0.66,,28_03,2,2,2,2
28_04,0,0,0,0,,28_04,10.5,25.4,9.4,0,65.49,0.15,0.72,,28_04,2,2,3,2
28_05,0,0,0,0,,28_05,10.4,24.6,9.1,0,45.49,0.29,0.68,,28_05,2,2,2,1
28_06,0,0,0,0,,28_06,9.6,23.0,7.8,0,7.98,0.56,0.60,,28_06,1,1,2,1
28_07,0,0,.,.,,28_07,8.9,21.7,6.5,0,5.43,0.63,0.60,,28_07,2,2,.,.
28_08,0,0,0,0,,28_08,21.0,35.7,20.0,0.5,32.26,0.66,0.62,,28_08,2,2,2,3
28_09,0,0,1,0,,28_09,19.2,33.9,18.2,0.5,36.17,0.31,0.67,,28_09,3,2,2,3
28_10,0,0,0,0,,28_10,17.5,32.0,16.5,0.5,39.64,0.14,0.69,,28_10,3,3,2,2
28_11,0,0,0,0,,28_11,16.1,30.3,14.9,0.5,37.52,0.08,0.69,,28_11,2,2,2,2
28_12,0,0,0,1,,28_12,14.9,28.7,13.5,0.5,56.98,0.27,0.71,,28_12,2,3,3,2
28_13,0,0,0,0,,28_13,14.5,27.6,12.6,0.5,64.73,0.27,0.72,,28_13,3,3,3,3
28_14,0,1,0,0,,28_14,14.9,27.0,12.2,0.5,60.89,0.36,0.71,,28_14,3,2,2,3
28_15,0,0,0,0,,28_15,16.4,27.7,13.0,0.5,62.49,0.46,0.69,,28_15,2,3,3,2
28_16,0,0,.,.,,28_16,17.6,28.5,13.7,0.5,61.84,0.51,0.69,,28_16,2,2,.,.
29_04,0,0,0,0,,29_04,7.4,15.8,1.0,0,0.00,0.55,0.58,,29_04,2,2,2,2
29_05,0,0,0,0,,29_05,7.6,17.6,2.8,0,0.01,0.68,0.60,,29_05,2,2,2,2
29_06,0,0,0,0,,29_06,8.2,19.5,4.6,0,1.77,0.29,0.62,,29_06,2,2,2,2
29_08,1,1,1,1,,29_08,6.0,14.9,0.1,0,0.00,0.49,0.39,,29_08,2,2,2,2
29_09,1,1,1,.,,29_09,4.4,15.3,0.1,0,0.00,0.58,0.40,,29_09,2,2,2,.
39_01,0,1,0,0,,39_01,6.7,5.9,5.4,1,12.21,0.77,0.65,,39_01,1,2,1,2
39_02,0,0,0,0,,39_02,8.6,7.8,7.2,1,23.01,0.77,0.65,,39_02,1,2,2,1
39_03,0,0,0,0,,39_03,10.5,9.7,9.0,1,26.79,0.66,0.62,,39_03,1,3,2,3
39_04,0,0,0,0,,39_04,12.3,11.4,10.5,1,10.61,0.62,0.63,,39_04,3,3,4,3
39_05,0,0,0,1,,39_05,14.3,13.4,12.3,1,9.29,0.51,0.63,,39_05,3,3,2,2
39_06,0,0,0,0,,39_06,16.2,15.2,13.4,1,13.35,0.77,0.58,,39_06,2,2,2,2
39_07,0,0,0,0,,39_07,17.3,17.1,14.5,1,26.52,0.68,0.61,,39_07,3,2,3,2
39_08,0,0,0,0,,39_08,18.2,18.9,16.0,1,30.54,0.62,0.62,,39_08,3,3,2,2
40_01,0,0,0,0,,40_01,19.1,20.9,17.6,1,19.63,0.89,0.62,,40_01,1,1,1,1
40_02,0,0,0,0,,40_02,10.9,11.1,8.0,1,8.70,0.79,0.61,,40_02,2,2,2,2
40_03,0,0,0,0,,40_03,12.8,13.0,9.4,1,14.39,0.81,0.61,,40_03,2,2,2,2
40_04,0,1,0,0,,40_04,14.7,15.0,11.1,1,24.60,0.51,0.64,,40_04,3,2,3,2
40_05,0,0,0,0,,40_05,16.3,16.9,12.9,1,14.59,0.56,0.64,,40_05,2,3,2,3
40_06,0,0,0,0,,40_06,18.1,18.7,14.8,1,9.49,0.75,0.64,,40_06,2,2,3,4
40_07,0,0,0,0,,40_07,19.3,20.7,16.4,1,17.66,0.71,0.62,,40_07,2,3,2,2
40_08,0,0,0,0,,40_08,20.6,22.6,17.9,1,15.95,0.74,0.63,,40_08,2,2,3,2
40_09,0,0,0,0,,40_09,21.0,23.9,18.4,1,9.08,0.76,0.62,,40_09,2,2,3,3
40_10,0,0,0,.,,40_10,21.8,25.4,19.3,1,4.61,0.65,0.61,,40_10,4,4,3,.
41_01,0,0,0,0,,41_01,22.2,26.7,19.9,1,2.09,0.91,0.58,,41_01,3,2,3,3
41_02,0,0,0,0,,41_02,21.9,27.8,19.7,1,2.57,0.48,0.61,,41_02,2,3,3,3
41_03,0,0,0,0,,41_03,22.3,29.3,20.2,1,11.44,0.28,0.64,,41_03,3,3,3,2
41_04,0,0,0,0,,41_04,22.8,30.7,21.0,1,21.43,0.31,0.65,,41_04,2,2,2,2
41_05,0,0,0,0,,41_05,24.1,32.2,22.3,1,15.63,0.62,0.60,,41_05,2,2,2,2
41_06,0,0,0,0,,41_06,25.2,32.3,23.4,1,12.10,0.89,0.56,,41_06,2,3,2,2
41_07,0,0,0,0,,41_07,25.4,32.4,23.5,1,10.61,0.70,0.57,,41_07,2,2,3,2
41_08,0,0,.,.,,41_08,25.1,33.2,23.1,1,15.70,0.61,0.60,,41_08,2,3,.,.
42_01,0,0,0,0,,42_01,40.0,18.9,38.0,1,32.80,0.34,0.64,,42_01,2,2,2,2
42_02,0,0,0,0,,42_02,38.4,20.7,36.4,1,24.87,0.53,0.59,,42_02,4,2,2,4
42_03,0,0,0,0,,42_03,36.5,22.6,34.6,1,35.22,0.50,0.60,,42_03,2,2,4,4
42_04,0,0,0,0,,42_04,35.3,24.4,33.3,1,25.32,0.33,0.62,,42_04,2,4,4,4
42_05,0,0,0,0,,42_05,34.0,26.2,31.9,1,19.70,0.70,0.57,,42_05,2,4,4,2
42_06,0,0,.,.,,42_06,32.6,27.5,30.5,1,14.67,0.88,0.55,,42_06,4,2,.,.
43_01,0,0,0,0,,43_01,50.9,20.4,48.6,1,32.35,0.02,0.69,,43_01,2,1,1,1
43_02,0,0,0,0,,43_02,50.2,22.2,47.9,1,22.11,0.21,0.64,,43_02,1,1,2,1
43_03,0,0,0,0,,43_03,50.3,24.0,47.9,1,23.94,0.26,0.64,,43_03,2,1,1,1
43_04,0,0,0,0,,43_04,50.8,25.8,48.4,1,16.62,0.52,0.63,,43_04,1,2,3,3
43_05,0,0,0,0,,43_05,50.5,27.6,48.5,1,4.70,0.59,0.60,,43_05,1,1,2,1
43_06,0,0,0,0,,43_06,49.7,29.4,48.1,1,9.50,0.51,0.61,,43_06,1,2,2,1
43_07,0,0,0,0,,43_07,49.1,31.1,47.6,1,6.44,0.28,0.63,,43_07,1,1,1,1
43_08,0,0,0,0,,43_08,48.5,32.9,47.0,1,4.02,0.31,0.63,,43_08,1,1,1,1
43_09,0,0,0,0,,43_09,47.4,34.7,45.9,1,13.71,0.28,0.64,,43_09,1,1,1,1
43_10,0,0,0,0,,43_10,47.4,36.3,45.9,1,18.80,0.17,0.65,,43_10,1,1,1,1
44_01,0,0,0,.,,44_01,47.5,37.7,46.0,1,15.69,0.09,0.66,,44_01,1,1,1,.
44_02,1,0,0,0,,44_02,46.7,38.1,45.3,0.070256589,4.05,0.30,0.60,,44_02,2,2,2,2
44_03,0,0,0,0,,44_03,45.3,39.7,43.7,0.600713618,7.63,0.14,0.64,,44_03,2,2,2,2
44_04,0,0,.,.,,44_04,44.1,40.9,42.4,0.341729268,4.25,0.25,0.62,,44_04,2,2,.,.
44_05,0,0,0,0,,44_05,48.3,36.7,46.7,0,0.22,0.43,0.59,,44_05,2,2,2,2
44_06,0,0,0,0,,44_06,49.7,35.3,47.6,0,2.79,0.51,0.58,,44_06,2,2,2,2
44_07,0,0,.,.,,44_07,50.6,34.7,47.8,0,18.52,0.35,0.61,,44_07,2,2,.,.
45_01,0,0,0,0,,45_01,28.6,42.1,27.2,1,1.18,0.70,0.60,,45_01,2,2,2,3
45_02,0,0,0,0,,45_02,28.7,41.8,27.0,0.818377796,3.69,0.58,0.61,,45_02,2,3,2,2
45_03,0,1,0,0,,45_03,30.3,43.4,28.6,0.091939222,5.47,0.47,0.61,,45_03,3,2,2,2
45_04,0,0,0,0,,45_04,31.4,44.7,29.8,0.606501951,7.60,0.32,0.64,,45_04,3,3,2,3
45_05,0,0,0,0,,45_05,32.3,46.0,31.0,1,11.16,0.36,0.64,,45_05,3,3,3,2
45_06,0,0,0,0,,45_06,33.9,47.7,32.7,1,7.18,0.24,0.64,,45_06,2,3,2,2
45_01ALT,0,0,0,0,,45_01ALT,42.9,42.2,41.2,0.899688689,0.93,0.14,0.64,,45_01ALT,2,2,3,2
45_02ALT,0,0,0,0,,45_02ALT,41.6,43.6,39.5,0.278776357,3.53,0.46,0.60,,45_02ALT,2,2,3,2
45_03ALT,0,0,0,0,,45_03ALT,40.5,44.8,38.3,0.66395785,5.33,0.18,0.64,,45_03ALT,2,2,3,2
45_04ALT,0,0,0,0,,45_04ALT,39.5,45.9,37.1,0.003578732,5.28,0.26,0.61,,45_04ALT,1,1,1,1
45_05ALT,0,0,0,0,,45_05ALT,38.5,47.2,35.7,0.749977621,6.54,0.17,0.64,,45_05ALT,1,1,2,1
45_06ALT,0,0,0,0,,45_06ALT,36.7,48.5,34.0,0.802564317,3.45,0.29,0.63,,45_06ALT,1,1,1,1
45_07ALT,0,0,0,0,,45_07ALT,35.4,47.7,32.2,0.273361836,0.34,0.41,0.61,,45_07ALT,1,1,1,1
45_08ALT,0,0,0,0,,45_08ALT,34.4,46.3,30.6,0,0.01,0.36,0.60,,45_08ALT,1,1,1,1
46_01,0,0,0,0,,46_01,30.7,42.9,26.3,0,0.00,0.67,0.58,,46_01,2,2,2,2
46_02,0,0,0,0,,46_02,29.8,42.8,25.4,0,0.11,0.29,0.60,,46_02,1,1,1,1
46_03,0,0,1,0,,46_03,28.6,42.3,24.1,0,0.54,0.56,0.57,,46_03,1,1,1,1
46_04,0,0,0,0,,46_04,26.9,41.0,22.3,0,1.69,0.53,0.58,,46_04,1,1,1,1
46_05,0,0,0,0,,46_05,25.0,39.3,20.4,0,1.29,0.71,0.58,,46_05,1,1,1,1
46_06,0,0,0,0,,46_06,23.1,37.9,18.5,0,1.46,0.61,0.59,,46_06,1,1,1,2
46_07,0,0,0,0,,46_07,21.3,36.5,16.6,0,2.98,0.77,0.56,,46_07,1,2,1,1
