Site,SO1,SO2,SO3,SO4,R,C,Kud,Imp,Hum,AllPrey,Bound,Post
5_01,0,0,0,0,4.69,0.97,0.94,0.05,0.71,0.51,0.68,32.91
5_02,0,0,0,0,6.12,0.94,0.98,0.06,0.64,0.60,2.18,33.14
5_03,0,0,0,0,5.36,0.97,0.98,0.06,0.62,0.60,3.85,32.64
5_04,0,0,0,0,3.80,0.96,0.98,0.06,0.61,0.59,5.66,32.49
5_05,0,1,1,0,2.77,0.80,0.98,0.08,0.61,0.59,7.36,32.54
5_06,1,0,0,0,1.38,0.44,0.99,0.23,0.63,0.63,8.13,31.47
5_07,0,0,.,.,0.30,0.20,0.98,0.45,0.64,0.67,8.46,30.49
5_08,0,0,0,0,2.55,0.97,0.99,0.04,0.53,0.59,12.54,30.99
6_01,0,0,0,0,0.72,0.39,0.99,0.19,0.51,0.64,12.26,22.17
6_02,0,0,0,0,2.30,0.73,0.99,0.09,0.49,0.62,13.88,24.09
6_03,0,0,0,0,1.66,0.83,0.99,0.08,0.49,0.60,15.68,26.00
6_04,0,0,0,0,0.45,0.78,0.98,0.11,0.50,0.60,16.71,27.35
6_05,0,0,.,.,0.35,0.62,0.99,0.14,0.51,0.62,16.16,27.42
6_06,0,0,0,0,0.18,0.21,0.99,0.37,0.55,0.66,15.80,27.72
6_07,0,0,0,0,0.35,0.04,0.99,0.50,0.56,0.67,16.35,28.87
6_08,0,0,0,0,1.88,0.29,0.99,0.32,0.55,0.65,16.11,29.28
6_09,0,0,0,0,3.76,0.93,0.98,0.08,0.52,0.60,15.52,29.23
6_10,0,0,1,0,5.04,0.96,0.98,0.07,0.51,0.60,15.34,29.48
6_11,0,0,0,0,4.59,0.92,0.99,0.07,0.51,0.60,15.23,30.15
7_01,0,0,0,0,1.46,0.72,0.99,0.10,0.49,0.60,16.67,26.26
7_02,0,0,0,0,1.30,0.51,0.99,0.17,0.50,0.61,17.81,26.43
7_03,0,0,0,0,0.84,0.38,0.99,0.26,0.50,0.65,19.11,26.73
7_04,0,1,.,.,0.15,0.48,0.99,0.21,0.49,0.65,20.17,27.31
7_05,0,0,0,0,1.30,0.73,0.99,0.11,0.50,0.59,18.66,29.09
7_06,0,0,0,0,2.59,0.76,0.99,0.11,0.49,0.60,20.41,31.04
7_07,0,0,0,0,2.16,0.63,0.99,0.16,0.51,0.60,22.27,32.93
7_08,0,0,0,0,2.18,0.53,0.99,0.17,0.51,0.61,24.14,34.62
7_09,0,0,0,.,1.84,0.49,0.99,0.18,0.50,0.62,25.77,36.22
8_01,0,0,0,0,0.24,0.52,0.93,0.32,0.36,0.66,28.99,48.48
8_02,1,1,0,0,0.22,0.24,0.94,0.45,0.35,0.68,30.10,47.16
8_03,0,0,0,0,0.21,0.27,0.94,0.42,0.34,0.68,31.05,45.91
8_04,1,1,1,0,0.25,0.40,0.95,0.34,0.32,0.67,31.91,44.45
8_05,0,0,0,0,0.22,0.25,0.96,0.43,0.30,0.68,33.28,43.52
8_06,0,0,0,0,0.20,0.50,0.93,0.26,0.27,0.65,35.03,43.02
8_07,0,0,1,1,0.65,0.72,0.99,0.12,0.60,0.59,19.45,42.27
8_08,0,0,0,0,1.35,0.61,0.99,0.13,0.58,0.60,21.35,41.39
8_09,0,0,0,0,3.11,0.71,0.99,0.11,0.55,0.58,23.26,40.56
8_10,0,0,0,0,3.03,0.46,0.99,0.21,0.55,0.60,25.02,40.53
8_11,0,0,0,0,1.47,0.73,0.99,0.12,0.54,0.58,25.90,41.86
8_12,0,0,0,0,0.56,0.49,0.99,0.22,0.56,0.60,26.61,43.39
9_01,1,0,0,0,0.45,0.12,0.99,0.38,0.68,0.69,15.56,44.31
9_02,0,0,0,0,0.98,0.42,0.99,0.25,0.67,0.65,16.64,45.12
9_03,0,0,0,0,2.19,0.40,0.99,0.23,0.64,0.62,18.34,45.43
9_04,1,1,1,1,0.45,0.33,0.99,0.32,0.68,0.68,16.14,45.53
9_05,1,0,0,0,0.21,0.43,1.00,0.27,0.68,0.67,16.42,45.93
9_06,0,0,0,0,0.26,0.28,1.00,0.30,0.67,0.68,16.94,45.23
9_07,0,0,.,.,0.34,0.40,0.99,0.26,0.66,0.67,16.76,44.18
9_08,0,0,0,0,1.66,0.62,0.99,0.13,0.63,0.61,17.27,43.97
11_01,0,0,0,0,1.98,0.66,0.12,0.04,0.00,0.13,8.83,5.91
11_02,0,0,0,0,3.44,0.87,0.11,0.03,0.00,0.13,7.03,7.75
11_04,0,0,0,0,1.71,0.78,0.95,0.15,0.69,0.39,0.14,15.83
11_05,0,0,0,0,0.49,0.53,0.96,0.37,0.73,0.44,0.15,16.64
11_06,0,0,0,1,0.33,0.62,0.91,0.40,0.76,0.46,0.17,17.59
21_01,0,1,1,1,2.53,0.91,0.74,0.11,0.25,0.61,0.84,2.28
21_02,1,1,0,0,3.13,0.96,0.86,0.06,0.20,0.66,2.61,3.01
21_03,0,0,.,.,3.86,0.99,0.89,0.05,0.19,0.66,3.94,4.28
21_04,0,0,0,1,1.09,0.85,0.76,0.07,0.24,0.59,0.77,1.08
21_05,1,0,0,0,2.20,0.67,0.88,0.15,0.21,0.67,2.23,2.99
21_06,0,0,0,0,2.48,0.78,0.82,0.15,0.23,0.64,3.09,4.73
21_07,0,0,0,0,2.92,0.60,0.76,0.23,0.25,0.64,3.42,6.24
21_08,0,1,1,0,3.93,0.83,0.76,0.12,0.25,0.63,3.42,7.68
22_01,0,0,0,0,4.80,0.97,0.78,0.06,0.23,0.62,3.73,9.90
22_02,0,0,0,0,4.14,0.73,0.80,0.11,0.25,0.63,4.77,11.45
22_03,0,0,0,0,2.88,0.80,0.82,0.11,0.26,0.64,6.02,13.23
22_04,0,0,0,0,2.29,0.87,0.81,0.10,0.26,0.64,6.42,15.03
22_05,0,0,0,1,3.46,0.94,0.84,0.07,0.26,0.63,5.94,16.56
22_06,0,0,0,0,4.51,0.60,0.85,0.18,0.30,0.65,4.88,17.76
22_07,0,0,0,0,3.80,0.45,0.84,0.28,0.33,0.66,3.62,18.92
22_08,0,0,.,.,3.63,0.73,0.75,0.19,0.34,0.63,2.86,19.66
22_09,0,0,0,0,0.71,0.62,0.76,0.21,0.33,0.63,7.24,22.58
22_10,0,0,.,.,0.58,0.24,0.83,0.43,0.35,0.67,8.67,23.68
23_01,0,0,0,0,0.32,0.32,0.81,0.44,0.34,0.67,10.33,24.91
23_02,0,0,0,0,0.20,0.45,0.81,0.28,0.33,0.65,12.14,26.26
23_03,0,0,0,0,0.44,0.39,0.80,0.32,0.33,0.65,13.90,27.77
23_04,0,0,0,0,1.21,0.14,0.86,0.40,0.31,0.67,15.30,28.00
23_05,0,1,.,.,1.38,0.29,0.85,0.33,0.31,0.65,15.68,27.37
25_01,1,0,0,0,0.21,0.25,0.81,0.35,0.28,0.63,35.34,43.44
25_02,0,0,0,0,0.30,0.11,0.87,0.40,0.28,0.66,35.00,43.68
25_03,0,0,0,0,1.48,0.22,0.86,0.35,0.28,0.65,35.61,44.49
25_04,0,1,0,0,2.19,0.49,0.83,0.28,0.27,0.63,36.16,43.45
25_05,0,1,0,0,3.12,0.58,0.81,0.22,0.25,0.62,36.82,41.56
25_06,0,1,0,0,4.51,0.69,0.82,0.13,0.22,0.61,37.69,39.92
25_07,0,0,0,1,4.99,0.31,0.91,0.24,0.22,0.65,38.31,38.73
25_08,1,0,0,0,5.41,0.67,0.75,0.19,0.22,0.59,37.40,38.36
26_01,1,1,1,0,0.18,0.24,0.89,0.39,0.19,0.68,45.68,39.44
26_02,1,0,1,1,0.35,0.43,0.82,0.36,0.21,0.66,44.36,40.78
26_03,0,0,0,0,0.26,0.45,0.85,0.29,0.21,0.66,43.24,41.69
26_04,0,0,0,0,0.45,0.21,0.86,0.39,0.23,0.67,41.98,42.83
26_05,0,0,0,0,0.18,0.09,0.87,0.46,0.25,0.70,40.76,44.03
26_06,0,0,0,0,0.46,0.15,0.84,0.46,0.28,0.69,39.06,45.70
26_07,0,0,0,1,1.06,0.38,0.80,0.29,0.29,0.63,37.19,47.56
26_08,0,0,0,0,0.42,0.40,0.82,0.33,0.31,0.63,35.46,49.26
26_09,0,0,0,0,1.73,0.46,0.84,0.24,0.32,0.62,33.75,50.89
26_10,0,0,.,.,2.67,0.62,0.78,0.20,0.34,0.59,32.36,51.07
27_01,1,0,0,0,0.29,0.37,0.96,0.27,0.36,0.67,24.32,44.65
27_02,0,0,0,0,0.14,0.45,0.94,0.27,0.37,0.65,25.23,46.30
27_03,0,0,0,0,0.33,0.23,0.95,0.37,0.38,0.68,26.47,48.04
27_04,0,1,1,1,0.46,0.59,0.94,0.22,0.35,0.65,24.40,43.37
27_05,1,1,1,1,0.24,0.44,0.92,0.31,0.36,0.66,25.41,43.29
27_06,1,0,0,0,0.14,0.40,0.90,0.39,0.36,0.67,25.78,42.68
27_07,1,1,1,0,0.29,0.57,0.85,0.31,0.36,0.64,25.51,41.85
27_08,0,0,0,0,0.27,0.53,0.87,0.33,0.35,0.65,24.83,40.83
27_09,0,0,0,0,0.39,0.56,0.89,0.29,0.34,0.65,23.69,39.41
27_10,0,0,0,0,0.25,0.49,0.96,0.44,0.34,0.66,22.26,37.95
27_11,0,0,.,.,0.37,0.64,0.97,0.51,0.35,0.62,21.40,36.99
27_12,0,0,0,0,2.53,0.48,0.99,0.20,0.58,0.60,20.16,39.09
27_13,0,0,0,0,2.02,0.34,0.99,0.24,0.58,0.62,18.80,37.21
27_14,0,0,.,.,2.52,0.27,1.00,0.21,0.57,0.63,17.59,35.79
28_01,0,0,0,1,2.09,0.55,1.00,0.41,0.57,0.60,12.01,29.44
28_02,1,0,0,0,2.15,0.95,1.00,0.16,0.54,0.57,10.82,27.80
28_03,0,0,0,0,1.43,0.42,1.00,0.53,0.58,0.66,9.64,26.15
28_04,0,0,0,0,0.46,0.41,1.00,0.73,0.61,0.72,9.39,25.35
28_05,0,0,0,0,0.20,0.34,1.00,0.60,0.59,0.68,9.09,24.58
28_06,0,0,0,0,0.13,0.61,1.00,0.36,0.56,0.60,7.76,23.00
28_07,0,0,.,.,0.15,0.68,1.00,0.28,0.55,0.60,6.54,21.66
28_08,0,0,1,1,0.15,0.68,0.98,0.42,0.34,0.62,20.03,35.69
28_09,0,0,0,0,0.24,0.47,0.99,0.62,0.35,0.67,18.23,33.90
28_10,0,0,0,0,0.40,0.37,0.99,0.71,0.36,0.69,16.46,32.04
28_11,0,0,0,0,0.23,0.22,0.99,0.74,0.36,0.69,14.89,30.31
28_12,0,0,0,0,0.15,0.33,0.99,0.69,0.36,0.71,13.45,28.67
28_13,0,0,0,0,0.27,0.36,0.98,0.71,0.36,0.72,12.60,27.57
28_14,0,0,0,0,0.27,0.43,0.98,0.64,0.35,0.71,12.20,27.01
28_15,0,0,0,0,0.18,0.53,0.98,0.62,0.36,0.69,13.00,27.75
28_16,0,0,.,.,0.24,0.56,0.98,0.59,0.35,0.69,13.71,28.47
39_01,0,0,0,0,2.79,0.95,0.83,0.08,0.21,0.65,5.37,5.94
39_02,0,0,0,0,1.39,0.87,0.81,0.10,0.22,0.65,7.24,7.83
39_03,0,0,1,1,0.48,0.78,0.69,0.18,0.24,0.62,9.01,9.65
39_04,1,0,0,0,1.10,0.75,0.81,0.14,0.22,0.63,10.51,11.42
39_05,0,0,0,0,0.90,0.70,0.81,0.19,0.23,0.63,12.25,13.36
39_06,0,0,0,0,0.73,0.87,0.66,0.13,0.24,0.58,13.42,15.22
39_07,0,0,0,0,0.50,0.75,0.69,0.17,0.25,0.61,14.51,17.08
39_08,0,0,0,0,0.44,0.79,0.70,0.20,0.26,0.62,16.01,18.88
40_01,0,0,0,0,0.59,0.94,0.77,0.08,0.22,0.62,17.55,20.91
40_02,1,0,1,0,2.73,0.87,0.74,0.10,0.23,0.61,7.97,11.11
40_03,0,0,0,0,1.41,0.95,0.74,0.10,0.24,0.61,9.37,13.01
40_04,0,0,0,1,0.56,0.72,0.77,0.22,0.26,0.64,11.09,14.97
40_05,0,0,0,0,2.00,0.69,0.83,0.15,0.24,0.64,12.93,16.85
40_06,0,0,0,0,1.79,0.83,0.88,0.07,0.22,0.64,14.80,18.74
40_07,0,0,0,0,1.30,0.78,0.78,0.12,0.24,0.62,16.41,20.67
40_08,0,0,0,0,2.69,0.78,0.81,0.10,0.24,0.63,17.88,22.59
40_09,0,0,0,0,3.98,0.81,0.83,0.09,0.24,0.62,18.37,23.91
40_10,0,0,0,.,4.10,0.68,0.80,0.13,0.25,0.61,19.35,25.43
41_01,1,0,0,0,4.54,0.93,0.75,0.07,0.24,0.58,19.87,26.75
41_02,0,0,0,0,4.48,0.55,0.81,0.19,0.27,0.61,19.72,27.83
41_03,0,0,0,0,2.85,0.36,0.83,0.31,0.29,0.64,20.19,29.31
41_04,1,1,1,0,2.04,0.37,0.79,0.33,0.30,0.65,20.96,30.70
41_05,0,0,1,1,2.41,0.70,0.73,0.17,0.29,0.60,22.29,32.19
41_06,1,0,0,0,1.64,0.94,0.63,0.10,0.28,0.56,23.42,32.26
41_07,0,0,0,0,1.16,0.76,0.66,0.16,0.29,0.57,23.53,32.43
41_08,0,0,.,.,0.74,0.68,0.73,0.18,0.29,0.60,23.12,33.15
43_01,0,0,0,0,0.13,0.01,0.84,0.53,0.11,0.69,48.62,20.42
43_02,0,1,0,0,0.20,0.27,0.78,0.41,0.12,0.64,47.86,22.19
43_03,0,0,0,0,0.60,0.43,0.78,0.37,0.12,0.64,47.89,24.01
43_04,1,1,0,0,1.43,0.61,0.83,0.17,0.11,0.63,48.43,25.78
43_05,1,0,0,0,2.88,0.69,0.81,0.14,0.11,0.60,48.52,27.57
43_06,0,0,0,1,4.04,0.62,0.82,0.18,0.13,0.61,48.09,29.41
43_07,1,1,1,0,2.85,0.36,0.86,0.28,0.14,0.63,47.58,31.12
43_08,0,0,0,0,1.28,0.37,0.89,0.22,0.14,0.63,47.01,32.87
43_09,0,0,0,0,0.19,0.43,0.84,0.30,0.16,0.64,45.86,34.66
43_10,0,0,0,0,0.25,0.21,0.84,0.39,0.18,0.65,45.90,36.26
44_01,0,0,0,.,0.22,0.10,0.86,0.42,0.18,0.66,46.01,37.70
44_02,0,0,0,0,4.21,0.40,0.99,0.28,0.36,0.60,45.30,38.13
44_03,0,0,0,1,4.18,0.17,0.95,0.37,0.20,0.64,43.70,39.69
44_04,0,0,.,.,4.29,0.30,0.98,0.28,0.40,0.62,42.37,40.89
44_05,0,0,0,0,3.86,0.58,0.99,0.19,0.33,0.59,46.70,36.66
44_06,0,0,0,0,2.25,0.69,0.99,0.17,0.32,0.58,47.64,35.31
44_07,0,0,.,.,0.90,0.39,0.98,0.29,0.33,0.61,47.76,34.65
45_01,0,0,0,0,2.44,0.71,0.80,0.11,0.29,0.60,27.18,42.08
45_02,0,0,1,1,2.01,0.64,0.89,0.14,0.30,0.61,26.97,41.78
45_03,1,1,1,1,0.65,0.51,0.99,0.16,0.53,0.61,28.62,43.41
45_04,0,0,0,0,0.19,0.34,0.95,0.24,0.31,0.64,29.85,44.69
45_05,0,0,0,0,0.34,0.43,0.85,0.24,0.31,0.64,31.02,45.96
45_06,1,0,0,0,0.16,0.38,0.86,0.30,0.32,0.64,32.73,47.73
45_01ALT,0,0,0,0,4.51,0.29,0.90,0.34,0.22,0.64,41.15,42.18
45_02ALT,0,0,0,0,3.39,0.63,0.98,0.18,0.44,0.60,39.54,43.64
45_03ALT,0,0,0,0,2.20,0.27,0.95,0.32,0.26,0.64,38.27,44.82
45_04ALT,1,1,1,1,1.01,0.29,0.99,0.29,0.50,0.61,37.11,45.88
45_05ALT,1,0,0,0,0.16,0.22,0.93,0.34,0.29,0.64,35.69,47.20
45_06ALT,0,0,1,1,1.06,0.41,0.92,0.26,0.31,0.63,33.99,48.55
45_07ALT,0,0,1,0,2.84,0.52,0.98,0.19,0.53,0.61,32.23,47.69
45_08ALT,1,0,0,1,3.93,0.51,0.99,0.22,0.55,0.60,30.55,46.29
46_01,0,0,1,1,3.07,0.78,0.99,0.11,0.54,0.58,26.29,42.94
46_02,0,0,0,0,4.28,0.34,0.99,0.30,0.57,0.60,25.43,42.79
46_03,0,0,0,0,4.38,0.63,0.97,0.21,0.57,0.57,24.05,42.30
46_04,0,0,0,0,3.46,0.59,0.98,0.20,0.58,0.58,22.26,40.99
46_05,0,0,0,0,2.88,0.76,0.98,0.11,0.56,0.58,20.40,39.30
46_06,0,0,0,0,2.06,0.72,0.99,0.15,0.57,0.59,18.50,37.93
46_07,0,0,0,0,1.38,0.78,1.00,0.25,0.58,0.56,16.61,36.49
46_08,0,0,0,0,0.38,0.66,1.00,0.32,0.60,0.57,14.69,35.39
46_09,0,0,0,.,0.23,0.48,1.00,0.43,0.61,0.60,13.17,34.16
48_01,0,0,0,0,0.41,0.43,1.00,0.67,0.70,0.75,0.61,32.62
48_02,0,0,.,.,0.19,0.38,1.00,0.75,0.71,0.78,0.43,31.63
48_03,0,0,0,0,0.31,0.28,0.99,0.63,0.76,0.64,0.19,29.46
48_04,0,0,1,1,0.75,0.33,0.99,0.56,0.72,0.70,0.26,29.06
48_05,1,1,0,0,0.54,0.33,0.77,0.15,0.86,0.40,0.17,28.50
56_04,0,0,0,0,2.11,0.91,0.71,0.09,0.36,0.61,2.81,24.84
56_05,0,0,0,0,2.52,0.96,0.79,0.06,0.35,0.62,3.14,26.36
57_01,0,0,0,0,0.38,0.79,0.68,0.16,0.37,0.62,7.11,27.76
57_02,0,0,0,0,0.25,0.96,0.62,0.12,0.38,0.59,8.28,29.50
57_03,0,0,1,1,0.20,0.74,0.72,0.16,0.37,0.61,9.84,30.92
57_04,0,0,0,0,0.69,0.60,0.75,0.25,0.37,0.63,11.68,31.63
57_05,0,0,0,0,0.74,0.94,0.64,0.13,0.35,0.59,13.41,31.94
57_06,0,0,0,0,0.25,0.88,0.72,0.12,0.33,0.60,14.95,31.59
57_07,0,0,0,0,0.20,0.93,0.71,0.10,0.31,0.60,16.36,31.21
57_08,0,0,0,0,0.31,0.95,0.60,0.11,0.31,0.58,17.36,30.47
57_09,0,0,.,.,0.17,0.94,0.57,0.12,0.31,0.57,18.48,30.48
58_01,0,0,0,0,1.65,0.91,0.84,0.08,0.22,0.63,19.31,22.66
58_02,1,1,1,0,1.23,0.91,0.86,0.08,0.22,0.65,21.21,24.40
58_03,1,0,0,0,1.98,0.80,0.75,0.14,0.24,0.62,22.77,26.24
58_04,0,1,1,1,3.86,0.74,0.81,0.14,0.24,0.62,23.63,28.12
58_05,1,0,0,0,5.53,0.87,0.75,0.11,0.24,0.60,24.34,29.94
58_06,0,0,0,0,4.83,0.86,0.68,0.11,0.26,0.58,24.71,31.66
58_07,0,0,0,0,3.01,0.89,0.74,0.09,0.25,0.59,25.36,33.32
58_08,0,0,0,0,1.18,0.86,0.74,0.12,0.25,0.60,26.79,33.07
58_09,0,0,0,1,0.16,0.90,0.63,0.12,0.25,0.57,27.69,32.52
59_01,0,0,1,1,0.40,0.62,0.76,0.23,0.11,0.63,43.59,16.15
59_02,1,0,0,0,0.16,0.67,0.75,0.20,0.12,0.63,42.23,17.48
59_03,0,0,0,0,0.17,0.52,0.77,0.25,0.13,0.63,41.01,18.78
59_04,0,1,0,0,1.02,0.41,0.82,0.29,0.14,0.64,39.30,20.23
59_05,0,0,0,0,2.81,0.68,0.75,0.15,0.14,0.60,37.45,21.57
59_06,0,0,0,0,2.93,0.77,0.77,0.14,0.15,0.60,35.62,23.04
59_07,0,0,0,0,2.60,0.91,0.77,0.08,0.16,0.59,34.06,24.13
59_08,0,0,1,0,3.05,0.84,0.75,0.11,0.18,0.58,32.52,25.12
59_09,0,0,0,0,3.60,0.73,0.75,0.15,0.20,0.60,30.70,26.84
60_01,0,0,0,0,0.62,0.80,0.49,0.25,0.06,0.56,53.26,3.43
60_02,0,0,1,1,1.16,0.64,0.55,0.33,0.07,0.57,52.25,5.29
60_03,1,1,1,1,1.04,0.43,0.65,0.44,0.07,0.61,51.18,7.11
60_04,0,0,0,0,1.52,0.08,0.81,0.54,0.07,0.66,51.16,8.69
60_05,0,0,.,.,1.86,0.13,0.82,0.53,0.07,0.66,51.11,9.97
60_06,0,0,0,0,0.59,0.84,0.65,0.17,0.10,0.59,42.97,12.87
60_07,0,0,0,0,0.40,0.73,0.75,0.19,0.11,0.63,41.74,14.35
60_08,0,0,0,0,0.23,0.25,0.81,0.42,0.13,0.68,40.38,16.02
60_09,0,0,.,.,0.65,0.39,0.78,0.38,0.14,0.66,39.31,17.33
61_01,0,0,0,0,0.21,0.26,0.83,0.39,0.06,0.66,62.74,15.35
61_02,0,0,0,0,1.43,0.12,0.86,0.47,0.06,0.68,62.60,16.83
61_03,0,0,0,0,3.14,0.40,0.80,0.35,0.06,0.65,62.16,18.35
61_04,0,0,0,0,2.62,0.40,0.85,0.32,0.07,0.65,60.78,19.96
61_05,0,0,.,.,1.32,0.41,0.82,0.28,0.07,0.64,59.66,21.19
61_06,0,0,0,0,1.53,0.06,0.85,0.50,0.08,0.66,51.45,11.22
61_07,0,0,0,0,0.36,0.02,0.82,0.54,0.08,0.67,51.32,13.10
61_08,0,0,0,0,0.49,0.15,0.76,0.54,0.09,0.65,51.37,14.92
61_09,0,0,1,0,0.41,0.05,0.76,0.58,0.09,0.66,50.94,16.68
61_10,1,0,1,1,0.23,0.08,0.79,0.52,0.10,0.66,49.74,18.29
62_01,0,0,0,0,0.41,0.37,0.83,0.31,0.08,0.64,58.44,22.56
62_02,0,0,0,0,0.36,0.41,0.95,0.26,0.09,0.63,57.02,24.13
62_03,0,0,0,0,0.19,0.23,0.99,0.33,0.21,0.63,55.95,25.50
62_04,0,0,0,.,0.29,0.16,0.99,0.33,0.22,0.63,55.06,26.76
62_05,0,0,0,0,0.16,0.08,0.99,0.38,0.24,0.63,54.02,27.93
62_06,0,0,0,0,0.21,0.05,0.99,0.45,0.27,0.65,52.36,29.77
62_07,0,0,0,0,0.74,0.28,0.99,0.50,0.29,0.66,50.62,31.41
62_08,0,1,0,.,0.33,0.30,0.99,0.50,0.32,0.67,49.05,33.07
62_09,0,0,1,1,0.19,0.30,0.99,0.29,0.22,0.65,55.41,25.99
62_10,0,0,0,0,0.32,0.22,0.99,0.36,0.25,0.65,53.59,27.87
62_11,0,0,0,0,0.71,0.18,0.99,0.36,0.27,0.65,51.87,29.52
62_12,0,0,0,.,2.02,0.36,0.99,0.26,0.27,0.61,51.07,30.02
63_01,0,0,0,0,0.36,0.49,0.98,0.31,0.38,0.64,43.47,37.16
63_02,0,0,0,1,0.30,0.48,0.99,0.40,0.41,0.66,42.15,38.30
63_03,0,0,0,0,0.15,0.29,1.00,0.61,0.42,0.66,40.75,38.03
63_04,0,0,0,0,0.13,0.30,1.00,0.63,0.42,0.64,40.27,36.51
63_05,0,0,0,0,0.16,0.38,1.00,0.58,0.40,0.63,40.22,34.83
63_06,1,1,0,1,0.12,0.31,1.00,0.63,0.39,0.64,40.16,33.06
63_07,1,0,0,0,0.13,0.35,1.00,0.59,0.39,0.63,39.38,31.55
63_08,0,0,0,0,0.17,0.43,1.00,0.56,0.38,0.63,38.31,30.12
