Site,SO1,SO2,SO3,SO4,R,C,Kud,Imp,Hum,AllPrey,Bound,Post
63_09,0,0,0,0,0.45,0.18,1.00,0.69,0.40,0.65,36.80,29.37
64_01,0,0,0,0,1.67,0.11,1.00,0.68,0.44,0.61,32.08,29.93
64_02,0,0,0,0,2.02,0.34,1.00,0.53,0.44,0.59,30.31,30.34
64_03,1,1,1,0,2.24,0.42,1.00,0.53,0.46,0.60,28.60,30.99
64_04,1,1,0,1,3.16,0.30,1.00,0.60,0.48,0.61,26.97,31.32
64_05,1,0,0,0,4.50,0.38,0.99,0.38,0.49,0.60,25.34,31.68
64_06,0,0,0,0,4.19,0.57,0.99,0.17,0.48,0.59,23.98,31.86
64_07,1,1,1,1,2.53,0.69,0.98,0.12,0.49,0.58,22.47,32.47
64_08,1,0,.,.,1.42,0.66,0.99,0.13,0.51,0.59,21.38,33.04
74_01,0,0,0,0,2.01,0.68,0.65,0.14,0.33,0.53,0.84,9.30
74_03,1,0,0,.,0.28,0.21,0.69,0.32,0.38,0.54,0.54,10.56
74_04,0,0,0,0,2.64,0.66,0.70,0.18,0.29,0.61,3.06,11.38
74_05,0,0,0,0,2.67,0.76,0.74,0.19,0.29,0.62,4.99,13.22
74_06,0,0,0,0,2.76,0.88,0.71,0.14,0.29,0.60,6.74,15.13
74_07,0,0,0,0,2.42,0.98,0.61,0.10,0.28,0.57,8.36,16.92
74_08,0,0,0,0,1.53,0.96,0.66,0.10,0.28,0.58,9.89,18.79
74_09,0,0,.,.,0.55,0.88,0.65,0.15,0.30,0.60,11.03,20.19
75_01,0,0,0,0,0.26,0.63,0.72,0.26,0.31,0.64,11.96,21.85
75_02,0,0,0,0,1.21,0.97,0.76,0.09,0.28,0.60,13.43,23.77
75_03,0,0,0,0,1.03,0.96,0.82,0.07,0.27,0.64,14.89,25.61
75_04,0,0,0,0,0.23,0.71,0.78,0.16,0.30,0.64,16.17,27.55
75_06,0,0,0,0,0.26,0.85,0.67,0.13,0.31,0.60,17.37,29.63
75_07,0,0,0,0,0.29,0.74,0.75,0.14,0.30,0.63,18.79,31.55
75_08,1,0,0,0,0.79,0.76,0.83,0.10,0.29,0.63,20.26,33.52
75_09,0,0,0,.,0.72,0.89,0.81,0.10,0.29,0.64,21.72,35.25
76_01,0,0,0,1,0.28,0.85,0.63,0.21,0.35,0.63,23.49,37.29
76_02,0,0,1,1,0.23,0.65,0.72,0.24,0.32,0.63,25.15,37.59
76_03,1,0,0,1,0.75,0.80,0.79,0.10,0.26,0.61,26.87,35.74
76_04,0,0,0,0,0.20,0.60,0.76,0.21,0.24,0.64,30.22,31.53
76_05,0,0,0,0,0.13,0.75,0.74,0.14,0.24,0.61,29.12,31.98
76_06,0,0,0,.,0.13,0.63,0.76,0.17,0.25,0.61,28.31,32.35
76_07,1,1,0,0,1.98,0.86,0.72,0.11,0.17,0.59,35.66,26.54
76_08,0,1,1,1,2.29,0.94,0.82,0.05,0.16,0.60,33.88,28.26
76_09,1,1,1,1,0.78,0.81,0.74,0.12,0.20,0.61,31.97,30.08
76_10,1,0,0,0,0.19,0.72,0.65,0.19,0.24,0.61,30.39,31.87
77_01,1,1,0,0,1.04,0.42,0.81,0.34,0.08,0.65,51.92,14.50
77_02,0,0,0,0,0.19,0.24,0.75,0.52,0.10,0.67,50.40,15.87
77_03,0,0,0,0,1.09,0.41,0.72,0.37,0.10,0.62,48.50,17.06
77_04,0,0,0,0,1.34,0.35,0.70,0.39,0.11,0.60,46.58,18.73
77_05,0,0,0,1,0.98,0.45,0.76,0.33,0.12,0.62,44.88,20.24
77_06,1,1,1,1,0.37,0.40,0.81,0.31,0.13,0.63,43.07,21.38
77_07,1,1,1,0,0.15,0.23,0.85,0.38,0.14,0.65,41.40,22.34
77_08,0,0,0,0,0.13,0.44,0.80,0.27,0.15,0.62,39.85,23.10
77_09,0,0,1,1,0.34,0.61,0.70,0.24,0.16,0.60,38.14,24.34
78_01,0,0,0,.,0.48,0.49,0.59,0.40,0.05,0.61,55.33,0.50
78_02,0,0,0,0,0.20,0.83,0.52,0.19,0.05,0.58,57.60,2.36
78_03,0,0,0,0,1.05,0.55,0.63,0.28,0.05,0.58,59.36,4.13
78_04,0,0,0,0,1.97,0.25,0.79,0.39,0.05,0.61,61.12,5.94
78_05,0,0,0,0,0.62,0.76,0.54,0.23,0.05,0.56,55.27,0.92
78_06,0,0,0,0,2.30,0.88,0.55,0.15,0.05,0.52,55.21,2.77
78_07,0,1,1,1,3.54,0.75,0.58,0.21,0.05,0.53,55.37,4.66
78_08,1,1,0,0,2.38,0.72,0.59,0.24,0.06,0.54,55.88,6.51
78_09,0,0,0,0,0.86,0.71,0.55,0.23,0.06,0.54,55.64,8.23
78_10,0,0,0,0,0.65,0.68,0.68,0.20,0.06,0.58,54.23,9.79
78_11,0,0,0,0,1.65,0.59,0.76,0.23,0.07,0.59,52.44,11.10
78_12,0,0,0,0,2.68,0.33,0.81,0.31,0.07,0.61,52.13,12.37
78_13,0,1,.,.,2.43,0.27,0.88,0.30,0.07,0.64,52.66,13.11
79_01,0,0,0,0,1.44,0.26,0.69,0.44,0.05,0.60,63.08,7.86
79_02,0,0,0,0,0.63,0.07,0.73,0.58,0.05,0.65,64.92,9.68
79_03,0,0,0,1,0.37,0.17,0.71,0.55,0.05,0.66,66.69,11.45
79_04,1,0,0,0,0.38,0.23,0.67,0.55,0.05,0.68,68.64,13.39
79_05,0,1,1,0,0.25,0.25,0.69,0.53,0.05,0.68,70.38,15.12
79_06,0,0,0,.,0.48,0.23,0.62,0.56,0.05,0.66,71.67,16.44
79_07,0,0,0,0,1.94,0.35,0.68,0.45,0.05,0.60,63.52,8.42
79_08,0,0,0,0,2.40,0.35,0.71,0.41,0.05,0.61,63.31,8.69
79_09,0,0,0,0,2.37,0.27,0.78,0.44,0.05,0.64,63.24,9.35
79_10,0,0,0,1,1.44,0.14,0.84,0.45,0.05,0.66,63.98,10.77
79_11,1,1,1,1,1.54,0.25,0.87,0.38,0.05,0.66,64.35,12.13
79_12,0,0,0,0,0.76,0.44,0.83,0.24,0.05,0.62,63.97,13.00
79_13,0,0,1,0,0.25,0.58,0.81,0.18,0.05,0.62,63.37,13.86
80_01,0,0,0,0,2.40,0.60,0.87,0.24,0.07,0.62,61.15,20.41
80_02,0,0,.,.,2.84,0.79,0.79,0.21,0.07,0.59,60.69,20.47
80_03,0,0,0,0,1.62,0.47,0.89,0.26,0.07,0.63,61.23,20.91
80_04,0,0,0,0,1.01,0.74,0.98,0.12,0.15,0.59,60.19,21.84
80_05,0,0,0,0,0.24,0.23,0.99,0.30,0.19,0.63,58.45,23.35
80_06,0,0,0,.,0.22,0.19,0.99,0.35,0.21,0.65,56.97,24.51
80_07,0,0,0,0,0.62,0.40,0.78,0.34,0.07,0.64,64.94,25.72
80_08,0,0,0,0,0.35,0.31,0.83,0.36,0.07,0.64,65.19,24.10
80_09,0,1,0,0,0.27,0.56,0.85,0.18,0.06,0.62,65.09,22.88
80_10,0,0,0,0,0.22,0.35,0.86,0.31,0.06,0.65,64.97,21.95
80_11,0,0,.,.,0.25,0.10,0.89,0.40,0.07,0.66,64.14,21.69
83_01,0,0,0,0,0.43,0.11,0.92,0.88,0.27,0.75,25.70,22.90
83_02,0,0,0,0,0.73,0.35,0.91,0.76,0.27,0.73,24.02,24.80
83_03,0,0,0,0,0.70,0.61,0.88,0.71,0.29,0.73,23.16,26.05
83_04,1,0,0,.,0.18,0.28,0.93,0.91,0.34,0.78,23.19,26.52
83_05,0,0,0,.,1.93,0.50,0.96,0.51,0.25,0.64,22.29,26.34
83_06,1,1,0,0,0.29,0.08,0.88,0.90,0.25,0.75,28.58,20.53
83_07,0,0,0,0,0.25,0.10,0.90,0.90,0.27,0.77,26.89,22.13
83_08,1,0,0,1,0.31,0.16,0.90,0.90,0.30,0.78,25.16,24.00
83_09,1,1,.,.,0.30,0.15,0.85,0.92,0.34,0.78,24.25,25.27
84_01,0,0,.,.,0.21,0.28,0.99,0.88,0.58,0.75,21.30,28.14
84_02,1,0,0,1,0.29,0.31,0.99,0.88,0.60,0.75,20.02,29.14
84_03,1,0,0,0,0.33,0.38,0.99,0.86,0.61,0.75,18.63,29.95
84_04,0,0,1,0,0.31,0.18,0.99,0.86,0.63,0.75,17.25,31.02
84_05,0,0,0,0,0.31,0.20,1.00,0.85,0.65,0.76,15.56,32.64
84_06,0,0,0,0,0.35,0.39,0.99,0.80,0.66,0.75,13.83,34.20
84_07,0,0,0,0,0.39,0.48,0.99,0.80,0.69,0.75,12.34,35.49
84_08,0,0,0,0,0.54,0.65,0.99,0.87,0.72,0.76,10.81,36.85
84_09,0,1,.,.,0.72,0.55,0.99,0.82,0.72,0.75,9.61,37.98
84_10,1,0,0,0,0.48,0.20,1.00,0.82,0.69,0.74,11.69,36.56
84_11,0,0,0,0,0.87,0.22,1.00,0.73,0.69,0.70,9.93,38.26
84_12,1,0,1,0,1.71,0.11,1.00,0.70,0.70,0.66,8.19,39.84
85_01,0,0,0,0,3.06,0.26,1.00,0.59,0.73,0.62,5.79,42.34
85_02,0,0,0,0,1.64,0.30,1.00,0.65,0.75,0.65,4.22,44.20
85_03,0,0,1,0,0.51,0.26,1.00,0.56,0.76,0.65,2.94,46.08
85_04,0,0,0,0,1.01,0.40,1.00,0.58,0.78,0.69,1.15,47.88
91_01,0,0,0,0,0.46,0.63,0.20,0.15,0.71,0.31,0.21,3.25
91_02,0,0,0,0,0.86,0.77,0.57,0.17,0.27,0.60,0.66,4.45
91_03,0,0,0,0,0.53,0.40,0.70,0.34,0.29,0.65,1.09,6.01
91_04,0,0,0,0,1.09,0.56,0.67,0.31,0.30,0.63,0.93,7.72
91_05,0,0,0,0,1.62,0.60,0.67,0.23,0.30,0.61,1.43,9.38
91_06,1,0,0,0,2.05,0.45,0.71,0.29,0.31,0.61,1.92,11.06
92_01,0,0,0,0,2.34,0.76,0.71,0.16,0.30,0.60,3.07,12.89
92_02,0,0,0,0,2.09,0.66,0.82,0.15,0.29,0.63,4.06,14.75
94_01,0,0,0,1,1.53,0.87,0.66,0.15,0.20,0.59,36.35,31.76
94_02,0,0,0,0,1.84,0.60,0.71,0.26,0.21,0.59,37.43,32.29
94_03,0,0,0,0,2.04,0.52,0.66,0.30,0.21,0.60,38.52,33.02
94_04,0,0,0,0,1.18,0.49,0.73,0.28,0.20,0.61,39.82,33.70
94_05,0,0,0,0,1.80,0.49,0.76,0.24,0.19,0.59,41.15,34.50
94_06,0,0,0,0,2.99,0.43,0.81,0.25,0.18,0.61,42.40,35.50
94_07,0,0,0,1,3.96,0.53,0.70,0.24,0.19,0.57,43.48,36.81
94_08,1,1,.,.,3.49,0.06,0.80,0.49,0.20,0.62,43.83,37.91
97_01,0,0,0,0,0.49,0.28,0.61,0.52,0.05,0.65,73.20,18.01
97_02,0,0,0,0,0.54,0.16,0.68,0.59,0.05,0.67,74.28,19.82
97_03,0,0,0,0,0.27,0.24,0.69,0.56,0.06,0.68,73.88,21.63
97_04,0,0,0,0,0.28,0.36,0.88,0.71,0.06,0.69,73.15,23.50
97_05,0,0,0,0,0.68,0.07,0.93,0.82,0.06,0.69,72.12,25.29
97_07,0,0,0,0,0.18,0.20,0.84,0.42,0.05,0.64,71.97,24.01
97_08,0,0,1,1,0.22,0.32,0.82,0.33,0.05,0.62,73.49,23.94
97_09,1,1,1,1,0.18,0.13,0.86,0.43,0.05,0.65,75.07,24.20
97_10,0,0,0,0,2.36,0.14,0.88,0.38,0.06,0.63,76.76,32.73
97_11,0,0,0,0,2.63,0.19,0.85,0.48,0.06,0.64,75.97,31.05
97_12,0,0,.,.,3.03,0.09,0.84,0.51,0.06,0.64,75.81,29.63
98_01,1,0,0,0,0.59,0.13,0.91,0.58,0.06,0.64,70.17,27.67
98_02,0,0,0,0,1.82,0.23,0.96,0.61,0.07,0.63,69.54,29.61
98_03,0,0,0,0,1.79,0.15,0.96,0.69,0.07,0.64,69.20,31.49
98_04,0,0,0,0,0.75,0.02,0.95,0.81,0.08,0.69,68.92,31.28
98_05,0,0,0,0,0.15,0.11,0.95,0.83,0.08,0.71,68.20,29.47
98_06,0,0,0,0,0.20,0.15,0.94,0.85,0.08,0.71,67.18,27.57
98_07,0,0,1,1,0.32,0.19,0.92,0.86,0.08,0.72,66.31,25.83
98_08,1,1,0,0,0.29,0.22,0.94,0.79,0.08,0.70,65.00,24.12
98_09,0,1,1,1,0.22,0.26,0.93,0.76,0.08,0.69,63.16,22.54
99_01,1,1,1,1,0.35,0.17,0.94,0.79,0.08,0.71,61.50,20.78
99_02,1,1,1,0,0.51,0.11,0.94,0.81,0.08,0.70,60.26,19.02
99_03,0,0,0,0,0.21,0.11,0.94,0.84,0.08,0.71,59.43,17.22
99_04,0,0,0,0,2.44,0.13,0.97,0.72,0.06,0.64,54.62,7.33
99_05,0,0,0,0,1.98,0.14,0.96,0.73,0.06,0.64,55.66,8.87
99_06,1,1,0,0,0.49,0.16,0.94,0.78,0.06,0.69,57.20,10.32
99_07,0,0,0,0,0.39,0.21,0.93,0.80,0.07,0.70,57.62,11.70
99_08,0,0,0,0,0.44,0.10,0.94,0.82,0.07,0.71,58.21,13.48
99_09,1,0,1,1,0.29,0.07,0.94,0.83,0.07,0.72,59.04,15.34
100_01,0,0,0,0,0.34,0.67,0.89,0.79,0.07,0.70,47.03,0.82
100_02,0,0,0,0,1.74,0.44,0.96,0.68,0.07,0.64,45.51,2.50
100_03,0,0,0,0,3.25,0.44,0.97,0.70,0.08,0.64,43.71,4.27
100_04,0,0,0,0,3.18,0.66,0.97,0.66,0.08,0.63,42.02,5.75
100_05,1,0,0,0,2.64,0.62,0.96,0.70,0.09,0.63,41.03,6.60
100_06,1,0,.,.,2.99,0.32,0.96,0.73,0.10,0.63,39.84,7.74
100_07,0,0,1,1,0.75,0.60,0.91,0.83,0.07,0.72,48.08,1.00
100_08,1,0,.,.,1.91,0.37,0.96,0.75,0.06,0.66,48.53,2.34
100_09,0,0,0,0,0.53,0.34,0.88,0.88,0.08,0.75,48.73,1.16
100_10,0,1,0,0,0.55,0.53,0.84,0.81,0.07,0.72,47.86,0.85
100_11,1,1,0,0,0.30,0.54,0.87,0.75,0.08,0.72,46.29,1.77
100_12,0,0,0,0,0.74,0.70,0.83,0.65,0.08,0.68,44.65,3.43
100_13,0,0,0,0,0.49,0.45,0.85,0.84,0.10,0.73,42.78,5.14
100_14,0,0,1,1,0.38,0.45,0.89,0.78,0.10,0.70,41.77,6.57
100_15,0,0,0,.,0.87,0.55,0.91,0.60,0.09,0.63,41.40,7.52
100_16,0,0,0,0,0.54,0.34,0.88,0.88,0.08,0.75,48.73,1.15
100_17,0,0,0,0,0.33,0.37,0.90,0.86,0.08,0.75,50.54,2.91
100_18,0,0,.,.,0.24,0.43,0.90,0.85,0.08,0.76,51.88,4.24
100_19,0,0,0,0,1.49,0.40,0.93,0.75,0.06,0.70,53.30,5.70
100_20,0,0,0,0,1.28,0.62,0.90,0.53,0.10,0.64,40.09,8.90
100_21,0,0,0,0,0.55,0.82,0.76,0.57,0.12,0.68,38.32,10.26
101_01,0,0,0,0,3.29,0.35,0.96,0.70,0.11,0.63,38.04,9.53
101_02,0,0,0,0,2.24,0.51,0.94,0.65,0.12,0.62,36.44,11.16
101_03,0,0,1,0,1.31,0.33,0.93,0.70,0.13,0.65,35.01,12.77
101_04,0,0,0,0,0.88,0.35,0.88,0.81,0.16,0.71,33.63,14.43
101_05,0,0,0,0,0.62,0.29,0.91,0.82,0.18,0.74,31.95,16.31
101_06,0,0,0,0,0.47,0.49,0.90,0.85,0.21,0.75,30.25,18.15
101_07,0,0,0,0,0.77,0.14,0.90,0.89,0.24,0.75,28.56,20.02
101_08,0,0,0,0,0.36,0.58,0.78,0.76,0.15,0.71,36.64,11.97
101_09,0,1,1,1,0.26,0.37,0.83,0.84,0.17,0.74,34.80,13.71
101_10,1,1,0,1,0.28,0.20,0.89,0.86,0.19,0.75,33.21,15.51
101_11,1,0,0,0,0.20,0.12,0.87,0.90,0.22,0.75,31.51,17.19
101_12,0,0,0,.,0.14,0.16,0.90,0.89,0.23,0.76,30.13,18.71
102_01,0,0,0,0,2.78,0.22,0.99,0.57,0.27,0.63,20.71,27.07
102_02,0,0,1,1,1.60,0.28,0.99,0.58,0.29,0.62,19.86,27.72
102_03,0,0,0,0,2.17,0.07,0.99,0.68,0.30,0.64,19.16,28.48
102_04,0,0,0,0,3.17,0.30,0.99,0.54,0.31,0.62,18.24,29.36
102_05,0,0,0,0,2.03,0.49,0.99,0.39,0.31,0.60,17.31,30.39
102_06,0,0,0,0,0.62,0.72,0.99,0.33,0.32,0.59,16.57,31.44
102_07,0,0,0,1,0.25,0.29,0.99,0.60,0.36,0.63,15.75,32.58
102_08,1,1,1,1,0.61,0.42,0.99,0.68,0.38,0.65,15.12,33.77
102_09,1,1,1,1,0.28,0.33,0.99,0.66,0.39,0.69,14.62,35.00
102_10,1,1,0,0,1.58,0.41,0.99,0.54,0.39,0.64,14.40,36.23
103_01,1,1,1,1,0.37,0.34,0.99,0.80,0.76,0.77,6.82,41.09
103_02,0,0,0,1,0.25,0.24,0.99,0.84,0.77,0.76,5.89,42.12
103_03,0,0,0,0,0.43,0.37,0.99,0.80,0.78,0.76,4.48,43.28
103_04,0,0,0,1,0.22,0.30,0.99,0.80,0.79,0.77,3.22,44.40
103_05,0,1,.,.,0.62,0.33,1.00,0.79,0.78,0.73,3.17,44.55
103_06,0,0,0,1,1.65,0.29,1.00,0.74,0.77,0.68,3.04,44.96
103_07,0,0,.,.,2.70,0.26,1.00,0.61,0.76,0.62,3.19,44.92
110_01,0,0,0,0,1.63,0.51,0.78,0.21,0.31,0.62,4.82,17.04
110_02,0,0,0,1,1.66,0.78,0.71,0.13,0.31,0.59,5.64,18.85
110_03,0,0,0,0,1.05,0.63,0.82,0.16,0.31,0.64,7.02,20.66
110_04,0,0,0,0,0.71,0.82,0.75,0.11,0.32,0.61,8.00,22.43
110_05,0,0,1,0,1.96,0.96,0.72,0.07,0.32,0.58,8.09,24.33
110_06,0,0,0,0,3.15,0.87,0.78,0.10,0.33,0.60,8.28,26.20
110_07,0,0,0,0,2.58,0.94,0.79,0.09,0.34,0.60,8.27,27.82
110_08,0,0,0,0,2.01,1.00,0.80,0.06,0.33,0.62,9.12,29.64
110_09,0,0,0,0,1.78,0.92,0.74,0.10,0.36,0.61,10.50,31.52
110_10,0,0,.,.,1.37,0.84,0.73,0.13,0.38,0.60,11.27,32.84
112_01,1,1,1,1,2.40,0.21,0.80,0.37,0.20,0.62,43.69,39.19
112_02,0,0,0,0,1.64,0.13,0.82,0.45,0.21,0.65,44.10,40.04
112_03,0,0,.,.,1.08,0.10,0.80,0.46,0.21,0.64,44.46,40.73
112_04,0,0,1,0,0.92,0.31,0.85,0.36,0.27,0.64,42.37,50.05
112_05,0,0,0,1,0.27,0.37,0.84,0.34,0.25,0.65,43.27,48.20
112_06,1,1,1,1,0.39,0.28,0.84,0.35,0.24,0.65,43.69,46.47
114_01,0,0,0,0,0.51,0.09,0.89,0.44,0.11,0.68,68.10,42.23
114_02,0,0,0,1,0.45,0.23,0.84,0.42,0.10,0.66,69.72,41.29
114_03,1,1,0,0,0.37,0.25,0.86,0.39,0.09,0.66,71.07,40.25
114_04,0,0,0,0,0.18,0.16,0.88,0.36,0.08,0.66,72.75,40.39
114_06,0,1,0,0,1.27,0.10,0.86,0.47,0.07,0.65,70.75,30.72
114_07,0,0,0,0,2.64,0.27,0.91,0.35,0.06,0.64,70.57,28.97
114_08,0,0,0,0,0.23,0.23,0.74,0.50,0.11,0.68,63.51,33.48
114_09,0,0,0,0,0.46,0.16,0.75,0.52,0.11,0.67,61.65,33.69
115_01,0,1,1,1,0.21,0.22,0.85,0.40,0.08,0.65,75.18,40.10
115_02,1,1,0,0,0.33,0.34,0.80,0.45,0.08,0.63,76.43,38.98
115_03,0,0,0,0,1.02,0.34,0.79,0.36,0.07,0.62,77.60,37.86
115_04,0,0,0,0,1.55,0.32,0.84,0.49,0.07,0.66,78.56,36.54
115_05,0,0,1,0,0.46,0.22,0.82,0.52,0.06,0.68,79.55,35.44
115_06,0,0,0,0,0.31,0.30,0.78,0.42,0.06,0.64,81.73,36.92
115_07,0,0,0,0,0.45,0.09,0.86,0.47,0.06,0.66,80.14,35.61
115_08,0,0,0,0,0.72,0.17,0.87,0.41,0.06,0.65,78.55,34.24
116_01,0,0,0,0,4.60,0.03,0.84,0.47,0.06,0.63,67.34,22.67
116_02,0,0,0,0,4.68,0.12,0.84,0.47,0.06,0.63,69.10,24.26
116_03,0,0,0,1,4.38,0.20,0.86,0.44,0.06,0.63,70.69,25.91
116_04,1,1,1,0,3.37,0.33,0.89,0.39,0.06,0.64,72.37,27.72
116_05,0,0,.,.,2.13,0.28,0.91,0.40,0.06,0.63,73.63,29.13
116_06,1,0,0,0,0.67,0.16,0.95,0.74,0.06,0.68,75.23,30.81
116_07,0,0,0,0,0.43,0.29,0.89,0.63,0.06,0.70,76.88,32.11
116_09,0,0,1,1,0.40,0.11,0.86,0.49,0.06,0.68,80.17,36.70
116_10,0,0,0,0,0.23,0.26,0.84,0.40,0.06,0.67,78.86,35.00
117_01,1,1,0,1,0.46,0.44,0.86,0.91,0.09,0.75,55.90,8.86
117_02,1,1,0,0,0.24,0.62,0.87,0.90,0.08,0.75,56.81,10.21
117_03,1,1,1,0,0.27,0.38,0.88,0.87,0.08,0.74,58.09,11.82
117_04,1,1,0,1,0.34,0.40,0.86,0.91,0.09,0.74,59.52,13.53
117_05,0,0,0,0,0.46,0.27,0.88,0.89,0.08,0.74,60.98,15.11
117_06,0,0,.,.,0.20,0.32,0.87,0.87,0.08,0.73,61.79,16.27
117_07,0,0,0,0,0.36,0.51,0.89,0.68,0.07,0.68,62.96,17.51
117_08,0,0,0,0,0.26,0.37,0.90,0.76,0.07,0.68,64.02,19.02
117_09,0,0,0,0,1.07,0.21,0.95,0.75,0.06,0.67,65.53,20.32
117_10,0,0,0,0,0.47,0.26,0.93,0.80,0.07,0.69,66.14,21.32
117_11,1,1,0,1,0.19,0.41,0.90,0.77,0.07,0.69,67.19,22.68
118_01,0,0,0,0,3.01,0.20,0.97,0.68,0.06,0.64,49.47,3.79
118_02,0,0,0,0,3.82,0.53,0.95,0.65,0.06,0.62,50.46,5.73
118_03,0,0,0,0,3.98,0.43,0.97,0.70,0.07,0.63,51.83,7.55
118_04,0,0,0,0,4.26,0.59,0.96,0.66,0.07,0.62,52.96,9.43
118_05,0,0,0,0,3.24,0.35,0.96,0.64,0.07,0.62,53.28,11.05
118_06,0,0,0,0,3.12,0.30,0.96,0.59,0.07,0.62,54.12,12.84
118_07,0,1,0,0,3.61,0.48,0.96,0.53,0.07,0.61,55.01,14.66
118_08,0,0,0,0,2.88,0.35,0.92,0.61,0.07,0.61,56.21,16.55
118_09,1,0,0,0,0.15,0.31,0.87,0.92,0.09,0.76,54.22,6.90
