Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Buff,SecPrey,AllPrey,Hum,Post,Bound,Htd
5,0,0,0,NA,-1.08,1.48,0.54,-0.60,0.37,-0.27,-0.31,1.11,0.03,-0.99,0.92
6,0,0,1,0,-1.08,0.85,0.54,-0.34,0.37,0.00,0.07,0.98,-0.15,-0.61,1.03
7,0,0,0,0,-1.08,-0.39,0.54,0.09,0.37,0.14,0.13,0.79,0.07,-0.23,-0.01
8,1,0,0,0,-0.92,-0.32,0.54,0.35,0.37,0.27,0.19,0.71,0.71,-0.08,-1.15
9,0,0,0,0,-1.08,1.06,0.54,-0.15,0.37,0.41,0.26,0.98,0.82,-0.57,-1.34
10,0,0,0,NA,-1.08,-1.61,-0.56,-1.41,0.31,-0.06,-0.06,1.03,-0.23,-1.03,-1.34
11,0,0,0,NA,-1.08,-0.39,-1.23,-1.86,-3.82,-2.43,-2.41,0.87,-1.27,-0.98,-1.34
21,1,0,0,0,-0.51,-0.13,0.54,-1.87,-2.35,-2.23,-2.28,0.79,-1.78,-1.09,-0.60
22,0,0,0,0,0.50,1.71,0.54,-1.40,0.26,0.00,-0.19,0.56,-0.97,-1.05,0.65
23,0,0,NA,NA,-0.66,-1.49,0.54,-0.34,0.37,0.54,0.51,0.79,0.09,-0.64,1.03
25,0,1,1,0,0.31,1.32,0.54,0.49,0.37,0.48,0.32,-0.36,0.68,0.26,1.03
26,1,0,0,0,1.12,-0.39,0.54,0.57,0.37,0.75,0.64,-0.83,1.18,0.35,1.03
27,1,1,1,0,0.39,-0.60,0.35,0.19,0.42,0.54,0.51,0.03,0.94,-0.13,0.25
28,0,0,1,1,-0.33,-1.42,-2.08,-0.42,0.37,0.14,0.32,0.69,-0.10,-0.67,-0.53
29,1,1,0,0,-1.08,2.70,-0.87,-0.97,-0.29,-1.14,-1.39,1.06,-1.04,-1.12,-1.34
39,1,0,1,1,1.10,-0.35,0.54,-0.79,0.37,0.21,0.26,0.11,-1.33,-0.95,1.03
40,1,0,0,0,1.12,-0.44,0.54,-0.17,0.37,0.27,0.38,-0.26,-0.74,-0.52,1.03
41,0,1,0,NA,1.07,1.06,0.54,0.17,0.37,0.48,0.51,-0.57,-0.14,-0.18,1.03
42,0,0,0,NA,0.68,-0.84,0.54,0.52,0.37,0.61,0.70,-0.89,-0.40,0.27,1.03
43,1,0,0,1,1.12,1.76,0.54,0.79,0.37,0.61,0.51,-1.25,-0.20,0.78,1.03
44,0,0,0,NA,0.68,1.32,0.54,0.78,0.37,0.48,0.38,-1.04,0.47,0.78,1.03
45,0,1,1,0,-0.22,0.17,0.26,0.49,0.37,0.27,0.07,0.24,1.07,0.20,0.44
46,0,0,0,0,-1.06,-0.72,-1.31,0.03,0.42,-0.13,-0.12,0.98,0.49,-0.43,-1.27
47,0,0,0,0,-1.08,-0.63,-2.05,-0.95,0.31,-0.27,-0.19,1.06,-0.15,-1.03,-1.34
48,0,0,NA,NA,-1.08,-0.56,-2.22,-2.00,-3.06,-1.89,-2.03,1.03,-0.32,-1.07,-1.34
56,0,0,NA,NA,-0.40,0.87,0.54,-1.23,-1.97,-1.82,-1.90,0.98,-0.43,-1.10,-0.60
57,0,1,0,0,1.12,0.57,0.54,-0.67,0.37,0.14,0.26,0.29,-0.29,-0.78,1.03
58,0,0,0,1,1.12,1.48,0.54,0.15,0.37,0.27,0.32,-0.44,-0.08,-0.15,1.03
59,0,0,0,0,1.12,0.89,0.54,0.56,0.37,0.54,0.51,-1.10,-0.73,0.35,1.03
60,1,0,1,0,1.12,-1.09,0.54,0.78,0.37,0.68,0.70,-1.31,-1.44,0.74,1.03
61,0,0,1,1,1.12,2.04,0.54,0.98,0.37,0.68,0.57,-1.36,-1.06,1.18,1.03
62,1,1,1,1,-0.79,0.40,0.54,0.95,0.37,0.41,0.32,-0.68,-0.10,1.00,1.03
63,0,0,0,0,-1.08,-1.19,-1.50,0.67,0.42,0.14,0.07,0.40,0.43,0.37,1.03
64,0,1,0,NA,-1.08,1.83,-0.76,0.30,0.42,-0.06,-0.19,0.87,0.26,-0.21,0.61
66,0,0,0,NA,-1.08,0.24,-2.22,-1.34,0.37,-0.20,-0.25,1.08,0.66,-0.99,-1.34
74,0,0,0,NA,0.53,-0.60,0.54,-0.45,0.09,-0.13,-0.19,0.50,-1.09,-1.09,-0.13
75,0,0,0,0,1.12,-0.30,0.54,0.00,0.37,0.27,0.32,0.01,-0.10,-0.58,0.39
76,1,1,0,1,1.12,-0.25,0.54,0.39,0.37,0.27,0.38,-0.55,0.17,0.03,0.96
77,1,1,0,0,1.12,-1.02,0.54,0.73,0.37,0.75,0.76,-1.28,-0.86,0.66,1.03
78,0,0,0,0,1.12,0.05,0.54,1.00,0.37,0.61,0.70,-1.39,-1.69,1.22,1.03
79,0,0,0,1,1.12,0.08,0.54,1.16,0.37,0.95,0.89,-1.41,-1.22,1.60,1.03
80,1,1,1,1,-0.18,-0.56,-0.04,1.08,0.37,0.54,0.45,-1.12,-0.26,1.25,1.03
83,1,1,1,1,-0.42,-0.93,-2.22,0.18,0.37,0.07,0.32,-0.07,-0.41,-0.12,0.84
84,1,1,1,0,-1.06,-0.23,-2.22,-0.53,0.37,0.00,0.32,0.85,0.43,-0.68,-0.77
85,1,0,NA,NA,-1.08,0.31,-2.22,-1.92,-0.67,-0.94,-1.14,1.08,1.40,-1.12,-1.34
91,1,1,0,NA,-0.46,-1.21,0.54,-1.47,-2.25,-1.75,-1.84,0.64,-1.63,-1.10,-1.34
94,0,0,0,NA,1.12,-0.58,0.54,0.66,0.37,0.81,0.89,-0.97,0.48,0.29,-0.51
96,0,0,NA,NA,1.12,-1.54,0.54,1.12,0.37,0.88,0.95,-1.39,-0.72,1.48,1.03
97,0,1,1,0,1.12,0.36,0.26,1.30,0.42,0.88,0.83,-1.41,-0.49,1.98,1.03
98,1,1,1,0,1.12,-1.09,-1.61,1.22,0.37,0.61,0.70,-1.41,-0.20,1.63,1.03
99,1,1,1,1,1.12,-0.39,-2.22,1.02,0.42,0.27,0.38,-1.41,-1.13,1.17,1.03
100,0,1,0,1,1.12,-0.06,-2.22,0.76,0.37,0.27,0.51,-1.36,-1.77,0.70,0.23
101,0,1,1,0,1.12,1.13,-2.22,0.39,0.42,0.27,0.32,-1.20,-1.01,0.09,-1.17
103,1,1,0,NA,-1.08,-1.12,-2.22,-1.15,0.15,-0.33,-0.06,1.03,1.10,-1.08,0.37
110,0,1,0,0,0.81,-1.87,0.54,-0.36,0.37,0.75,0.76,0.22,-0.38,-0.93,-1.01
112,0,0,0,NA,1.12,-0.72,0.54,0.74,0.37,1.08,1.02,-0.99,1.07,0.35,-1.25
114,0,0,0,0,1.12,-0.35,0.54,1.25,0.37,1.15,1.14,-1.41,0.36,1.65,1.03
115,0,0,1,0,1.12,-1.14,0.54,1.41,0.37,1.15,1.08,-1.44,0.48,2.24,1.03
116,0,0,0,0,1.12,0.40,0.04,1.32,0.42,1.08,0.95,-1.41,0.04,2.07,1.03
117,1,1,1,1,1.12,-0.70,-1.83,1.13,0.37,0.48,0.64,-1.41,-0.93,1.53,0.30
127,0,0,NA,NA,-1.08,1.13,0.54,-0.54,-0.12,-0.74,-0.95,1.13,0.46,-1.11,0.16
128,0,1,1,0,-0.71,-0.53,0.54,-0.03,0.37,0.00,0.13,1.00,0.62,-0.66,0.63
129,0,0,0,NA,0.50,0.45,0.54,0.46,0.37,0.41,0.38,0.16,1.14,-0.15,-0.68
130,0,0,NA,NA,1.05,0.01,0.54,0.82,0.37,0.68,0.76,-0.73,1.75,0.44,-1.27
131,1,0,1,0,1.12,2.20,0.54,1.08,0.31,0.81,0.89,-1.23,1.46,1.07,-0.44
132,0,0,0,0,1.12,0.68,0.54,1.30,0.37,1.02,0.95,-1.39,1.22,1.71,1.01
134,1,1,NA,NA,1.12,-0.93,0.49,1.40,0.37,1.08,1.08,-1.44,0.60,2.35,-0.01
147,0,1,0,0,-1.08,-0.09,0.54,0.55,0.37,-0.27,-0.12,0.95,1.90,0.22,1.03
148,1,1,NA,NA,-0.95,-0.11,0.54,0.88,0.31,-0.06,0.13,0.45,1.43,0.70,0.89
149,0,0,0,NA,0.75,0.19,0.54,1.14,0.31,0.54,0.64,-1.20,0.78,1.18,-0.89
150,0,0,1,0,1.12,0.01,0.54,1.34,0.31,0.95,0.95,-1.39,0.44,1.69,-0.82
163,0,0,NA,NA,-1.08,-1.12,0.54,-1.18,0.37,-0.33,-0.19,1.16,2.66,-0.83,-1.25
164,0,0,1,0,-1.08,-0.13,0.54,-0.04,0.37,-0.27,-0.12,1.11,2.52,-0.22,-0.13
165,0,0,0,0,-1.08,-0.49,0.54,0.51,0.37,-0.27,-0.12,0.98,1.71,0.11,0.32
166,0,0,0,0,-0.88,0.38,0.54,0.86,0.31,0.07,0.19,0.48,0.73,0.35,0.08
362,0,0,NA,NA,-1.08,1.43,0.54,-2.05,-3.61,-3.91,-3.68,0.92,-1.00,-0.97,-1.34
363,0,0,0,0,-1.08,1.55,0.54,-1.09,0.26,-0.27,-0.44,1.06,-1.11,-1.13,-1.34
364,0,0,0,NA,-1.08,-0.67,0.54,-1.69,-3.55,-3.04,-2.98,0.98,-0.93,-1.01,-1.34
370,0,0,0,0,-1.08,0.22,0.54,-1.74,-1.37,-2.90,-2.79,0.92,-1.81,-1.11,-1.34
371,0,0,0,0,-1.08,-0.86,0.54,-0.53,0.37,-0.06,-0.19,0.98,-1.20,-0.85,-1.34
372,0,0,0,1,-1.08,-0.09,0.54,-1.08,0.26,0.00,-0.19,1.03,-0.21,-1.06,-1.34
373,0,0,0,NA,-1.08,1.83,0.54,-1.65,-2.84,-2.50,-2.53,1.06,0.56,-1.05,-1.34
378,0,0,1,0,-1.08,-1.05,0.54,-1.45,0.26,-0.27,-0.38,0.98,-1.22,-1.06,-0.46
380,0,0,0,0,-1.08,-0.84,0.54,-0.10,0.37,0.14,0.00,0.95,0.08,-0.56,-1.34
381,0,0,0,0,-1.08,-0.04,0.54,-0.52,0.37,0.54,0.26,1.03,0.86,-0.98,-1.34
