Site,SO1,SO2,SO3,SO4,R,H,C,Bound,Buff,Zeb,Sbl,Imp,SecPrey,AllPrey,Hum,Post,Hnt,Htd
43,1,0,0,1,2.22,1.22,0.43,0.21,-0.82,0.85,1.10,-1.30,0.39,-0.03,-0.40,0.55,1.34,1.42
59,0,0,0,0,1.24,1.22,1.01,-0.25,-0.38,0.73,1.10,-1.70,0.20,-0.03,-0.12,-0.16,1.34,1.42
60,1,0,1,0,-1.03,1.22,1.01,0.17,0.12,0.73,1.07,-1.16,0.57,0.53,-0.49,-1.08,1.34,1.42
61,0,0,1,1,2.54,1.22,0.30,0.65,-0.60,0.73,1.07,-1.12,0.57,0.16,-0.58,-0.58,1.34,1.42
77,1,1,0,0,-0.95,1.22,0.62,0.08,0.12,0.73,1.07,-0.90,0.76,0.72,-0.44,-0.32,1.34,1.42
78,0,0,0,0,0.27,1.22,1.26,0.70,0.41,0.60,1.07,-1.25,0.39,0.53,-0.63,-1.41,1.34,1.42
79,0,0,0,1,0.30,1.22,0.11,1.11,0.19,0.73,1.07,-0.27,1.31,1.09,-0.68,-0.80,1.34,1.42
80,1,1,1,1,-0.42,0.76,0.36,0.72,-0.89,-1.06,1.04,-0.81,0.20,-0.21,-0.16,0.46,1.34,1.42
83,1,1,1,1,-0.85,-0.98,-0.22,-0.78,0.84,-2.21,-0.86,0.79,-1.09,-0.59,1.70,0.27,1.26,1.24
96,0,0,NA,NA,-1.54,1.22,0.81,0.98,0.77,0.60,1.07,-0.32,1.12,1.28,-0.63,-0.14,1.34,1.42
97,0,1,1,0,0.62,1.00,0.17,1.52,-0.17,0.47,1.04,-0.41,1.12,0.90,-0.68,0.17,1.34,1.42
98,1,1,1,0,-1.03,-0.50,-1.57,1.14,0.55,0.09,-0.31,0.84,0.39,0.53,-0.68,0.55,1.34,1.42
99,1,1,1,1,-0.23,-0.98,-1.05,0.63,-0.10,0.09,-0.98,0.84,-0.54,-0.40,-0.68,-0.68,1.34,1.42
100,0,1,0,1,0.14,-0.98,0.11,0.12,0.91,0.09,-1.02,0.84,-0.54,-0.03,-0.58,-1.51,0.73,0.67
101,0,1,1,0,1.50,-0.98,-0.60,-0.54,-0.02,-0.04,-1.05,0.79,-0.54,-0.59,-0.30,-0.52,-0.63,-0.64
102,0,1,0,0,-0.82,-0.98,-0.34,-1.23,-1.32,-1.31,-0.86,0.30,-1.09,-1.52,2.50,0.88,0.23,0.29
114,0,0,0,0,-0.18,1.22,-0.60,1.16,0.69,0.60,1.07,0.44,1.86,1.84,-0.68,1.28,1.34,1.42
115,0,0,1,0,-1.09,1.22,-0.73,1.81,0.41,0.60,1.07,0.39,1.86,1.65,-0.72,1.44,1.34,1.42
116,0,0,0,0,0.67,0.82,-0.86,1.62,-0.53,0.47,0.97,0.39,1.68,1.28,-0.68,0.86,1.34,1.42
117,1,1,1,1,-0.58,-0.67,-1.18,1.03,0.55,0.09,-0.62,0.84,0.02,0.35,-0.68,-0.42,0.84,0.73
118,0,1,0,1,1.05,-0.96,-0.28,0.36,-1.18,0.09,-0.98,0.57,-0.72,-0.96,-0.58,-1.07,-0.83,-0.79
121,0,0,0,0,0.25,-0.98,-0.34,-1.34,-1.97,-1.31,-1.02,0.04,-1.46,-2.08,2.73,1.45,-0.04,-0.13
122,0,0,0,NA,1.45,-0.98,-0.28,-1.34,-2.04,-3.23,-0.92,-0.10,-2.02,-2.63,3.53,1.35,1.08,-0.55
132,0,0,0,0,0.99,1.22,-0.41,1.23,0.19,0.73,1.10,-0.05,1.49,1.28,-0.63,2.41,1.34,1.40
134,1,1,NA,NA,-0.85,1.18,0.04,1.93,0.62,0.73,1.07,0.26,1.68,1.65,-0.72,1.59,0.53,0.45
135,1,1,1,NA,-0.23,0.58,-0.15,1.28,-0.60,0.47,0.91,-0.10,1.12,0.72,-0.68,0.67,-0.76,-0.75
136,0,0,0,0,1.07,-0.10,-0.28,0.66,-1.89,0.34,0.33,-0.32,0.20,-0.59,-0.58,0.32,-0.85,-0.79
140,0,0,1,0,-0.37,-0.98,-0.60,-1.40,-1.03,-0.29,-1.17,0.70,-0.91,-1.14,1.00,-0.07,-0.78,-0.79
141,0,0,0,0,-1.09,-0.98,-1.82,-1.80,0.34,-3.48,-1.14,0.88,-1.83,-1.52,2.78,0.60,0.09,-0.79
150,0,0,1,0,0.22,1.22,0.11,1.20,0.34,0.85,1.10,-0.27,1.31,1.28,-0.63,1.39,-0.32,-0.30
153,0,0,NA,NA,-0.05,1.22,-0.92,1.10,-0.82,0.47,1.07,-0.18,1.31,0.72,-0.63,1.87,-0.85,-0.79
154,0,0,0,0,0.51,-0.12,-0.54,0.48,-1.03,0.22,0.27,0.39,0.76,0.16,-0.49,1.29,-0.85,-0.79
155,0,0,1,NA,-1.06,-0.98,-1.44,-0.11,-1.53,-0.17,-1.17,0.75,-0.72,-1.33,-0.30,0.92,-0.85,-0.79
156,0,0,0,0,2.65,-0.98,-0.02,-0.58,-2.04,-0.04,-1.14,0.66,-0.72,-1.52,0.02,0.38,-0.85,-0.79
157,0,1,1,1,0.01,-0.98,-0.41,-1.03,-1.25,-0.29,-1.26,0.79,-0.91,-1.33,0.02,-0.89,-0.85,-0.79
158,1,1,0,1,-1.30,-0.98,0.11,-1.69,1.27,-1.19,-1.20,0.93,-1.09,-0.21,0.77,-1.33,-0.85,-0.79
171,1,0,NA,NA,0.51,1.20,0.62,0.67,-0.89,0.73,1.07,-1.47,0.20,-0.21,-0.49,1.53,-0.85,-0.79
173,0,0,1,0,-0.50,-0.98,-1.31,-0.48,1.27,-0.17,-1.14,0.93,-0.72,-0.03,-0.49,-0.42,-0.85,-0.79
174,1,1,1,1,-1.06,-0.98,-1.31,-1.10,1.63,-0.17,-1.23,0.93,-0.72,-0.03,-0.26,-0.49,-0.85,-0.79
175,1,1,1,0,-0.69,-0.98,-0.47,-1.54,1.49,-2.46,-1.11,0.93,-1.28,-0.40,1.47,-1.04,-0.85,-0.79
185,0,0,1,NA,0.75,1.22,2.10,-0.19,-0.53,0.98,1.10,-2.85,-0.72,-0.96,0.02,-0.14,-0.85,-0.79
186,1,0,0,0,-0.87,1.22,1.07,0.47,0.26,0.85,1.10,-1.16,0.57,0.53,-0.58,-1.29,-0.85,-0.79
189,1,1,1,1,0.41,0.21,0.30,0.20,0.34,0.47,0.73,0.26,1.31,1.28,-0.49,0.30,-0.85,-0.79
190,1,1,1,1,-1.09,-0.94,-1.63,-0.33,0.34,-0.04,-1.05,0.88,-0.54,-0.21,-0.44,-0.07,-0.85,-0.79
191,1,1,1,0,-0.71,-0.98,-1.50,-0.88,1.41,-0.17,-1.17,0.93,-0.72,-0.03,-0.40,-1.35,-0.85,-0.79
192,0,0,1,1,0.03,-0.98,-0.15,-1.43,0.48,-0.93,-1.17,0.88,-0.91,-0.59,0.68,-1.33,-0.85,-0.79
204,1,0,0,0,0.54,1.22,2.61,0.34,-0.10,1.11,1.10,-2.98,-0.91,-0.77,-0.40,-1.11,-0.85,-0.79
205,0,0,0,0,-0.26,1.11,1.46,0.33,0.62,0.98,1.10,-1.21,0.57,0.72,-0.49,-0.76,-0.85,-0.79
206,0,0,0,NA,-0.26,-0.23,1.26,-0.13,1.13,0.60,0.42,0.30,0.94,1.28,-0.35,-0.50,-0.85,-0.79
207,1,1,0,NA,-0.47,-0.98,0.68,-0.41,-0.60,0.22,-0.89,-0.05,-1.09,-1.14,-0.16,-1.08,-0.85,-0.79
208,1,1,1,0,-0.07,-0.98,-0.86,-0.71,1.05,-0.04,-1.14,0.88,-0.72,-0.03,-0.30,-0.37,-0.85,-0.79
209,0,1,0,0,0.46,-0.83,-0.28,-1.33,0.55,-0.93,-0.68,0.84,-0.35,-0.03,1.14,-0.61,-0.85,-0.79
224,1,1,1,1,-2.29,-0.98,0.88,-0.68,1.63,0.34,-0.80,0.84,-0.17,0.53,-0.21,-0.68,-0.85,-0.79
225,1,1,0,0,0.11,-0.69,1.13,-1.09,1.49,0.34,-0.40,0.75,0.20,0.72,0.12,-1.45,-0.85,-0.79
241,0,0,1,NA,0.57,-0.03,1.97,-0.46,-0.96,0.73,0.67,-2.27,-0.91,-1.14,0.68,0.93,-0.85,-0.79
242,1,1,1,0,0.86,-0.74,1.65,-1.05,1.27,0.09,-0.40,0.48,-0.17,0.53,0.96,0.22,-0.85,-0.79
