Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,AllPrey,Hum,Bound,Post
6_01,0,0,0,0,-0.42,-0.21,-0.10,-0.42,1.29,0.88,-1.04,-0.07,1.03,-0.86,-0.17
6_02,0,0,0,0,0.97,1.04,-0.40,-0.67,1.51,0.88,-1.40,-0.34,0.93,-0.79,-0.03
6_03,0,0,0,0,0.41,1.41,-0.69,-0.93,1.51,0.88,-1.43,-0.61,0.93,-0.70,0.10
6_04,0,0,0,0,-0.66,1.23,-0.75,-1.09,1.40,0.79,-1.33,-0.61,0.98,-0.66,0.20
6_05,0,0,.,.,-0.75,0.64,-0.40,-0.93,1.40,0.88,-1.22,-0.34,1.03,-0.68,0.20
6_06,0,0,0,0,-0.90,-0.87,-0.10,-0.76,0.98,0.88,-0.41,0.20,1.22,-0.70,0.23
6_07,0,0,0,0,-0.75,-1.50,0.02,-0.67,0.82,0.88,0.05,0.33,1.27,-0.67,0.31
6_08,1,0,0,0,0.60,-0.58,-0.04,-0.76,1.08,0.88,-0.59,0.06,1.22,-0.68,0.34
6_09,0,0,0,0,2.26,1.78,-0.64,-0.93,1.51,0.79,-1.43,-0.61,1.07,-0.71,0.33
6_10,0,0,0,0,3.39,1.89,-0.69,-1.01,1.56,0.79,-1.47,-0.61,1.03,-0.72,0.35
6_11,0,0,0,0,2.99,1.74,-0.75,-1.01,1.56,0.88,-1.47,-0.61,1.03,-0.73,0.40
8_01,0,0,0,0,-0.85,0.27,0.31,-0.25,0.92,0.35,-0.59,0.20,0.31,-0.07,1.72
8_02,0,0,0,1,-0.86,-0.76,0.49,-0.17,0.66,0.44,-0.13,0.47,0.26,-0.02,1.62
8_03,0,0,0,0,-0.87,-0.65,0.55,-0.17,0.76,0.44,-0.23,0.47,0.21,0.02,1.53
8_04,0,0,0,0,-0.84,-0.17,0.55,-0.17,0.87,0.53,-0.51,0.33,0.12,0.07,1.43
8_05,0,0,0,0,-0.86,-0.73,0.55,-0.25,0.71,0.62,-0.20,0.47,0.02,0.13,1.36
8_06,0,0,0,0,-0.88,0.19,0.31,-0.17,0.98,0.35,-0.80,0.06,-0.12,0.21,1.33
8_07,0,0,0,0,-0.48,1.01,-0.75,-1.35,1.40,0.88,-1.29,-0.75,1.46,-0.53,1.27
8_08,0,0,0,0,0.13,0.60,-0.69,-1.35,1.40,0.88,-1.26,-0.61,1.36,-0.43,1.21
8_09,0,0,0,0,1.69,0.97,-0.93,-1.52,1.40,0.88,-1.33,-0.89,1.22,-0.34,1.15
8_10,0,0,0,0,1.62,0.05,-0.64,-1.43,1.19,0.88,-0.97,-0.61,1.22,-0.26,1.15
8_11,0,0,0,0,0.24,1.04,-0.99,-1.60,1.40,0.88,-1.29,-0.89,1.17,-0.22,1.24
8_12,0,0,0,0,-0.56,0.16,-0.75,-1.52,1.19,0.88,-0.94,-0.61,1.27,-0.18,1.35
21_01,1,1,1,1,1.18,1.71,-0.28,1.77,0.92,-1.34,-1.33,-0.48,-0.22,-1.41,-1.60
21_02,1,1,0,1,1.70,1.89,0.07,2.28,1.35,-0.27,-1.50,0.20,-0.46,-1.33,-1.55
21_03,0,0,.,.,2.35,2.00,0.07,2.11,1.40,-0.01,-1.54,0.20,-0.51,-1.26,-1.46
21_04,0,0,0,0,-0.10,1.49,-0.75,1.69,0.92,-1.17,-1.47,-0.75,-0.27,-1.41,-1.69
21_05,0,0,0,0,0.88,0.82,-0.04,2.36,0.98,-0.10,-1.19,0.33,-0.41,-1.34,-1.55
21_06,0,0,0,0,1.13,1.23,-0.40,1.94,0.92,-0.63,-1.19,-0.07,-0.31,-1.30,-1.42
21_07,0,0,0,0,1.52,0.56,-0.22,1.86,0.76,-1.17,-0.90,-0.07,-0.22,-1.29,-1.32
21_08,0,0,0,0,2.41,1.41,-0.22,1.77,1.03,-1.17,-1.29,-0.21,-0.22,-1.29,-1.21
25_01,0,0,0,0,-0.87,-0.73,-0.16,0.34,0.50,-0.72,-0.48,-0.21,-0.07,0.23,1.36
25_02,0,0,0,0,-0.79,-1.24,0.19,0.59,0.39,-0.19,-0.30,0.20,-0.07,0.21,1.37
25_03,0,0,0,0,0.25,-0.84,0.13,0.51,0.50,-0.27,-0.48,0.06,-0.07,0.24,1.43
25_04,0,0,0,0,0.87,0.16,0.02,0.42,0.66,-0.54,-0.73,-0.21,-0.12,0.27,1.36
25_05,0,0,1,1,1.70,0.49,-0.10,0.34,0.76,-0.72,-0.94,-0.34,-0.22,0.30,1.22
25_06,0,0,0,0,2.92,0.90,-0.10,0.34,1.03,-0.63,-1.26,-0.48,-0.36,0.34,1.10
25_07,0,0,0,0,3.35,-0.51,0.25,0.59,0.76,0.17,-0.87,0.06,-0.36,0.37,1.02
25_08,1,0,0,0,3.72,0.82,-0.52,0.17,0.82,-1.25,-1.04,-0.75,-0.36,0.33,0.99
26_01,1,0,0,0,-0.90,-0.76,0.61,0.51,0.50,-0.01,-0.34,0.47,-0.51,0.72,1.07
26_02,1,1,0,0,-0.75,-0.06,0.67,0.51,0.61,-0.63,-0.44,0.20,-0.41,0.66,1.16
26_03,0,0,0,0,-0.83,0.01,0.61,0.59,0.71,-0.36,-0.69,0.20,-0.41,0.60,1.23
26_04,0,0,0,0,-0.66,-0.87,0.61,0.59,0.50,-0.27,-0.34,0.33,-0.31,0.55,1.31
26_05,0,0,0,0,-0.90,-1.32,1.08,0.84,0.45,-0.19,-0.09,0.74,-0.22,0.49,1.40
26_06,0,0,0,0,-0.65,-1.10,0.90,0.76,0.39,-0.45,-0.09,0.61,-0.07,0.41,1.52
26_07,0,0,0,0,-0.12,-0.25,-0.04,0.34,0.61,-0.81,-0.69,-0.21,-0.03,0.32,1.65
26_08,0,0,0,0,-0.69,-0.17,-0.10,0.42,0.55,-0.63,-0.55,-0.21,0.07,0.24,1.77
26_09,0,0,0,0,0.47,0.05,-0.34,0.34,0.71,-0.45,-0.87,-0.34,0.12,0.15,1.89
26_10,0,0,.,.,1.30,0.64,-0.64,0.17,0.76,-0.99,-1.01,-0.75,0.21,0.09,1.90
27_01,0,0,0,1,-0.80,-0.28,0.43,0.09,0.98,0.62,-0.76,0.33,0.31,-0.29,1.44
27_02,0,0,0,0,-0.93,0.01,0.25,-0.08,0.98,0.44,-0.76,0.06,0.36,-0.25,1.56
27_03,0,0,0,0,-0.77,-0.80,0.49,0.00,0.82,0.53,-0.41,0.47,0.40,-0.19,1.69
27_04,0,0,0,0,-0.65,0.53,0.25,-0.08,1.08,0.44,-0.94,0.06,0.26,-0.29,1.35
27_05,0,1,1,1,-0.85,-0.03,0.37,0.00,0.92,0.26,-0.62,0.20,0.31,-0.24,1.34
27_06,1,1,1,1,-0.93,-0.17,0.61,0.09,0.82,0.08,-0.34,0.33,0.31,-0.22,1.30
27_07,1,1,1,1,-0.80,0.45,0.19,-0.17,0.92,-0.36,-0.62,-0.07,0.31,-0.24,1.24
27_08,1,1,1,1,-0.82,0.31,0.25,-0.08,0.87,-0.19,-0.55,0.06,0.26,-0.27,1.17
27_09,1,1,0,1,-0.71,0.42,0.19,-0.08,0.92,-0.01,-0.69,0.06,0.21,-0.32,1.07
27_10,1,0,0,0,-0.84,0.16,-0.04,-0.17,0.34,0.62,-0.16,0.20,0.21,-0.39,0.96
27_11,1,0,.,.,-0.73,0.71,-0.75,-0.59,-0.19,0.71,0.09,-0.34,0.26,-0.43,0.89
27_12,0,0,0,0,1.18,0.12,-0.93,-1.26,1.19,0.88,-1.01,-0.61,1.36,-0.49,1.04
27_13,0,0,0,0,0.72,-0.40,-0.52,-1.01,1.19,0.88,-0.87,-0.34,1.36,-0.56,0.91
27_14,0,0,.,.,1.17,-0.65,-0.28,-0.76,1.24,0.97,-0.97,-0.21,1.31,-0.61,0.81
28_01,0,0,0,0,0.79,0.38,-1.29,-1.18,0.23,0.97,-0.27,-0.61,1.31,-0.88,0.35
28_02,0,0,0,0,0.84,1.85,-1.52,-1.18,0.82,0.97,-1.15,-1.02,1.17,-0.94,0.23
28_03,0,0,0,0,0.20,-0.10,-0.28,-0.50,0.13,0.97,0.16,0.20,1.36,-0.99,0.11
28_04,0,0,0,0,-0.65,-0.14,0.84,0.09,-0.14,0.97,0.86,1.01,1.51,-1.00,0.06
28_05,0,0,0,0,-0.88,-0.40,0.19,-0.25,0.08,0.97,0.40,0.47,1.41,-1.02,0.00
28_06,0,0,0,0,-0.94,0.60,-1.29,-0.84,0.34,0.97,-0.44,-0.61,1.27,-1.08,-0.11
28_07,0,0,.,.,-0.93,0.86,-1.17,-0.76,0.55,0.97,-0.73,-0.61,1.22,-1.14,-0.21
28_08,0,0,0,0,-0.93,0.86,-0.64,-0.42,0.02,0.79,-0.23,-0.34,0.21,-0.50,0.80
28_09,0,1,1,1,-0.85,0.08,-0.04,-0.08,-0.35,0.88,0.47,0.33,0.26,-0.58,0.67
28_10,1,1,1,1,-0.71,-0.28,0.25,0.17,-0.56,0.88,0.79,0.61,0.31,-0.66,0.54
28_11,0,0,0,0,-0.86,-0.84,0.19,0.25,-0.67,0.88,0.90,0.61,0.31,-0.74,0.41
28_12,0,0,0,0,-0.93,-0.43,0.61,0.51,-0.40,0.88,0.72,0.88,0.31,-0.81,0.29
28_13,0,0,0,0,-0.82,-0.32,0.78,0.59,-0.46,0.79,0.79,1.01,0.31,-0.85,0.22
28_14,0,0,0,0,-0.82,-0.06,0.61,0.51,-0.30,0.79,0.54,0.88,0.26,-0.87,0.18
28_15,0,0,0,0,-0.90,0.31,0.49,0.34,-0.24,0.79,0.47,0.61,0.31,-0.83,0.23
28_16,0,0,.,.,-0.85,0.42,0.43,0.25,-0.19,0.79,0.37,0.61,0.26,-0.80,0.28
39_01,0,1,0,0,1.40,1.85,-0.04,1.86,1.19,-0.54,-1.43,0.06,-0.41,-1.19,-1.34
39_02,0,0,0,0,0.17,1.56,0.25,1.77,1.19,-0.72,-1.36,0.06,-0.36,-1.11,-1.20
39_03,0,0,0,0,-0.63,1.23,0.02,1.52,0.92,-1.79,-1.08,-0.34,-0.27,-1.02,-1.07
39_04,0,0,0,0,-0.09,1.12,-0.16,1.35,1.03,-0.72,-1.22,-0.21,-0.36,-0.95,-0.94
39_05,0,0,0,0,-0.26,0.93,-0.22,1.18,0.87,-0.72,-1.04,-0.21,-0.31,-0.86,-0.80
39_06,1,1,1,1,-0.41,1.56,-0.58,0.84,0.98,-2.06,-1.26,-0.89,-0.27,-0.81,-0.67
39_07,0,0,0,1,-0.62,1.12,0.02,1.10,0.98,-1.79,-1.12,-0.48,-0.22,-0.76,-0.54
39_08,0,0,0,1,-0.67,1.26,0.19,1.10,0.87,-1.70,-1.01,-0.34,-0.17,-0.69,-0.41
40_01,1,0,0,0,-0.54,1.82,-0.04,1.01,1.24,-1.08,-1.43,-0.34,-0.36,-0.61,-0.26
40_02,0,0,0,0,1.35,1.56,-0.52,1.27,1.08,-1.34,-1.36,-0.48,-0.31,-1.07,-0.97
40_03,0,0,0,0,0.19,1.85,-0.34,1.18,1.14,-1.34,-1.36,-0.48,-0.27,-1.00,-0.83
40_04,0,0,0,0,-0.56,1.01,0.19,1.35,0.82,-1.08,-0.94,-0.07,-0.17,-0.92,-0.69
40_05,0,0,0,0,0.71,0.90,0.07,1.18,0.98,-0.54,-1.19,-0.07,-0.27,-0.84,-0.55
40_06,0,0,0,0,0.52,1.41,0.07,1.18,1.24,-0.10,-1.47,-0.07,-0.36,-0.75,-0.42
40_07,0,0,0,0,0.09,1.23,-0.04,1.01,1.08,-0.99,-1.29,-0.34,-0.27,-0.67,-0.28
40_08,0,0,0,0,1.32,1.23,0.02,1.01,1.14,-0.72,-1.36,-0.21,-0.27,-0.60,-0.14
40_09,0,0,0,0,2.46,1.34,-0.16,0.93,1.19,-0.54,-1.40,-0.34,-0.27,-0.57,-0.05
40_10,0,0,0,.,2.56,0.86,-0.46,0.76,1.03,-0.81,-1.26,-0.48,-0.22,-0.53,0.06
41_01,0,0,0,0,2.95,1.78,-0.75,0.59,1.24,-1.25,-1.47,-0.89,-0.27,-0.50,0.16
41_02,0,0,0,0,2.90,0.38,-0.46,0.68,0.82,-0.72,-1.04,-0.48,-0.12,-0.51,0.23
41_03,0,0,0,0,1.46,-0.32,-0.04,0.84,0.61,-0.54,-0.62,-0.07,-0.03,-0.49,0.34
41_04,0,0,1,1,0.74,-0.28,0.19,0.93,0.61,-0.90,-0.55,0.06,0.02,-0.45,0.44
41_05,1,0,0,0,1.07,0.93,-0.28,0.68,0.92,-1.43,-1.12,-0.61,-0.03,-0.39,0.55
41_06,0,0,0,0,0.39,1.82,-0.69,0.42,1.08,-2.32,-1.36,-1.16,-0.07,-0.34,0.55
41_07,0,0,0,0,-0.03,1.15,-0.64,0.42,0.92,-2.06,-1.15,-1.02,-0.03,-0.33,0.56
41_08,0,0,.,.,-0.41,0.86,-0.28,0.68,0.87,-1.43,-1.08,-0.61,-0.03,-0.35,0.62
43_01,1,1,0,1,-0.94,-1.61,0.72,0.51,0.23,-0.45,0.16,0.61,-0.89,0.86,-0.30
43_02,1,0,0,0,-0.88,-0.65,0.19,0.25,0.45,-0.99,-0.27,-0.07,-0.84,0.83,-0.17
43_03,0,0,0,0,-0.53,-0.06,0.25,0.25,0.50,-0.99,-0.41,-0.07,-0.84,0.83,-0.04
43_04,0,0,0,0,0.20,0.60,0.13,0.25,0.92,-0.54,-1.12,-0.21,-0.89,0.85,0.09
43_05,0,0,0,0,1.48,0.90,-0.40,0.00,0.98,-0.72,-1.22,-0.61,-0.89,0.86,0.22
43_06,0,0,0,0,2.51,0.64,-0.16,0.09,0.87,-0.63,-1.08,-0.48,-0.79,0.84,0.35
43_07,0,0,0,0,1.46,-0.32,-0.10,0.17,0.66,-0.27,-0.73,-0.21,-0.75,0.81,0.47
43_08,0,0,0,0,0.07,-0.28,0.02,0.25,0.76,-0.01,-0.94,-0.21,-0.75,0.79,0.60
43_09,0,0,0,1,-0.89,-0.06,0.13,0.25,0.61,-0.45,-0.66,-0.07,-0.65,0.73,0.72
43_10,1,0,0,0,-0.84,-0.87,0.25,0.34,0.45,-0.45,-0.34,0.06,-0.55,0.73,0.84
45_01,0,0,0,0,1.10,0.97,-0.58,0.42,1.08,-0.81,-1.33,-0.61,-0.03,-0.16,1.26
45_02,0,0,0,0,0.72,0.71,-0.46,0.17,1.03,-0.01,-1.22,-0.48,0.02,-0.17,1.24
45_03,0,1,0,0,-0.48,0.23,-0.46,-1.18,1.29,0.88,-1.15,-0.48,1.12,-0.09,1.35
45_04,0,0,0,0,-0.89,-0.40,-0.16,-0.17,0.92,0.53,-0.87,-0.07,0.07,-0.03,1.44
45_05,0,0,0,0,-0.76,-0.06,0.02,0.59,0.76,-0.36,-0.87,-0.07,0.07,0.02,1.54
45_06,0,0,0,0,-0.92,-0.25,-0.04,0.51,0.61,-0.27,-0.66,-0.07,0.12,0.11,1.66
45_01ALT,0,0,0,0,2.92,-0.58,-0.22,0.09,0.55,0.08,-0.51,-0.07,-0.36,0.51,1.26
45_02ALT,0,0,0,0,1.93,0.67,-0.64,-1.18,1.14,0.79,-1.08,-0.61,0.69,0.43,1.37
45_03ALT,0,0,0,1,0.88,-0.65,-0.16,-0.34,0.71,0.53,-0.59,-0.07,-0.17,0.37,1.45
45_04ALT,1,1,1,1,-0.17,-0.58,-0.64,-1.60,1.08,0.88,-0.69,-0.48,0.98,0.31,1.53
45_05ALT,0,0,1,1,-0.92,-0.84,-0.16,-0.08,0.66,0.35,-0.51,-0.07,-0.03,0.25,1.63
45_06ALT,1,0,1,1,-0.12,-0.14,-0.22,0.00,0.76,0.26,-0.80,-0.21,0.07,0.17,1.72
45_07ALT,1,0,0,0,1.45,0.27,-0.64,-1.09,1.14,0.79,-1.04,-0.48,1.12,0.08,1.66
45_08ALT,0,0,0,0,2.41,0.23,-0.81,-1.60,1.19,0.88,-0.94,-0.61,1.22,0.01,1.56
57_01,0,0,0,0,-0.72,1.26,-0.04,1.35,0.98,-1.88,-1.15,-0.34,0.36,-1.11,0.23
57_02,0,0,0,0,-0.84,1.89,-0.34,1.27,1.08,-2.41,-1.29,-0.75,0.40,-1.05,0.35
57_03,0,0,1,1,-0.88,1.08,-0.28,1.18,0.92,-1.52,-1.15,-0.48,0.36,-0.98,0.46
57_04,1,1,1,1,-0.45,0.56,-0.10,1.18,0.71,-1.25,-0.83,-0.21,0.36,-0.89,0.51
57_05,1,0,0,0,-0.41,1.82,-0.34,1.01,1.03,-2.23,-1.26,-0.75,0.26,-0.81,0.53
57_06,0,0,0,0,-0.84,1.60,-0.34,0.93,1.08,-1.52,-1.29,-0.61,0.16,-0.74,0.50
57_07,0,0,0,0,-0.88,1.78,-0.34,0.93,1.14,-1.61,-1.36,-0.61,0.07,-0.67,0.48
57_08,0,0,0,0,-0.78,1.85,-0.34,0.84,1.14,-2.59,-1.33,-0.89,0.07,-0.62,0.42
57_09,0,0,.,.,-0.91,1.82,-0.52,0.68,1.08,-2.86,-1.29,-1.02,0.07,-0.57,0.42
58_01,0,0,0,0,0.40,1.71,0.07,1.01,1.24,-0.45,-1.43,-0.21,-0.36,-0.53,-0.14
58_02,0,0,0,0,0.03,1.71,0.37,1.10,1.24,-0.27,-1.43,0.06,-0.36,-0.44,-0.01
58_03,0,0,0,0,0.69,1.30,0.07,0.84,1.03,-1.25,-1.22,-0.34,-0.27,-0.37,0.12
58_04,0,0,0,0,2.35,1.08,-0.04,0.84,0.98,-0.72,-1.22,-0.34,-0.27,-0.33,0.26
58_05,0,0,0,0,3.82,1.56,-0.34,0.59,1.08,-1.25,-1.33,-0.61,-0.27,-0.29,0.39
58_06,0,0,0,0,3.21,1.52,-0.52,0.51,1.08,-1.88,-1.33,-0.89,-0.17,-0.27,0.51
58_07,0,0,0,0,1.60,1.63,-0.52,0.51,1.14,-1.34,-1.40,-0.75,-0.22,-0.24,0.63
58_08,0,0,0,0,-0.02,1.52,-0.28,0.59,1.08,-1.34,-1.29,-0.61,-0.22,-0.17,0.61
58_09,1,1,0,0,-0.92,1.67,-0.46,0.42,1.08,-2.32,-1.29,-1.02,-0.22,-0.13,0.57
60_01,0,1,0,0,-0.51,1.30,-0.22,-0.17,0.76,-3.57,-0.83,-1.16,-1.13,1.09,-1.52
60_02,0,0,0,0,-0.03,0.71,-0.22,-0.08,0.55,-3.04,-0.55,-1.02,-1.08,1.04,-1.38
60_03,0,0,0,0,-0.14,-0.06,-0.04,0.09,0.34,-2.14,-0.16,-0.48,-1.08,0.99,-1.25
60_04,0,0,0,0,0.28,-1.35,0.19,0.17,0.13,-0.72,0.19,0.20,-1.08,0.99,-1.14
60_05,0,0,.,.,0.58,-1.17,0.13,0.17,0.13,-0.63,0.16,0.20,-1.08,0.98,-1.05
60_06,0,0,0,0,-0.54,1.45,0.02,0.17,0.98,-2.14,-1.12,-0.75,-0.94,0.60,-0.84
60_07,0,1,1,1,-0.71,1.04,0.49,0.51,0.92,-1.25,-1.04,-0.21,-0.89,0.53,-0.73
60_08,1,1,0,0,-0.86,-0.73,0.96,0.84,0.50,-0.72,-0.23,0.47,-0.79,0.47,-0.61
60_09,0,0,.,.,-0.48,-0.21,0.72,0.68,0.55,-0.99,-0.37,0.20,-0.75,0.42,-0.52
61_01,0,0,0,0,-0.87,-0.69,0.61,0.25,0.50,-0.54,-0.34,0.20,-1.13,1.53,-0.66
61_02,0,0,0,0,0.20,-1.21,0.67,0.25,0.34,-0.27,-0.06,0.47,-1.13,1.53,-0.56
61_03,0,0,0,0,1.71,-0.17,0.49,0.17,0.55,-0.81,-0.48,0.06,-1.13,1.51,-0.45
61_04,0,0,0,0,1.25,-0.17,0.55,0.09,0.66,-0.36,-0.59,0.06,-1.08,1.44,-0.33
61_05,0,0,.,.,0.11,-0.14,0.43,0.17,0.71,-0.63,-0.73,-0.07,-1.08,1.39,-0.24
61_06,0,0,0,1,0.29,-1.43,0.31,0.25,0.23,-0.36,0.05,0.20,-1.03,1.00,-0.96
61_07,1,1,1,0,-0.74,-1.58,0.49,0.34,0.18,-0.63,0.19,0.33,-1.03,0.99,-0.82
61_08,0,0,0,0,-0.63,-1.10,0.31,0.25,0.18,-1.17,0.19,0.06,-0.98,0.99,-0.69
61_09,0,0,0,1,-0.70,-1.46,0.25,0.17,0.08,-1.17,0.33,0.20,-0.98,0.97,-0.57
61_10,0,0,0,0,-0.86,-1.35,0.43,0.34,0.23,-0.90,0.12,0.20,-0.94,0.91,-0.45
62_01,0,0,0,0,-0.70,-0.28,0.31,0.09,0.61,-0.54,-0.62,-0.07,-1.03,1.33,-0.14
62_02,0,0,0,0,-0.74,-0.14,-0.04,-0.67,0.87,0.53,-0.80,-0.21,-0.98,1.26,-0.03
62_03,0,0,0,1,-0.89,-0.80,-0.28,-1.60,0.98,0.88,-0.55,-0.21,-0.41,1.21,0.07
62_04,0,0,0,.,-0.80,-1.06,-0.28,-1.43,0.92,0.88,-0.55,-0.21,-0.36,1.17,0.16
62_05,0,0,0,1,-0.92,-1.35,-0.22,-1.68,0.92,0.88,-0.37,-0.21,-0.27,1.12,0.24
62_06,1,1,1,1,-0.87,-1.46,0.07,-1.60,0.87,0.88,-0.13,0.06,-0.12,1.04,0.37
62_07,0,0,0,1,-0.41,-0.62,0.02,-1.60,0.82,0.88,0.05,0.20,-0.03,0.96,0.49
62_08,1,0,0,.,-0.77,-0.54,0.31,-1.52,0.82,0.88,0.05,0.33,0.12,0.88,0.61
62_09,1,1,1,1,-0.89,-0.54,0.49,-1.52,1.19,0.88,-0.69,0.06,-0.36,1.19,0.10
62_10,1,1,1,0,-0.78,-0.84,0.43,-1.52,1.08,0.88,-0.44,0.06,-0.22,1.10,0.24
62_11,0,0,0,1,-0.43,-0.99,0.25,-1.52,1.03,0.88,-0.44,0.06,-0.12,1.02,0.36
62_12,0,1,0,.,0.72,-0.32,-0.34,-1.77,1.14,0.88,-0.80,-0.48,-0.12,0.98,0.39
64_01,0,0,0,0,0.42,-1.24,-1.23,-1.94,-0.35,0.97,0.69,-0.48,0.69,0.08,0.39
64_02,0,0,0,0,0.72,-0.40,-1.29,-1.94,-0.03,0.97,0.16,-0.75,0.69,-0.01,0.41
64_03,0,0,0,0,0.92,-0.10,-1.23,-1.85,-0.03,0.97,0.16,-0.61,0.79,-0.09,0.46
64_04,0,0,0,0,1.73,-0.54,-1.11,-1.77,-0.14,0.97,0.40,-0.48,0.88,-0.17,0.48
64_05,0,1,0,0,2.91,-0.25,-1.11,-1.68,0.61,0.88,-0.37,-0.61,0.93,-0.25,0.51
64_06,0,0,0,0,2.64,0.45,-1.05,-1.60,1.24,0.88,-1.12,-0.75,0.88,-0.31,0.52
