Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,AllPrey,Post,Bound,Hnt,Htd
5,1,1,1,NA,0.54,-0.90,1.74,-0.52,1.00,1.25,-0.20,0.21,0.21,-0.91,1.13,1.71
6,1,1,1,1,0.68,-0.90,1.11,-0.54,1.00,0.87,0.03,0.45,0.02,-0.48,1.26,1.84
7,1,1,0,1,0.68,-0.90,-0.13,-0.54,1.00,0.40,0.40,0.49,0.24,-0.03,1.26,0.74
8,1,1,1,1,0.68,-0.74,-0.06,-0.54,1.00,0.12,0.64,0.53,0.90,0.13,1.26,-0.47
9,1,1,1,1,0.68,-0.90,1.32,-0.54,1.00,-0.31,0.20,0.57,1.01,-0.43,1.26,-0.67
10,1,1,1,NA,0.39,-0.90,-1.34,0.19,0.12,-0.03,-0.91,0.37,-0.05,-0.96,1.00,-0.67
11,1,1,0,NA,-1.63,-0.90,-0.13,0.30,-0.41,0.35,-1.31,-1.14,-1.10,-0.89,-0.79,-0.67
21,1,1,1,0,-1.14,-0.32,0.13,0.48,1.00,1.15,-1.32,-1.06,-1.62,-1.03,-0.35,0.11
22,1,1,1,1,0.29,0.69,1.97,-0.30,1.00,1.06,-0.90,0.29,-0.80,-0.99,0.91,1.44
23,1,1,NA,NA,0.68,-0.48,-1.22,-0.54,1.00,-0.26,0.03,0.74,0.27,-0.51,1.26,1.84
25,0,1,1,0,0.68,0.49,1.57,-0.54,1.00,0.07,0.76,0.62,0.86,0.53,1.26,1.84
26,1,1,1,1,0.68,1.31,-0.13,-0.54,1.00,-0.07,0.83,0.82,1.37,0.63,1.26,1.84
27,1,1,1,1,0.68,0.58,-0.34,-0.54,0.84,0.26,0.50,0.74,1.12,0.08,1.26,1.01
28,1,1,1,1,0.68,-0.15,-1.15,-0.54,-1.09,0.35,-0.04,0.62,0.07,-0.54,1.26,0.19
29,0,1,1,0,-0.45,-0.90,2.95,-0.50,-0.12,0.82,-0.53,-0.49,-0.87,-1.06,0.26,-0.67
39,1,1,1,0,0.66,1.29,-0.08,-0.52,1.00,1.62,-0.37,0.57,-1.16,-0.86,1.24,1.84
40,1,1,1,1,0.68,1.31,-0.17,-0.54,1.00,1.53,0.18,0.66,-0.56,-0.37,1.26,1.84
41,1,1,1,NA,0.68,1.27,1.32,-0.54,1.00,0.73,0.48,0.74,0.03,0.02,1.26,1.84
42,1,1,0,NA,0.68,0.87,-0.57,-0.54,1.00,0.45,0.78,0.86,-0.22,0.54,1.26,1.84
43,1,1,1,1,0.68,1.31,2.02,-0.54,1.00,0.16,1.03,0.74,-0.02,1.12,1.26,1.84
44,1,1,0,NA,0.68,0.87,1.57,-0.54,1.00,0.16,1.02,0.66,0.65,1.12,1.26,1.84
45,1,0,1,1,0.68,-0.04,0.43,-0.54,0.78,0.16,0.76,0.45,1.25,0.45,1.26,1.21
46,1,0,1,1,0.68,-0.87,-0.45,-0.54,-0.48,0.73,0.36,0.33,0.67,-0.26,1.26,-0.59
47,1,1,0,0,0.44,-0.90,-0.36,-0.52,-1.07,1.01,-0.51,0.29,0.03,-0.96,1.04,-0.67
48,1,1,NA,NA,-1.36,-0.90,-0.29,-0.34,-1.20,0.82,-1.43,-0.90,-0.15,-1.00,-0.55,-0.67
56,1,1,NA,NA,-1.02,-0.21,1.13,-0.08,1.00,1.29,-0.75,-0.82,-0.26,-1.04,-0.24,0.11
57,1,1,1,1,0.68,1.31,0.83,-0.54,1.00,1.86,-0.26,0.57,-0.12,-0.67,1.26,1.84
58,1,1,1,1,0.68,1.31,1.74,-0.54,1.00,1.48,0.46,0.62,0.10,0.05,1.26,1.84
59,1,1,1,1,0.68,1.31,1.16,-0.54,1.00,0.59,0.82,0.74,-0.56,0.63,1.26,1.84
60,1,1,1,1,0.68,1.31,-0.82,-0.54,1.00,0.59,1.02,0.86,-1.27,1.08,1.26,1.84
61,1,1,0,1,0.68,1.31,2.30,-0.54,1.00,0.07,1.19,0.78,-0.89,1.59,1.26,1.84
62,1,1,1,1,0.68,-0.61,0.67,-0.54,1.00,-0.03,1.17,0.62,0.07,1.38,1.26,1.84
63,1,1,1,1,0.68,-0.90,-0.92,-0.54,-0.63,0.30,0.91,0.45,0.61,0.66,1.26,1.84
64,1,1,1,NA,0.68,-0.90,2.09,-0.54,-0.04,0.59,0.59,0.29,0.44,-0.01,1.26,1.39
66,1,1,0,NA,0.54,-0.90,0.50,-0.49,-1.20,0.40,-0.85,0.25,0.84,-0.91,1.13,-0.67
74,1,1,1,NA,0.02,0.71,-0.34,-0.28,1.00,1.11,-0.07,0.29,-0.92,-1.03,0.67,0.61
75,1,1,1,1,0.68,1.31,-0.03,-0.54,1.00,1.53,0.33,0.62,0.07,-0.44,1.26,1.16
76,1,1,1,1,0.68,1.31,0.01,-0.54,1.00,1.62,0.67,0.66,0.35,0.27,1.26,1.76
77,1,0,1,1,0.68,1.31,-0.75,-0.54,1.00,0.30,0.97,0.90,-0.69,0.99,1.26,1.84
78,1,1,1,1,0.68,1.31,0.32,-0.54,1.00,0.78,1.20,0.86,-1.53,1.64,1.26,1.84
79,1,1,1,1,0.68,1.31,0.34,-0.54,1.00,-0.07,1.35,0.98,-1.05,2.08,1.26,1.84
80,1,1,1,1,0.68,0.01,-0.29,-0.54,0.54,0.12,1.28,0.70,-0.09,1.66,1.26,1.84
83,1,0,1,1,0.68,-0.23,-0.66,-0.54,-1.20,-0.31,0.49,0.62,-0.23,0.09,1.17,1.64
84,1,1,1,1,0.68,-0.87,0.04,-0.54,-1.20,-0.45,-0.14,0.62,0.61,-0.55,1.26,-0.07
85,1,1,NA,NA,-0.55,-0.90,0.57,-0.34,-1.20,-0.40,-1.36,-0.33,1.59,-1.07,0.17,-0.67
91,1,1,1,NA,-1.09,-0.28,-0.94,0.37,1.00,0.12,-0.96,-0.78,-1.47,-1.04,-0.31,-0.67
94,0,1,1,NA,0.68,1.31,-0.31,-0.54,1.00,0.40,0.91,0.98,0.66,0.57,1.26,0.21
96,1,1,NA,NA,0.68,1.31,-1.27,-0.54,1.00,0.45,1.31,1.02,-0.55,1.94,1.26,1.84
97,0,1,1,1,0.68,1.31,0.62,-0.54,0.78,-0.03,1.47,0.94,-0.32,2.51,1.26,1.84
98,1,1,1,1,0.68,1.31,-0.82,-0.54,-0.72,-1.30,1.40,0.86,-0.02,2.10,1.26,1.84
99,1,1,1,1,0.68,1.31,-0.13,-0.54,-1.20,-0.92,1.22,0.66,-0.96,1.57,1.26,1.84
100,1,1,1,0,0.68,1.31,0.20,-0.54,-1.20,-0.07,1.00,0.74,-1.61,1.03,0.65,0.99
101,1,1,1,1,0.68,1.31,1.39,-0.54,-1.20,-0.59,0.67,0.62,-0.84,0.33,-0.70,-0.49
102,1,1,1,1,0.68,0.27,-0.64,-0.54,-1.20,-0.40,0.16,0.41,0.23,-0.39,0.15,0.56
103,1,1,0,NA,0.17,-0.90,-0.85,-0.48,-1.20,-0.35,-0.68,0.37,1.28,-1.02,0.80,1.14
105,1,1,1,0,0.41,-0.90,-0.80,-0.30,-1.20,-1.25,-0.42,0.21,1.93,-0.96,1.02,0.01
110,0,1,1,1,0.68,1.00,-1.59,-0.54,1.00,0.45,0.01,0.90,-0.20,-0.84,1.26,-0.32
112,0,1,1,NA,0.68,1.31,-0.45,-0.54,1.00,-0.54,0.98,1.07,1.25,0.63,1.26,-0.57
114,1,1,1,1,0.68,1.31,-0.08,-0.54,1.00,-0.59,1.43,1.15,0.54,2.13,1.26,1.84
115,1,1,1,0,0.68,1.31,-0.87,-0.54,1.00,-0.68,1.57,1.11,0.67,2.82,1.26,1.84
116,1,1,1,1,0.68,1.31,0.67,-0.54,0.60,-0.78,1.49,1.02,0.21,2.62,1.26,1.84
117,1,1,1,1,0.68,1.31,-0.43,-0.54,-0.90,-1.01,1.32,0.82,-0.76,1.99,0.76,1.06
118,0,0,1,1,0.68,1.31,0.99,-0.54,-1.18,-0.35,1.10,0.53,-1.26,1.28,-0.89,-0.67
121,1,1,1,1,0.68,0.45,0.29,-0.54,-1.20,-0.40,0.29,0.29,0.67,-0.51,-0.11,0.09
122,1,1,0,NA,0.68,-0.68,1.34,-0.54,-1.20,-0.35,0.34,0.17,0.59,-0.51,1.00,-0.39
123,1,1,0,0,0.68,-0.90,-0.38,-0.54,-1.20,-1.53,0.16,0.33,0.93,-0.52,1.26,-0.67
124,1,1,1,NA,0.63,-0.90,1.18,-0.54,-1.20,-0.78,-0.72,0.33,1.58,-0.90,1.22,-0.67
125,1,0,0,NA,-1.24,-0.90,-1.03,1.09,-1.20,-1.77,-1.36,-1.02,2.41,-1.02,-0.44,-0.67
127,1,1,NA,NA,-0.20,-0.90,1.39,-0.52,1.00,1.76,-0.14,-0.20,0.64,-1.05,0.48,0.91
128,1,1,1,1,0.68,-0.52,-0.27,-0.54,1.00,1.34,0.30,0.49,0.80,-0.53,1.26,1.41
129,1,0,0,NA,0.68,0.69,0.71,-0.54,1.00,0.54,0.73,0.66,1.33,0.05,1.26,0.04
130,1,1,NA,NA,0.68,1.24,0.27,-0.54,1.00,0.45,1.04,0.90,1.93,0.74,1.26,-0.59
131,1,1,1,1,0.68,1.31,2.46,-0.54,1.00,0.45,1.28,0.98,1.65,1.46,1.26,0.29
132,1,1,1,1,0.68,1.31,0.95,-0.54,1.00,-0.45,1.47,1.02,1.41,2.20,1.26,1.81
134,1,1,NA,NA,0.68,1.31,-0.66,-0.54,0.95,-0.12,1.56,1.11,0.78,2.94,0.46,0.74
135,1,1,0,NA,0.68,1.31,-0.13,-0.54,0.36,-0.26,1.41,0.90,0.07,2.26,-0.83,-0.62
136,1,1,1,0,0.68,1.31,1.02,-0.54,-0.32,-0.35,1.23,0.62,-0.20,1.60,-0.92,-0.67
140,1,1,1,1,0.68,1.22,-0.24,-0.54,-1.20,-0.59,0.13,0.49,-0.50,-0.57,-0.85,-0.67
141,1,1,1,1,0.26,-0.08,-0.87,-0.18,-1.20,-1.49,-0.61,0.41,0.02,-0.99,0.02,-0.67
142,0,0,0,NA,-1.07,-0.90,-2.08,0.39,-1.20,-1.58,-1.00,-0.53,0.88,-1.04,-0.28,-0.67
143,0,0,0,NA,-1.78,-0.90,-1.59,0.07,-1.20,-1.63,-1.34,-1.06,1.87,-0.61,-0.92,-0.67
147,1,1,1,1,0.68,-0.90,0.18,-0.54,1.00,1.91,0.81,0.33,2.09,0.48,1.26,1.84
148,1,1,NA,NA,0.68,-0.76,0.15,-0.54,1.00,1.53,1.10,0.49,1.61,1.03,1.26,1.69
149,1,1,0,NA,0.68,0.93,0.46,-0.54,1.00,0.92,1.33,0.82,0.96,1.59,0.39,-0.19
150,1,1,1,1,0.68,1.31,0.27,-0.54,1.00,-0.07,1.51,1.02,0.62,2.17,-0.39,-0.12
153,1,1,NA,NA,0.68,1.31,0.04,-0.54,1.00,-0.83,1.37,0.90,1.00,2.07,-0.92,-0.67
154,1,1,0,0,0.68,1.31,0.53,-0.54,-0.35,-0.54,1.19,0.78,0.55,1.41,-0.92,-0.67
155,1,1,1,NA,0.68,1.31,-0.85,-0.54,-1.20,-1.20,1.00,0.45,0.27,0.79,-0.92,-0.67
156,1,1,1,0,0.68,1.31,2.39,-0.54,-1.20,-0.17,0.82,0.41,-0.15,0.29,-0.92,-0.67
157,1,1,1,1,0.68,1.31,0.08,-0.54,-1.20,-0.45,0.57,0.45,-1.13,-0.18,-0.92,-0.67
158,1,1,1,1,0.66,0.69,-1.06,-0.54,-1.20,-0.07,0.00,0.70,-1.47,-0.87,-0.92,-0.67
159,1,1,0,1,-1.61,-0.83,-0.89,0.83,-1.20,-1.01,-1.54,-1.14,-0.59,-1.06,-0.92,-0.67
160,0,0,0,NA,-1.78,-0.90,-0.52,-0.06,-1.20,-1.16,-1.28,-1.02,0.48,-0.69,-0.92,-0.67
163,1,0,NA,NA,0.68,-0.90,-0.85,-0.14,1.00,1.95,-0.71,0.29,2.86,-0.72,1.26,-0.57
164,1,0,0,0,0.68,-0.90,0.13,-0.54,1.00,2.19,0.29,0.33,2.72,-0.02,1.26,0.61
165,1,1,1,0,0.68,-0.90,-0.22,-0.54,1.00,2.05,0.78,0.33,1.90,0.36,1.26,1.09
166,1,0,1,0,0.68,-0.70,0.64,-0.54,1.00,1.11,1.08,0.53,0.92,0.64,1.09,0.84
167,1,1,NA,NA,0.68,1.22,0.57,-0.54,1.00,0.73,1.31,0.86,0.06,1.12,-0.81,-0.54
171,1,1,NA,NA,0.68,1.31,0.53,-0.54,0.98,0.30,1.27,0.70,0.73,1.61,-0.92,-0.67
173,1,1,1,1,0.68,1.31,-0.36,-0.54,-1.20,-1.11,0.77,0.74,-0.76,0.40,-0.92,-0.67
174,1,1,1,1,0.68,1.31,-0.85,-0.54,-1.20,-1.11,0.45,0.74,-0.82,-0.26,-0.92,-0.67
175,1,1,1,1,0.68,-0.08,-0.52,-0.54,-1.20,-0.50,0.21,0.66,-1.24,-0.72,-0.92,-0.67
176,1,1,1,1,0.07,-0.90,-1.48,-0.54,-1.20,-0.31,-0.33,0.00,-1.30,-1.05,-0.92,-0.67
177,1,0,1,NA,-1.44,-0.90,-0.38,1.12,-1.20,-1.25,-1.63,-1.14,-0.50,-1.02,-0.92,-0.67
178,0,1,1,0,-1.78,-0.90,-0.29,-0.39,-0.94,-0.21,-1.46,-0.98,0.54,-0.68,-0.92,-0.67
184,1,0,NA,NA,0.68,0.47,0.39,-0.54,1.00,1.81,0.98,0.49,0.52,0.06,-0.05,-0.67
185,1,1,1,NA,0.68,1.31,0.74,-0.54,1.00,1.39,1.21,0.53,-0.55,0.71,-0.92,-0.67
186,1,1,1,1,0.68,1.31,-0.68,-0.54,1.00,0.63,1.40,0.86,-1.44,1.40,-0.92,-0.67
189,1,1,1,1,0.68,1.31,0.43,-0.54,-0.01,0.07,1.12,1.02,-0.21,1.12,-0.92,-0.67
190,1,1,1,1,0.68,1.31,-0.87,-0.54,-1.16,-1.34,0.91,0.70,-0.50,0.55,-0.92,-0.67
191,1,1,1,1,0.68,1.31,-0.55,-0.54,-1.20,-1.25,0.55,0.74,-1.48,-0.03,-0.92,-0.67
192,1,1,1,1,0.68,0.82,0.11,-0.54,-1.20,-0.26,-0.02,0.62,-1.47,-0.60,-0.92,-0.67
193,1,1,1,0,-0.40,-0.72,-0.15,-0.46,-1.20,-0.59,-0.86,-0.24,-1.67,-1.08,-0.92,-0.67
194,0,1,NA,NA,-1.78,-0.90,-0.22,0.12,-1.07,-0.45,-0.72,-1.18,-0.93,-0.79,-0.92,-0.67
195,1,0,0,NA,-1.78,-0.90,-0.87,0.90,-0.61,-0.92,-1.76,-1.43,0.07,-0.45,-0.92,-0.67
196,0,0,NA,NA,-1.78,-0.90,-1.01,2.57,0.73,-1.30,-2.02,-2.17,1.01,-0.14,-0.92,-0.67
204,1,1,1,0,0.68,1.31,0.55,-0.54,1.00,1.76,1.31,0.57,-1.30,1.26,-0.92,-0.67
205,1,1,1,1,0.68,1.31,-0.15,-0.54,0.89,0.92,1.20,0.90,-1.03,1.25,-0.92,-0.67
206,1,1,1,NA,0.68,1.31,-0.15,-0.54,-0.46,0.78,1.02,1.02,-0.83,0.77,-0.92,-0.67
207,1,1,1,NA,0.68,1.31,-0.34,-0.54,-1.20,0.35,0.85,0.49,-1.27,0.48,-0.92,-0.67
208,1,1,1,1,0.68,1.31,0.01,-0.54,-1.20,-0.78,0.71,0.74,-0.73,0.16,-0.92,-0.67
209,1,1,1,1,0.68,0.56,0.48,-0.54,-1.05,-0.35,0.32,0.74,-0.91,-0.50,-0.92,-0.67
210,1,1,1,1,0.07,-0.90,0.27,-0.47,-1.14,-0.54,-0.58,0.04,-0.88,-1.03,-0.92,-0.67
211,1,0,0,0,-1.66,-0.90,-1.36,1.29,-1.03,-0.40,-1.73,-1.63,-0.85,-0.89,-0.92,-0.67
212,0,0,NA,NA,-1.78,-0.90,0.15,0.24,0.65,0.54,-1.01,-1.55,-0.43,-0.27,-0.92,-0.67
213,0,0,0,0,-1.78,-0.90,1.23,2.13,1.00,0.02,-1.73,-2.08,0.45,0.20,-0.92,-0.67
224,1,1,1,0,0.68,1.31,-1.92,-0.54,-1.20,0.49,0.78,0.86,-0.96,0.19,-0.92,-0.67
225,1,1,1,1,0.68,1.27,0.18,-0.54,-0.92,0.68,0.48,0.90,-1.56,-0.24,-0.92,-0.67
226,1,0,1,1,0.68,0.67,1.13,-0.54,-0.92,0.45,0.25,0.53,-0.79,-0.34,-0.92,-0.67
227,1,1,0,1,0.68,-0.83,0.81,-0.54,-0.81,0.68,0.11,0.41,-0.01,-0.70,-0.92,-0.67
228,1,1,1,NA,-0.35,-0.90,-0.66,0.04,-0.15,-0.31,-1.18,-0.20,0.15,-1.10,-0.92,-0.67
229,0,0,0,0,-1.78,-0.90,-1.29,-0.31,0.58,0.30,-1.20,-1.27,0.24,-0.67,-0.92,-0.67
230,0,0,0,NA,-1.78,-0.90,0.92,0.95,1.00,0.63,-1.47,-1.76,0.49,0.04,-0.92,-0.67
231,0,0,0,0,-1.78,-0.90,1.69,2.87,0.98,0.26,-1.55,-2.21,1.13,0.73,-0.92,-0.67
238,0,0,NA,NA,0.68,-0.79,-0.55,-0.04,1.00,1.91,0.67,0.29,-0.17,0.17,-0.92,-0.67
239,1,0,NA,NA,0.68,-0.10,0.60,-0.54,1.00,2.05,0.81,0.41,0.54,0.61,-0.92,-0.67
241,0,1,1,NA,0.68,1.31,0.57,-0.54,-0.26,1.29,0.96,0.49,0.27,0.42,-0.92,-0.67
242,1,1,1,0,0.68,1.09,0.83,-0.54,-0.96,1.06,0.61,0.86,-0.27,-0.20,-0.92,-0.67
243,0,0,0,0,0.59,-0.83,0.97,-0.40,-0.52,0.49,0.04,0.37,-0.58,-0.84,-0.92,-0.67
244,0,1,1,NA,0.29,-0.90,1.32,-0.08,0.25,-0.26,-0.89,0.21,-0.17,-0.99,-0.92,-0.67
245,1,1,0,NA,0.04,-0.90,-0.10,-0.03,0.01,-0.03,-0.82,0.08,0.64,-1.09,-0.92,-0.67
246,0,0,NA,NA,-0.67,-0.90,0.22,-0.41,0.91,1.01,-1.02,-0.41,1.20,-1.09,-0.92,-0.67
247,0,0,0,0,-1.78,-0.90,1.16,0.69,1.00,0.49,-1.56,-1.68,1.34,-0.56,-0.92,-0.67
248,0,0,0,0,-1.78,-0.90,-0.29,1.59,0.60,0.12,-1.79,-1.96,1.52,0.18,-0.92,-0.67
255,0,1,1,NA,0.66,-0.90,0.71,-0.50,1.00,1.72,0.15,0.41,-1.58,-0.81,-0.92,-0.67
257,1,1,1,0,0.68,-0.90,-0.45,-0.54,0.05,0.78,0.38,0.53,-0.04,-0.07,-0.92,-0.67
258,0,1,NA,NA,0.68,-0.90,-0.78,-0.54,-1.20,-0.03,0.65,0.45,-0.51,-0.07,-0.92,-0.67
259,1,1,1,1,0.68,0.41,0.57,-0.54,-1.20,-0.03,0.79,0.45,-0.48,-0.22,-0.92,-0.67
261,0,1,1,0,0.41,-0.90,-1.10,0.00,-1.20,-1.11,-0.06,0.53,-0.56,-0.98,-0.92,-0.67
262,0,0,NA,NA,-1.68,-0.90,-1.22,3.19,-1.18,-1.53,-1.28,-2.13,-0.37,-0.99,-0.92,-0.67
263,0,0,0,NA,-1.78,-0.90,-0.66,1.18,0.27,0.30,-1.41,-1.84,0.37,-0.78,-0.92,-0.67
273,1,1,1,NA,-0.70,-0.90,-0.99,-0.05,0.54,-0.07,-0.69,-0.33,-1.23,-1.08,-0.92,-0.67
274,0,0,NA,NA,0.24,-0.90,-1.06,0.46,-0.92,-0.50,-0.83,-0.12,-0.59,-0.99,-0.92,-0.67
275,0,1,1,1,0.68,-0.90,-1.29,-0.01,-1.20,-1.01,-0.38,0.29,-0.41,-0.73,-0.92,-0.67
276,1,0,0,0,0.68,-0.90,0.39,-0.33,-1.20,-1.11,0.29,0.33,-1.39,-0.79,-0.92,-0.67
279,1,1,1,NA,0.41,-0.90,-0.55,-0.48,-1.20,-1.67,-0.40,0.49,-1.51,-0.99,-0.92,-0.67
280,0,0,0,0,-1.78,-0.90,0.06,0.57,0.10,0.78,-1.28,-1.51,-1.13,-0.84,-0.92,-0.67
281,0,0,0,0,-1.78,-0.90,0.25,1.11,1.00,0.02,-1.27,-1.80,-0.09,-0.20,-0.92,-0.67
292,0,0,1,1,-1.78,-0.90,-1.64,1.72,-1.20,-1.91,-0.99,-1.55,0.17,-0.82,-0.92,-0.67
293,0,0,0,NA,-0.80,-0.90,-0.73,1.05,-1.20,-2.00,-0.58,-0.65,-0.27,-1.07,-0.92,-0.67
294,0,0,0,NA,-1.44,-0.90,-1.99,1.10,-1.20,-1.91,-0.29,-0.98,-1.12,-0.97,-0.92,-0.67
296,0,0,0,NA,-1.51,-0.90,-1.08,1.47,-1.20,-1.25,-0.65,-1.27,-1.56,-0.94,-0.92,-0.67
297,0,0,NA,NA,-1.66,-0.90,-0.78,0.41,-0.76,0.26,-1.23,-1.23,-1.33,-0.88,-0.92,-0.67
298,0,0,0,NA,-1.78,-0.90,1.48,1.50,1.00,-0.17,-1.42,-1.88,-0.93,-0.47,-0.92,-0.67
309,0,0,0,NA,-1.78,-0.90,-1.85,2.81,-1.20,-2.05,-0.59,-2.17,0.93,0.16,-0.92,-0.67
310,0,0,0,0,-1.78,-0.90,-0.85,2.87,-1.20,-2.00,-1.18,-2.17,1.04,-0.24,-0.92,-0.67
311,0,0,0,NA,-1.78,-0.90,-1.41,3.15,-1.20,-2.05,-1.14,-2.21,0.41,-0.47,-0.92,-0.67
312,0,0,0,NA,-1.78,-0.90,-0.89,3.24,-1.20,-2.15,-1.12,-2.21,-0.14,-0.30,-0.92,-0.67
313,0,0,NA,NA,-1.78,-0.90,-0.55,4.03,-1.20,-2.10,-1.39,-2.29,-0.73,-0.08,-0.92,-0.67
316,0,0,0,NA,-1.78,-0.90,-0.68,1.96,1.00,-0.68,-1.83,-2.04,-0.06,0.14,-0.92,-0.67
327,0,0,NA,NA,-1.78,-0.90,-1.90,3.15,-0.48,-1.72,-1.58,-2.25,2.04,0.80,-0.92,-0.67
328,0,0,0,NA,-1.78,-0.90,-0.66,2.59,-0.85,-1.49,-1.42,-2.17,1.93,0.42,-0.92,-0.67
329,0,0,0,0,-1.78,-0.90,-0.94,2.35,-1.18,-1.67,-1.11,-2.04,1.32,0.28,-0.92,-0.67
330,0,0,0,NA,-1.78,-0.90,-1.71,2.93,-1.09,-1.67,-1.75,-2.21,0.78,0.39,-0.92,-0.67
355,1,0,NA,NA,-1.78,-0.90,2.23,0.22,1.00,0.54,-0.79,-1.55,-1.49,-0.82,-0.92,-0.67
362,1,1,NA,NA,-1.66,-0.90,1.69,1.89,1.00,0.59,-1.47,-1.96,-0.83,-0.88,-0.81,-0.67
363,1,1,1,1,0.22,-0.90,1.81,-0.48,1.00,0.78,-0.63,0.12,-0.94,-1.08,0.85,-0.67
364,0,1,1,NA,-1.63,-0.90,-0.41,0.61,1.00,-0.03,-1.16,-1.51,-0.76,-0.94,-0.79,-0.67
370,1,1,1,1,-0.89,-0.90,0.48,2.31,1.00,0.96,-1.20,-1.39,-1.65,-1.05,-0.13,-0.67
371,1,0,0,0,0.68,-0.90,-0.59,-0.54,1.00,0.59,-0.14,0.29,-1.04,-0.75,1.26,-0.67
372,1,1,1,1,0.24,-0.90,0.18,-0.27,1.00,-0.35,-0.62,0.29,-0.04,-0.99,0.87,-0.67
373,1,1,1,NA,-1.36,-0.90,2.09,0.44,1.00,0.49,-1.12,-1.23,0.74,-0.99,-0.55,-0.67
378,1,1,1,1,0.24,-0.90,-0.78,-0.07,1.00,0.35,-0.94,0.17,-1.05,-1.00,0.87,0.26
380,1,1,1,1,0.68,-0.90,-0.57,-0.54,1.00,0.12,0.24,0.41,0.25,-0.41,1.26,-0.67
381,1,1,1,1,0.56,-0.90,0.22,-0.50,1.00,-0.64,-0.13,0.57,1.04,-0.90,1.15,-0.67
