Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post
5_01,1,0,0,0,2.57,1.81,-1.64,-1.39,1.02,0.38,-1.35,1.64,-1.23,-1.25,0.48
5_02,1,0,0,0,3.70,1.70,-0.66,-0.31,1.39,0.66,-1.31,1.33,-0.26,-1.18,0.5
5_03,0,0,0,0,3.10,1.81,-0.66,-0.47,1.39,0.66,-1.31,1.24,-0.26,-1.1,0.46
5_04,1,1,1,0,1.87,1.78,-0.78,-0.54,1.39,0.66,-1.31,1.20,-0.37,-1.02,0.45
5_05,0,1,1,1,1.06,1.19,-0.72,-0.62,1.34,0.66,-1.24,1.20,-0.37,-0.94,0.45
5_06,1,1,1,0,-0.04,-0.11,-0.08,-0.47,1.08,0.73,-0.69,1.29,0.06,-0.9,0.38
5_07,0,0,.,.,-0.89,-0.99,0.26,-0.39,0.71,0.66,0.12,1.33,0.50,-0.89,0.31
5_08,1,0,0,0,0.88,1.81,-0.72,-0.77,1.45,0.73,-1.39,0.84,-0.37,-0.7,0.34
6_01,1,1,1,1,-0.56,-0.30,0.15,-0.16,1.13,0.73,-0.84,0.75,0.17,-0.71,-0.29
6_02,1,1,1,1,0.69,0.94,-0.14,-0.39,1.34,0.73,-1.20,0.67,-0.04,-0.63,-0.15
6_03,1,1,1,1,0.18,1.30,-0.43,-0.62,1.34,0.73,-1.24,0.67,-0.26,-0.55,-0.02
6_04,1,0,0,0,-0.78,1.12,-0.49,-0.77,1.24,0.66,-1.13,0.71,-0.26,-0.5,0.08
6_05,0,0,.,.,-0.86,0.54,-0.14,-0.62,1.24,0.73,-1.02,0.75,-0.04,-0.53,0.09
6_06,0,0,1,1,-0.99,-0.95,0.15,-0.47,0.81,0.73,-0.18,0.93,0.39,-0.55,0.11
6_07,1,1,0,0,-0.86,-1.57,0.26,-0.39,0.65,0.73,0.30,0.98,0.50,-0.52,0.19
6_08,0,0,0,0,0.35,-0.66,0.21,-0.47,0.92,0.73,-0.36,0.93,0.28,-0.53,0.22
6_09,0,0,0,0,1.84,1.67,-0.37,-0.62,1.34,0.66,-1.24,0.80,-0.26,-0.56,0.22
6_10,0,1,0,0,2.85,1.78,-0.43,-0.70,1.39,0.66,-1.28,0.75,-0.26,-0.57,0.23
6_11,0,0,1,0,2.49,1.63,-0.49,-0.70,1.39,0.73,-1.28,0.75,-0.26,-0.57,0.28
7_01,1,1,1,0,0.02,0.90,-0.37,-0.70,1.29,0.73,-1.17,0.67,-0.26,-0.5,0
7_02,1,0,0,0,-0.10,0.14,-0.26,-0.62,1.13,0.73,-0.91,0.71,-0.15,-0.45,0.01
7_03,0,0,0,1,-0.47,-0.33,0.38,-0.47,1.02,0.73,-0.58,0.71,0.28,-0.39,0.04
7_04,1,1,.,.,-1.01,0.03,0.49,-0.47,1.13,0.73,-0.76,0.67,0.28,-0.34,0.08
7_05,0,0,0,0,-0.10,0.94,-0.60,-0.85,1.24,0.73,-1.13,0.71,-0.37,-0.41,0.21
7_06,0,0,0,0,0.91,1.05,-0.49,-0.85,1.24,0.73,-1.13,0.67,-0.26,-0.33,0.35
7_07,0,0,0,0,0.57,0.58,-0.37,-0.93,1.13,0.73,-0.95,0.75,-0.26,-0.24,0.48
7_08,0,0,0,0,0.59,0.21,-0.20,-0.85,1.13,0.73,-0.91,0.75,-0.15,-0.16,0.6
7_09,1,1,1,.,0.32,0.07,-0.08,-0.85,1.13,0.73,-0.87,0.71,-0.04,-0.08,0.72
8_01,1,1,1,1,-0.94,0.18,0.55,0.00,0.76,0.31,-0.36,0.09,0.39,0.07,1.59
8_02,1,1,1,1,-0.96,-0.84,0.73,0.07,0.49,0.38,0.12,0.05,0.60,0.12,1.5
8_03,1,1,1,1,-0.97,-0.73,0.78,0.07,0.60,0.38,0.01,0.00,0.60,0.16,1.41
8_04,1,1,1,1,-0.93,-0.26,0.78,0.07,0.71,0.45,-0.29,-0.09,0.50,0.2,1.31
8_05,1,1,1,1,-0.96,-0.81,0.78,0.00,0.55,0.52,0.04,-0.18,0.60,0.27,1.24
8_06,1,1,1,1,-0.97,0.10,0.55,0.07,0.81,0.31,-0.58,-0.31,0.28,0.35,1.2
8_07,1,1,1,1,-0.62,0.90,-0.49,-1.01,1.24,0.73,-1.09,1.15,-0.37,-0.38,1.15
8_08,1,0,0,0,-0.07,0.50,-0.43,-1.01,1.24,0.73,-1.06,1.06,-0.26,-0.29,1.09
8_09,0,1,0,0,1.33,0.87,-0.66,-1.16,1.24,0.73,-1.13,0.93,-0.47,-0.2,1.03
8_10,0,0,0,0,1.26,-0.04,-0.37,-1.08,1.02,0.73,-0.76,0.93,-0.26,-0.12,1.03
8_11,0,1,1,0,0.03,0.94,-0.72,-1.24,1.24,0.73,-1.09,0.89,-0.47,-0.08,1.12
8_12,0,0,0,0,-0.69,0.07,-0.49,-1.16,1.02,0.73,-0.73,0.98,-0.26,-0.04,1.23
9_01,0,0,1,0,-0.78,-1.28,0.96,-0.31,0.86,0.73,-0.14,1.51,0.71,-0.56,1.3
9_02,1,1,1,1,-0.36,-0.19,0.49,-0.54,1.08,0.73,-0.62,1.46,0.28,-0.51,1.35
9_03,1,1,1,0,0.60,-0.26,-0.26,-0.85,1.02,0.73,-0.69,1.33,-0.04,-0.43,1.38
9_04,0,0,0,0,-0.78,-0.51,0.96,-0.24,0.97,0.73,-0.36,1.51,0.60,-0.53,1.38
9_05,0,0,0,0,-0.97,-0.15,0.96,-0.24,1.08,0.80,-0.54,1.51,0.50,-0.52,1.41
9_06,0,1,1,1,-0.93,-0.70,0.96,-0.24,1.02,0.80,-0.43,1.46,0.60,-0.49,1.36
9_07,1,1,.,.,-0.86,-0.26,0.78,-0.31,1.08,0.73,-0.58,1.42,0.50,-0.5,1.29
9_08,1,1,1,1,0.18,0.54,-0.20,-0.85,1.24,0.73,-1.06,1.29,-0.15,-0.48,1.27
10_01,0,1,0,0,-0.44,-1.31,-0.72,-0.77,-0.30,0.80,0.66,1.11,0.06,-0.6,0.45
10_02,0,0,.,.,-0.35,-0.81,-0.66,-0.70,-0.09,0.80,0.33,1.11,-0.04,-0.66,0.35
10_03,1,0,0,0,-0.41,1.19,-0.60,0.53,0.28,0.73,-0.73,1.33,-0.26,-1.25,-0.3
10_04,0,0,0,0,-0.02,1.38,-0.49,0.61,1.24,0.73,-1.20,1.02,0.06,-1.17,-0.18
10_05,0,1,0,1,-0.48,1.08,-0.37,0.38,1.34,0.73,-1.24,1.02,0.06,-1.11,-0.07
10_06,1,1,0,0,-0.47,0.18,-0.20,0.23,1.18,0.73,-0.95,1.15,0.06,-1.03,0.03
10_07,0,0,0,0,0.54,0.79,-0.60,-0.16,1.24,0.73,-1.13,1.06,-0.15,-0.97,0.16
10_08,0,0,0,1,0.30,0.29,-0.31,-0.16,1.18,0.73,-0.98,1.15,-0.04,-0.91,0.29
11_04,0,0,1,0,0.22,1.12,-2.51,-2.16,-1.42,0.45,-0.98,1.55,-2.52,-1.27,-0.75
11_05,0,0,0,0,-0.74,0.21,-2.16,-1.39,-1.89,0.52,-0.18,1.73,-1.98,-1.27,-0.69
11_06,0,0,0,0,-0.87,0.54,-1.58,-1.16,-1.79,0.17,-0.07,1.86,-1.77,-1.27,-0.62
21_01,1,1,1,1,0.87,1.59,-0.02,1.84,0.76,-1.03,-1.13,-0.40,-0.15,-1.24,-1.72
21_02,1,1,1,0,1.34,1.78,0.32,2.31,1.18,-0.18,-1.31,-0.62,0.39,-1.16,-1.66
21_03,0,0,.,.,1.92,1.88,0.32,2.15,1.24,0.03,-1.35,-0.66,0.39,-1.1,-1.57
21_04,1,0,0,0,-0.27,1.38,-0.49,1.77,0.76,-0.89,-1.28,-0.44,-0.37,-1.24,-1.8
21_05,0,0,0,1,0.61,0.72,0.21,2.38,0.81,-0.04,-0.98,-0.57,0.50,-1.18,-1.67
21_06,0,0,0,1,0.83,1.12,-0.14,2.00,0.76,-0.46,-0.98,-0.49,0.17,-1.14,-1.54
21_07,1,1,1,1,1.18,0.47,0.03,1.92,0.60,-0.89,-0.69,-0.40,0.17,-1.12,-1.43
21_08,0,0,0,1,1.97,1.30,0.03,1.84,0.86,-0.89,-1.09,-0.40,0.06,-1.12,-1.33
22_01,1,0,0,0,2.66,1.81,-0.26,1.61,1.13,-0.75,-1.31,-0.49,-0.04,-1.11,-1.17
22_02,0,0,0,0,2.14,0.94,-0.08,1.69,0.92,-0.61,-1.13,-0.40,0.06,-1.06,-1.06
22_03,0,0,0,0,1.14,1.19,0.15,1.69,0.92,-0.46,-1.13,-0.35,0.17,-1,-0.93
22_04,1,1,0,0,0.68,1.45,0.15,1.69,0.97,-0.54,-1.17,-0.35,0.17,-0.98,-0.8
22_05,0,0,0,0,1.60,1.70,-0.08,1.61,1.08,-0.32,-1.28,-0.35,0.06,-1,-0.69
22_06,0,0,1,0,2.43,0.47,-0.02,1.77,0.71,-0.25,-0.87,-0.18,0.28,-1.05,-0.61
22_07,0,0,0,0,1.87,-0.08,0.09,2.00,0.49,-0.32,-0.51,-0.04,0.39,-1.11,-0.52
22_08,0,0,.,.,1.74,0.94,-0.14,2.00,0.71,-0.96,-0.84,0.00,0.06,-1.15,-0.47
22_09,0,0,0,1,-0.57,0.54,-0.08,1.61,0.60,-0.89,-0.76,-0.04,0.06,-0.94,-0.26
22_10,1,0,.,.,-0.67,-0.84,0.38,1.69,0.18,-0.39,0.04,0.05,0.50,-0.88,-0.18
23_01,0,1,1,0,-0.88,-0.55,0.44,1.61,0.18,-0.54,0.08,0.00,0.50,-0.8,-0.09
23_02,0,0,0,0,-0.97,-0.08,0.38,1.46,0.55,-0.54,-0.51,-0.04,0.28,-0.72,0
23_03,1,0,0,0,-0.78,-0.30,0.32,1.30,0.44,-0.61,-0.36,-0.04,0.28,-0.63,0.11
23_04,1,1,0,0,-0.18,-1.20,0.26,1.30,0.23,-0.18,-0.07,-0.13,0.50,-0.57,0.13
23_05,0,0,.,.,-0.04,-0.66,0.21,1.23,0.39,-0.25,-0.32,-0.13,0.28,-0.55,0.08
25_01,0,0,0,0,-0.97,-0.81,0.09,0.53,0.33,-0.54,-0.25,-0.26,0.06,0.36,1.23
25_02,0,0,0,0,-0.89,-1.31,0.44,0.77,0.23,-0.11,-0.07,-0.26,0.39,0.35,1.25
25_03,0,0,0,0,0.04,-0.91,0.38,0.69,0.33,-0.18,-0.25,-0.26,0.28,0.38,1.31
25_04,0,0,0,0,0.60,0.07,0.26,0.61,0.49,-0.39,-0.51,-0.31,0.06,0.4,1.23
25_05,0,1,1,0,1.33,0.39,0.15,0.53,0.60,-0.54,-0.73,-0.40,-0.04,0.43,1.1
25_06,0,1,1,0,2.43,0.79,0.15,0.53,0.86,-0.46,-1.06,-0.53,-0.15,0.47,0.98
25_07,0,0,0,0,2.81,-0.59,0.49,0.77,0.60,0.17,-0.65,-0.53,0.28,0.5,0.9
25_08,0,0,0,0,3.14,0.72,-0.26,0.38,0.65,-0.96,-0.84,-0.53,-0.37,0.46,0.87
26_01,1,1,1,1,-0.99,-0.84,0.84,0.69,0.33,0.03,-0.10,-0.66,0.60,0.85,0.95
26_02,1,1,1,1,-0.86,-0.15,0.90,0.69,0.44,-0.46,-0.21,-0.57,0.39,0.78,1.04
26_03,1,1,1,1,-0.93,-0.08,0.84,0.77,0.55,-0.25,-0.47,-0.57,0.39,0.73,1.11
26_04,1,1,1,1,-0.78,-0.95,0.84,0.77,0.33,-0.18,-0.10,-0.49,0.50,0.67,1.19
26_05,0,1,0,0,-0.99,-1.39,1.30,1.00,0.28,-0.11,0.15,-0.40,0.82,0.62,1.28
26_06,1,1,1,0,-0.77,-1.17,1.13,0.92,0.23,-0.32,0.15,-0.26,0.71,0.54,1.4
26_07,1,1,0,0,-0.29,-0.33,0.21,0.53,0.44,-0.61,-0.47,-0.22,0.06,0.45,1.53
26_08,0,1,0,0,-0.8,-0.26,0.15,0.61,0.39,-0.46,-0.32,-0.13,0.06,0.37,1.65
26_09,0,0,0,0,0.24,-0.04,-0.08,0.53,0.55,-0.32,-0.65,-0.09,-0.04,0.29,1.77
26_10,1,0,.,.,0.98,0.54,-0.37,0.38,0.6,-0.75,-0.8,0,-0.37,0.23,1.78
27_01,0,0,1,1,-0.9,-0.37,0.67,0.3,0.81,0.52,-0.54,0.09,0.5,-0.15,1.32
27_02,1,1,1,1,-1.02,-0.08,0.49,0.15,0.81,0.38,-0.54,0.13,0.28,-0.11,1.44
27_03,1,1,1,1,-0.87,-0.88,0.73,0.23,0.65,0.45,-0.18,0.18,0.6,-0.05,1.56
27_04,1,1,1,1,-0.77,0.43,0.49,0.15,0.92,0.38,-0.73,0.05,0.28,-0.15,1.23
27_05,1,1,0,1,-0.94,-0.11,0.61,0.23,0.76,0.24,-0.4,0.09,0.39,-0.1,1.22
27_06,0,1,1,1,-1.02,-0.26,0.84,0.3,0.65,0.1,-0.1,0.09,0.5,-0.08,1.18
27_07,1,1,1,1,-0.9,0.36,0.44,0.07,0.76,-0.25,-0.4,0.09,0.17,-0.09,1.12
27_08,1,1,1,1,-0.92,0.21,0.49,0.15,0.71,-0.11,-0.32,0.05,0.28,-0.13,1.05
27_09,1,1,1,1,-0.82,0.32,0.44,0.15,0.76,0.03,-0.47,0,0.28,-0.18,0.94
27_10,0,1,1,0,-0.93,0.07,0.21,0.07,0.18,0.52,0.08,0,0.39,-0.24,0.84
27_11,1,1,.,.,-0.84,0.61,-0.49,-0.31,-0.35,0.59,0.33,0.05,-0.04,-0.28,0.77
27_12,1,0,0,0,0.87,0.03,-0.66,-0.93,1.02,0.73,-0.8,1.06,-0.26,-0.34,0.92
27_13,0,0,1,1,0.46,-0.48,-0.26,-0.7,1.02,0.73,-0.65,1.06,-0.04,-0.41,0.79
27_14,1,1,.,.,0.86,-0.73,-0.02,-0.47,1.08,0.8,-0.76,1.02,0.06,-0.46,0.69
28_01,1,1,1,1,0.52,0.29,-1.01,-0.85,0.07,0.8,-0.03,1.02,-0.26,-0.72,0.23
28_02,1,0,1,1,0.57,1.74,-1.24,-0.85,0.65,0.8,-0.95,0.89,-0.58,-0.78,0.11
28_03,1,1,1,1,0,-0.19,-0.02,-0.24,-0.04,0.8,0.41,1.06,0.39,-0.83,-0.01
28_04,0,0,0,0,-0.77,-0.22,1.07,0.3,-0.3,0.8,1.14,1.2,1.03,-0.84,-0.06
28_05,0,1,1,1,-0.97,-0.48,0.44,0,-0.09,0.8,0.66,1.11,0.6,-0.86,-0.12
28_06,1,1,1,1,-1.03,0.5,-1.01,-0.54,0.18,0.8,-0.21,0.98,-0.26,-0.92,-0.23
28_07,1,1,.,.,-1.01,0.76,-0.89,-0.47,0.39,0.8,-0.51,0.93,-0.26,-0.98,-0.33
28_08,1,1,1,1,-1.01,0.76,-0.37,-0.16,-0.14,0.66,0.01,0,-0.04,-0.35,0.68
28_09,1,0,0,0,-0.94,-0.01,0.21,0.15,-0.51,0.73,0.74,0.05,0.5,-0.43,0.55
28_10,0,0,1,0,-0.82,-0.37,0.49,0.38,-0.73,0.73,1.07,0.09,0.71,-0.51,0.42
28_11,1,0,0,0,-0.95,-0.91,0.44,0.46,-0.83,0.73,1.18,0.09,0.71,-0.59,0.29
28_12,0,0,0,0,-1.01,-0.51,0.84,0.69,-0.57,0.73,0.99,0.09,0.93,-0.65,0.18
28_13,1,0,0,0,-0.92,-0.41,1.01,0.77,-0.62,0.66,1.07,0.09,1.03,-0.69,0.1
28_14,0,0,0,0,-0.92,-0.15,0.84,0.69,-0.46,0.66,0.81,0.05,0.93,-0.71,0.06
28_15,0,0,0,0,-0.99,0.21,0.73,0.53,-0.41,0.66,0.74,0.09,0.71,-0.68,0.11
28_16,0,1,.,.,-0.94,0.32,0.67,0.46,-0.35,0.66,0.63,0.05,0.71,-0.64,0.16
29_04,0,0,0,0,2.96,0.65,-1.06,-0.54,0.97,0.66,-1.02,1.02,-0.47,-1.24,-0.75
29_05,0,0,1,0,1.94,0.98,-0.72,-0.16,1.24,0.73,-1.17,0.84,-0.26,-1.15,-0.62
29_06,0,1,1,1,0.51,-0.11,-0.78,-0.31,0.23,0.8,0.04,1.02,-0.04,-1.07,-0.48
29_08,0,1,0,0,2.69,0.39,-2.33,-2.32,-0.35,-0.54,-1.2,1.6,-2.52,-1.27,-0.81
29_09,1,0,0,.,1.49,0.87,-2.33,-2.24,-0.51,-0.04,-1.24,1.55,-2.41,-1.27,-0.79
39_01,0,0,0,0,1.07,1.74,0.21,1.92,1.02,-0.39,-1.24,-0.57,0.28,-1.03,-1.45
39_02,1,1,1,1,-0.03,1.45,0.49,1.84,1.02,-0.54,-1.17,-0.53,0.28,-0.94,-1.32
39_03,1,1,1,0,-0.75,1.12,0.26,1.61,0.76,-1.38,-0.87,-0.44,-0.04,-0.86,-1.19
39_04,0,0,0,0,-0.26,1.01,0.09,1.46,0.86,-0.54,-1.02,-0.53,0.06,-0.79,-1.06
39_05,0,0,0,0,-0.42,0.83,0.03,1.3,0.71,-0.54,-0.84,-0.49,0.06,-0.71,-0.92
39_06,0,1,0,0,-0.55,1.45,-0.31,1,0.81,-1.59,-1.06,-0.44,-0.47,-0.66,-0.79
39_07,0,0,0,0,-0.74,1.01,0.26,1.23,0.81,-1.38,-0.91,-0.4,-0.15,-0.61,-0.66
39_08,0,0,0,0,-0.78,1.16,0.44,1.23,0.71,-1.31,-0.8,-0.35,-0.04,-0.54,-0.53
40_01,0,0,0,0,-0.67,1.7,0.21,1.15,1.08,-0.82,-1.24,-0.53,-0.04,-0.46,-0.38
40_02,0,1,0,1,1.03,1.45,-0.26,1.38,0.92,-1.03,-1.17,-0.49,-0.15,-0.91,-1.08
40_03,1,0,1,0,-0.02,1.74,-0.08,1.3,0.97,-1.03,-1.17,-0.44,-0.15,-0.84,-0.95
40_04,1,1,0,1,-0.69,0.9,0.44,1.46,0.65,-0.82,-0.73,-0.35,0.17,-0.76,-0.81
40_05,1,1,1,0,0.45,0.79,0.32,1.3,0.81,-0.39,-0.98,-0.44,0.17,-0.68,-0.67
40_06,1,0,0,0,0.28,1.3,0.32,1.3,1.08,-0.04,-1.28,-0.53,0.17,-0.59,-0.54
40_07,0,0,1,1,-0.1,1.12,0.21,1.15,0.92,-0.75,-1.09,-0.44,-0.04,-0.52,-0.4
40_08,1,1,0,0,0.99,1.12,0.26,1.15,0.97,-0.54,-1.17,-0.44,0.06,-0.45,-0.26
40_09,0,0,1,0,2.01,1.23,0.09,1.07,1.02,-0.39,-1.2,-0.44,-0.04,-0.43,-0.17
40_10,1,0,0,.,2.11,0.76,-0.2,0.92,0.86,-0.61,-1.06,-0.4,-0.15,-0.38,-0.06
41_01,0,0,0,0,2.46,1.67,-0.49,0.77,1.08,-0.96,-1.28,-0.44,-0.47,-0.36,0.04
41_02,0,1,1,0,2.41,0.29,-0.2,0.84,0.65,-0.54,-0.84,-0.31,-0.15,-0.36,0.11
41_03,1,1,1,0,1.12,-0.41,0.21,1,0.44,-0.39,-0.4,-0.22,0.17,-0.34,0.22
41_04,1,1,1,1,0.48,-0.37,0.44,1.07,0.44,-0.68,-0.32,-0.18,0.28,-0.31,0.32
41_05,1,1,1,1,0.77,0.83,-0.02,0.84,0.76,-1.1,-0.91,-0.22,-0.26,-0.24,0.43
41_06,1,1,0,1,0.16,1.7,-0.43,0.61,0.92,-1.8,-1.17,-0.26,-0.69,-0.19,0.43
41_07,1,1,1,1,-0.22,1.05,-0.37,0.61,0.76,-1.59,-0.95,-0.22,-0.58,-0.19,0.44
41_08,1,1,.,.,-0.55,0.76,-0.02,0.84,0.71,-1.1,-0.87,-0.22,-0.26,-0.2,0.5
42_01,1,1,0,0,-0.75,-0.15,0.61,0.69,0.39,-1.1,-0.21,-0.84,0.17,0.49,-0.53
42_02,0,1,0,0,-0.53,0.36,0.09,0.46,0.55,-1.73,-0.54,-0.8,-0.37,0.42,-0.4
42_03,0,0,0,0,-0.78,0.21,0.26,0.61,0.44,-2.15,-0.32,-0.66,-0.26,0.33,-0.26
42_04,0,1,0,1,-0.8,-0.41,0.21,0.61,0.28,-1.45,-0.1,-0.62,-0.04,0.27,-0.13
42_05,0,0,1,0,-0.68,0.94,-0.26,0.46,0.71,-2.08,-0.84,-0.57,-0.58,0.2,0
42_06,0,0,.,.,-0.63,1.67,-0.49,0.38,0.86,-2.22,-1.09,-0.57,-0.8,0.14,0.09
43_01,0,0,0,1,-1.03,-1.68,0.96,0.69,0.07,-0.32,0.41,-1.02,0.71,0.98,-0.42
43_02,1,1,1,0,-0.97,-0.73,0.44,0.46,0.28,-0.75,-0.03,-0.97,0.17,0.95,-0.29
43_03,0,1,1,1,-0.66,-0.15,0.49,0.46,0.33,-0.75,-0.18,-0.97,0.17,0.95,-0.16
43_04,1,1,0,0,0,0.5,0.38,0.46,0.76,-0.39,-0.91,-1.02,0.06,0.97,-0.03
43_05,0,1,1,1,1.14,0.79,-0.14,0.23,0.81,-0.54,-1.02,-1.02,-0.26,0.98,0.1
43_06,1,1,1,1,2.06,0.54,0.09,0.3,0.71,-0.46,-0.87,-0.93,-0.15,0.96,0.23
43_07,0,1,1,1,1.12,-0.41,0.15,0.38,0.49,-0.18,-0.51,-0.88,0.06,0.93,0.35
43_08,1,1,1,1,-0.12,-0.37,0.26,0.46,0.6,0.03,-0.73,-0.88,0.06,0.91,0.48
43_09,1,1,1,1,-0.98,-0.15,0.38,0.46,0.44,-0.32,-0.43,-0.8,0.17,0.85,0.6
43_10,1,1,1,1,-0.93,-0.95,0.49,0.53,0.28,-0.32,-0.1,-0.71,0.28,0.86,0.72
44_01,1,1,1,.,-0.96,-1.35,0.55,0.53,0.23,-0.18,0.01,-0.71,0.39,0.86,0.82
44_02,1,1,1,1,2.19,-0.26,-0.49,-1.31,0.92,0.73,-0.51,0.09,-0.26,0.83,0.85
44_03,1,1,1,1,2.17,-1.1,0.03,-0.24,0.49,0.45,-0.18,-0.62,0.17,0.75,0.97
44_04,0,0,.,.,2.26,-0.62,-0.2,-0.77,0.76,0.66,-0.51,0.27,-0.04,0.69,1.05
44_05,1,0,0,0,1.92,0.39,-0.54,-1.47,1.08,0.73,-0.84,-0.04,-0.37,0.89,0.75
44_06,0,0,0,0,0.65,0.79,-0.6,-1.47,1.13,0.73,-0.91,-0.09,-0.47,0.94,0.65
44_07,0,0,.,.,-0.42,-0.3,-0.14,-1.39,0.92,0.66,-0.47,-0.04,-0.15,0.94,0.6
45_01,0,1,1,1,0.8,0.87,-0.31,0.61,0.92,-0.61,-1.13,-0.22,-0.26,-0.02,1.14
45_02,1,0,1,0,0.46,0.61,-0.2,0.38,0.86,0.03,-1.02,-0.18,-0.15,-0.03,1.11
45_03,0,1,1,1,-0.62,0.14,-0.2,-0.85,1.13,0.73,-0.95,0.84,-0.15,0.05,1.23
45_04,0,0,0,1,-0.98,-0.48,0.09,0.07,0.76,0.45,-0.65,-0.13,0.17,0.11,1.32
45_05,1,0,0,0,-0.86,-0.15,0.26,0.77,0.6,-0.25,-0.65,-0.13,0.17,0.16,1.41
45_06,0,1,0,0,-1.01,-0.33,0.21,0.69,0.44,-0.18,-0.43,-0.09,0.17,0.24,1.54
45_01ALT,0,0,0,0,2.43,-0.66,0.03,0.3,0.39,0.1,-0.29,-0.53,0.17,0.63,1.14
45_02ALT,1,1,1,1,1.55,0.58,-0.37,-0.85,0.97,0.66,-0.87,0.44,-0.26,0.56,1.25
45_03ALT,0,0,0,0,0.61,-0.73,0.09,-0.08,0.55,0.45,-0.36,-0.35,0.17,0.5,1.33
45_04ALT,0,0,0,0,-0.33,-0.66,-0.37,-1.24,0.92,0.73,-0.47,0.71,-0.15,0.45,1.41
45_05ALT,0,0,0,0,-1.01,-0.91,0.09,0.15,0.49,0.31,-0.29,-0.22,0.17,0.38,1.5
45_06ALT,0,0,0,0,-0.29,-0.22,0.03,0.23,0.6,0.24,-0.58,-0.13,0.06,0.3,1.6
45_07ALT,1,0,0,0,1.11,0.18,-0.37,-0.77,0.97,0.66,-0.84,0.84,-0.15,0.22,1.54
45_08ALT,0,0,0,0,1.97,0.14,-0.54,-1.24,1.02,0.73,-0.73,0.93,-0.26,0.14,1.44
46_01,0,0,1,0,1.29,1.12,-0.72,-1.24,1.24,0.73,-1.13,0.89,-0.47,-0.06,1.2
46_02,0,0,0,0,2.25,-0.48,-0.78,-1.24,0.86,0.73,-0.43,1.02,-0.26,-0.1,1.19
46_03,0,0,0,0,2.33,0.58,-1.12,-1.39,1.02,0.59,-0.76,1.02,-0.58,-0.16,1.15
46_04,0,0,0,0,1.6,0.43,-0.89,-1.24,1.02,0.66,-0.8,1.06,-0.47,-0.24,1.06
